Species,NCBI Taxon ID,Order,Family,Genus
Mute swan feces associated picorna-like virus 15,2832188,Picornavirales,,
Mute swan feces associated picorna-like virus 16,2832189,Picornavirales,,
Mute swan feces associated picorna-like virus 17,2832190,Picornavirales,,
Mute swan feces associated picorna-like virus 18,2832191,Picornavirales,,
Mute swan feces associated picorna-like virus 19,2832192,Picornavirales,,
Mute swan feces associated picorna-like virus 20,2832194,Picornavirales,,
Mute swan feces associated picorna-like virus 21,2832195,Picornavirales,,
Mute swan feces associated picorna-like virus 22,2832196,Picornavirales,,
Mute swan feces associated picorna-like virus 23,2832197,Picornavirales,,
Mute swan feces associated picorna-like virus 24,2832198,Picornavirales,,
Mute swan feces associated picorna-like virus 25,2832199,Picornavirales,,
Mute swan feces associated picorna-like virus 26,2832200,Picornavirales,,
Mute swan feces associated picorna-like virus 27,2832201,Picornavirales,,
Mute swan feces associated picorna-like virus 28,2832202,Picornavirales,,
Mute swan feces associated picorna-like virus 29,2832203,Picornavirales,,
Mute swan feces associated toti-like virus 1,2832222,Ghabrivirales,Totiviridae,
Mute swan feces associated toti-like virus 2,2832223,Ghabrivirales,Totiviridae,
Mute swan feces associated toti-like virus 3,2832224,Ghabrivirales,Totiviridae,
Phasianus chaphamaparvovirus,2944714,Piccovirales,Parvoviridae,Chaphamaparvovirus
Picornavirales sp.,1955153,Picornavirales,,
Finch poxvirus,2928837,Chitovirales,Poxviridae,
Albatrosspox virus,2811222,Chitovirales,Poxviridae,
Anativirus sp.,2809150,Picornavirales,Picornaviridae,Anativirus
Caliciviridae sp.,1916234,Picornavirales,Caliciviridae,
Huchismacovirus sp.,2809473,Cremevirales,Smacoviridae,Huchismacovirus
Strix uralensis herpesvirus,2489503,Herpesvirales,,
Aquila chrysaetos herpesvirus,2928392,Herpesvirales,,
Falco tinnunculus herpesvirus,2928397,Herpesvirales,,
Asio otus herpesvirus,2489501,Herpesvirales,,
Strix aluco herpesvirus,2928400,Herpesvirales,,
Larus argentatus herpesvirus,2928398,Herpesvirales,,
Corvus cornix herpesvirus,2928395,Herpesvirales,,
Corvus monedula herpesvirus,2928396,Herpesvirales,,
Chloris chloris herpesvirus,2928394,Herpesvirales,,
Passer domesticus herpesvirus,2928399,Herpesvirales,,
Turdus merula herpesvirus,2717891,Herpesvirales,,
Columba palumbus herpesvirus,2928402,Herpesvirales,,
Psittacine chaphamaparvovirus 2,2917163,Piccovirales,Parvoviridae,Chaphamaparvovirus
Ciconiid herpesvirus 1,2605648,Herpesvirales,,
Ghabrivirales sp.,2809433,Ghabrivirales,,
Partitiviridae sp.,1955170,Durnavirales,Partitiviridae,
Durnavirales sp.,2809355,Durnavirales,,
Hedwig virus,2884278,Bunyavirales,Peribunyaviridae,
Poicephalus senegalus papillomavirus,2876998,Zurhausenvirales,Papillomaviridae,
robinz virus RP_212,2886418,,,
robinz virus RP_258,2886419,,,
robinz virus RP_382,2886420,,,
robinz virus RP_389,2886421,,,
robinz virus RP_244,2886422,,,
robinz virus RP_327,2886423,,,
robinz virus RP_334,2886424,,,
robinz virus RP_340,2886425,,,
robinz virus RP_404,2886426,,,
robinz virus RP_428,2886427,,,
robinz virus RP_429,2886428,,,
robinz virus RP_513,2886429,,,
Pin virus,2880959,,,
Myna chaphamaparvovirus,2880956,Piccovirales,Parvoviridae,Chaphamaparvovirus
Myna calicivirus,2880955,Picornavirales,Caliciviridae,
Chicken proventriculitis-associated circular virus 7,2875666,,,
Chicken proventriculitis-associated circular virus 8,2875667,,,
Chicken proventriculitis-associated circular virus 9,2875668,,,
Chicken proventriculitis-associated circular virus 10,2875663,,,
Chicken proventriculitis-associated circular virus 11,2875664,,,
Chicken proventriculitis-associated circular virus 12,2875665,,,
egret CRESS-DNA virus,2878719,Geplafuvirales,Genomoviridae,
crane CRESS-DNA virus,2878718,Geplafuvirales,Genomoviridae,
finch CRESS-DNA virus,2878720,Geplafuvirales,Genomoviridae,
Chicken proventriculitis-associated circular virus 1,2875658,,,
Chicken proventriculitis-associated circular virus 2,2875659,,,
Chicken proventriculitis-associated circular virus 3,2875660,,,
Chicken proventriculitis-associated circular virus 4,2875661,,,
Chicken proventriculitis-associated circular virus 5,2875662,,,
Chicken proventriculitis-associated circular virus 14,2875669,,,
Chicken proventriculitis-associated circular virus 15,2875670,,,
Chicken proventriculitis-associated circular virus 16,2875671,,,
Chicken proventriculitis-associated circular virus 18,2875673,,,
Chicken proventriculitis-associated circular virus 20,2875675,,,
Chicken proventriculitis-associated circular virus 22,2875677,,,
Chicken proventriculitis-associated circular virus 23,2875678,,,
Chicken proventriculitis-associated circular virus 24,2875679,,,
Chicken proventriculitis-associated circular virus 27,2875681,,,
Chicken proventriculitis-associated circular virus 17,2875672,,,
Chicken proventriculitis-associated circular virus 19,2875674,,,
Chicken proventriculitis-associated circular virus 21,2875676,,,
Chicken proventriculitis-associated circular virus 26,2875680,,,
Chicken proventriculitis-associated circular virus 28,2875682,,,
Chicken proventriculitis-associated circular virus 29,2875683,,,
Chicken proventriculitis-associated circular virus 30,2875684,,,
Nodaviridae sp.,1955166,Nodamuvirales,Nodaviridae,
Chuviridae sp.,2809007,Jingchuvirales,Chuviridae,
Totiviridae sp.,1955172,Ghabrivirales,Totiviridae,
Reoviridae sp.,2585267,Reovirales,,
Luteoviridae sp.,1955165,Tolivirales,,
Tymoviridae sp. XZN137671,2836004,Tymovirales,Tymoviridae,
Tibet bird virus 2,2836149,,,
Tibet bird virus 1,2836148,,,
Guinea fowl picornavirus,2817032,Picornavirales,Picornaviridae,
Tern adenovirus,2820437,Rowavirales,Adenoviridae,
Red-billed gull papillomavirus,2862952,Zurhausenvirales,Papillomaviridae,
Picobirnaviridae sp. gcode 3,2857096,Durnavirales,Picobirnaviridae,
Bavovirus sp.,2809180,Picornavirales,Caliciviridae,Bavovirus
Waterwitch virus,2776963,Picornavirales,Picornaviridae,
Whistler virus,2776964,Picornavirales,Picornaviridae,
Neva virus,2776960,Stellavirales,Astroviridae,
Netherby virus,2776965,Picornavirales,Picornaviridae,
Blencathra virus,2776961,Stellavirales,Astroviridae,
Carnarvon virus,2776962,Stellavirales,Astroviridae,
British Admiral virus,2776966,Picornavirales,Picornaviridae,
Caudoviricetes sp.,2832643,,,
Avulavirus sp.,2493083,Mononegavirales,Paramyxoviridae,
Avian bornavirus,675389,Mononegavirales,Bornaviridae,
Turdus naumanni parvoviridae sp.,2794525,Piccovirales,Parvoviridae,
Psittacidae parvoviridae sp.,2794536,Piccovirales,Parvoviridae,
Phylloscopus schwarzi parvoviridae sp.,2794533,Piccovirales,Parvoviridae,
Cecropis daurica parvoviridae sp.,2794470,Piccovirales,Parvoviridae,
Emberiza pusilla parvoviridae sp.,2794477,Piccovirales,Parvoviridae,
Ciconia boyciana parvoviridae sp.,2794472,Piccovirales,Parvoviridae,
Cyanopica cyanus parvoviridae sp.,2794473,Piccovirales,Parvoviridae,
Dendrocopos leucotos parvoviridae sp.,2794475,Piccovirales,Parvoviridae,
Emberiza chrysophrys parvoviridae sp.,2794476,Piccovirales,Parvoviridae,
Ficedula mugimaki parvoviridae sp.,2794480,Piccovirales,Parvoviridae,
Lophura nycthemera parvoviridae sp.,2794483,Piccovirales,Parvoviridae,
Luscinia cyane parvoviridae sp.,2794513,Piccovirales,Parvoviridae,
Luscinia sibilans parvoviridae sp.,2794516,Piccovirales,Parvoviridae,
Phoenicurus auroreus parvoviridae sp.,2794531,Piccovirales,Parvoviridae,
Phylloscopus fuscatus parvoviridae sp.,2794534,Piccovirales,Parvoviridae,
Phylloscopus inornatus parvoviridae sp.,2794539,Piccovirales,Parvoviridae,
Tarsiger cyanurus parvoviridae sp.,2794540,Piccovirales,Parvoviridae,
Emberiza spodocephala parvoviridae sp.,2794481,Piccovirales,Parvoviridae,
Lanius cristatus parvoviridae sp.,2794482,Piccovirales,Parvoviridae,
Emberiza tristrami Genomoviridae sp.,2814951,Geplafuvirales,Genomoviridae,
Fringilla montifringilla Genomoviridae sp.,2814960,Geplafuvirales,Genomoviridae,
Phoenicopteridae parvo-like hybrid virus,2794528,Piccovirales,Parvoviridae,
Pavo cristatus parvo-like hybrid virus,2794523,Piccovirales,Parvoviridae,
Grus japonensis parvoviridae sp.,2794512,Piccovirales,Parvoviridae,
Phylloscopus proregulus Ichthamaparvovirus,2794550,Piccovirales,Parvoviridae,Ichthamaparvovirus
Phylloscopus fuscatus Ichthamaparvovirus,2794549,Piccovirales,Parvoviridae,Ichthamaparvovirus
Emberiza pusilla parvo-like hybrid virus,2794510,Piccovirales,Parvoviridae,
Periparus ater parvoviridae sp.,2794527,Piccovirales,Parvoviridae,
Motacilla cinerea parvoviridae sp.,2794518,Piccovirales,Parvoviridae,
Periparus ater Ichthamaparvovirus,2794548,Piccovirales,Parvoviridae,Ichthamaparvovirus
Grus japonensis parvo-like hybrid virus,2794511,Piccovirales,Parvoviridae,
Turdus pallidus parvoviridae sp.,2794526,Piccovirales,Parvoviridae,
Phoenicopteridae parvoviridae sp.,2794529,Piccovirales,Parvoviridae,
Turdus naumanni Ichthamaparvovirus,2794551,Piccovirales,Parvoviridae,Ichthamaparvovirus
Emberiza rustica CRESS-DNA-virus sp.,2815032,,,
Emberiza spodocephala CRESS-DNA-virus sp.,2815033,,,
Fringilla montifringilla CRESS-DNA-virus sp.,2815044,,,
Syrmaticus ellioti CRESS-DNA-virus sp.,2815058,,,
Aegithalos caudatus CRESS-DNA-virus sp.,2815021,,,
Emberiza elegans CRESS-DNA-virus sp.,2815031,,,
Ficedula parva CRESS-DNA-virus sp.,2815036,,,
Carpodacus sibiricus Genomoviridae sp.,2814940,Geplafuvirales,Genomoviridae,
Cecropis daurica Genomoviridae sp.,2814941,Geplafuvirales,Genomoviridae,
Tarsiger cyanurus Genomoviridae sp.,2814994,Geplafuvirales,Genomoviridae,
Phoenicopterus roseus parvo-like hybrid virus,2794530,Piccovirales,Parvoviridae,
Pavo cristatus parvoviridae sp.,2794524,Piccovirales,Parvoviridae,
Ficedula parva parvoviridae sp.,2794506,Piccovirales,Parvoviridae,
Emberiza rustica parvoviridae sp.,2794478,Piccovirales,Parvoviridae,
Aegithalos caudatus parvoviridae sp.,2794464,Piccovirales,Parvoviridae,
Ara ararauna Chaphamaparvovirus,2794484,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chrysolophuspictus parvoviridae sp.,2794471,Piccovirales,Parvoviridae,
Cygnus atratus Chaphamaparvovirus,2794485,Piccovirales,Parvoviridae,Chaphamaparvovirus
Nandayus nenday parvoviridae sp.,2794519,Piccovirales,Parvoviridae,
Phylloscopus parvoviridae sp.,2794563,Piccovirales,Parvoviridae,
Psittacidae parvo-like hybrid virus,2794535,Piccovirales,Parvoviridae,
Fringilla montifringilla parvoviridae sp.,2794507,Piccovirales,Parvoviridae,
Cygnus columbianus parvoviridae sp.,2794474,Piccovirales,Parvoviridae,
Emberiza pusilla Chaphamaparvovirus,2794488,Piccovirales,Parvoviridae,Chaphamaparvovirus
Dendrocopos leucotos Chaphamaparvovirus,2794487,Piccovirales,Parvoviridae,Chaphamaparvovirus
Passer montanus parvoviridae sp.,2794522,Piccovirales,Parvoviridae,
Nandayus nenday Chaphamaparvovirus,2794493,Piccovirales,Parvoviridae,Chaphamaparvovirus
Luscinia cyane Ichthamaparvovirus,2794553,Piccovirales,Parvoviridae,Ichthamaparvovirus
Luscinia cyane Chaphamaparvovirus,2794491,Piccovirales,Parvoviridae,Chaphamaparvovirus
Grus japonensis Chaphamaparvovirus,2794490,Piccovirales,Parvoviridae,Chaphamaparvovirus
Fringilla montifringilla Chaphamaparvovirus,2794489,Piccovirales,Parvoviridae,Chaphamaparvovirus
Cygnus columbianus parvo-like hybrid virus,2794509,Piccovirales,Parvoviridae,
Turdus pallidus Chaphamaparvovirus,2794492,Piccovirales,Parvoviridae,Chaphamaparvovirus
Turdus hortulorum parvoviridae sp.,2794538,Piccovirales,Parvoviridae,
Parus major parvoviridae sp.,2794521,Piccovirales,Parvoviridae,
Motacilla cinerea parvo-like hybrid virus,2794517,Piccovirales,Parvoviridae,
Psittacidae Chaphamaparvovirus,2794494,Piccovirales,Parvoviridae,Chaphamaparvovirus
Phylloscopus proregulus parvoviridae sp.,2794532,Piccovirales,Parvoviridae,
Syrmaticus ellioti parvo-like hybrid virus,2794537,Piccovirales,Parvoviridae,
Otus scops parvoviridae sp.,2794520,Piccovirales,Parvoviridae,
Garrulus glandarius parvoviridae sp.,2794508,Piccovirales,Parvoviridae,
Ara severa parvoviridae sp.,2794467,Piccovirales,Parvoviridae,
Accipiter gentilis parvoviridae sp.,2794463,Piccovirales,Parvoviridae,
Ara ararauna parvoviridae sp.,2794466,Piccovirales,Parvoviridae,
Carpodacus sibiricus parvoviridae sp.,2794469,Piccovirales,Parvoviridae,
Cygnus atratus parvoviridae sp.,2794505,Piccovirales,Parvoviridae,
Luscinia sibilans parvo-like hybrid virus,2794515,Piccovirales,Parvoviridae,
Accipiter gentilis parvo-like hybrid virus,2794564,Piccovirales,Parvoviridae,
Arundinax aedon parvoviridae sp.,2794465,Piccovirales,Parvoviridae,
Bonasa bonasia parvoviridae sp.,2794468,Piccovirales,Parvoviridae,
Ciconia boyciana parvo-like hybrid virus,2794504,Piccovirales,Parvoviridae,
Cygnus columbianus Chaphamaparvovirus,2794486,Piccovirales,Parvoviridae,Chaphamaparvovirus
Emberiza tristrami parvoviridae sp.,2794479,Piccovirales,Parvoviridae,
Ciconia boyciana Circoviridae sp.,2814997,Cirlivirales,Circoviridae,
Fringilla montifringilla Circoviridae sp.,2815000,Cirlivirales,Circoviridae,
Periparus ater Circoviridae sp.,2815004,Cirlivirales,Circoviridae,
Motacilla cinerea Circoviridae sp.,2815002,Cirlivirales,Circoviridae,
Anser anser CRESS-DNA-virus sp.,2815022,,,
Ciconia boyciana CRESS-DNA-virus sp.,2815024,,,
Cygnus atratus CRESS-DNA-virus sp.,2815026,,,
Cygnus columbianus CRESS-DNA-virus sp.,2815027,,,
Emberiza chrysophrys CRESS-DNA-virus sp.,2815029,,,
Ficedula mugimaki CRESS-DNA-virus sp.,2815035,,,
Grus japonensis CRESS-DNA-virus sp.,2815045,,,
Luscinia calliope CRESS-DNA-virus sp.,2815039,,,
Motacilla cinerea CRESS-DNA-virus sp.,2815043,,,
Nandayus nenday CRESS-DNA-virus sp.,2815047,,,
Pavo cristatus CRESS-DNA-virus sp.,2815049,,,
Periparus ater CRESS-DNA-virus sp.,2815050,,,
Phoenicopteridae CRESS-DNA-virus sp.,2815051,,,
Phoenicurus auroreus CRESS-DNA-virus sp.,2815053,,,
Phylloscopus tenellipes CRESS-DNA-virus sp.,2815055,,,
Psittacidae CRESS-DNA-virus sp.,2815057,,,
Syrmaticus reevesii CRESS-DNA-virus sp.,2815059,,,
Tarsiger cyanurus CRESS-DNA-virus sp.,2815060,,,
Tragopan caboti CRESS-DNA-virus sp.,2815061,,,
Turdus hortulorum CRESS-DNA-virus sp.,2815062,,,
Acanthis flammea CRESS-DNA-virus sp.,2815018,,,
Cecropis daurica CRESS-DNA-virus sp.,2815023,,,
Chrysolophus pictus CRESS-DNA-virus sp.,2815020,,,
Cyanopica cyanus CRESS-DNA-virus sp.,2815025,,,
Dendrocopos leucotos CRESS-DNA-virus sp.,2815028,,,
Emberiza cioides CRESS-DNA-virus sp.,2815030,,,
Emberiza tristrami CRESS-DNA-virus sp.,2815034,,,
Grus monacha CRESS-DNA-virus sp.,2815037,,,
Luscinia cyane CRESS-DNA-virus sp.,2815040,,,
Luscinia sibilans CRESS-DNA-virus sp.,2815041,,,
Muscicapa latirostris CRESS-DNA-virus sp.,2815046,,,
Otus scops CRESS-DNA-virus sp.,2815048,,,
Phoenicopterus roseus CRESS-DNA-virus sp.,2815052,,,
Phylloscopus fuscatus CRESS-DNA-virus sp.,2815054,,,
Prunella montanella CRESS-DNA-virus sp.,2815056,,,
Turdus naumanni CRESS-DNA-virus sp.,2815063,,,
Emberiza rustica Genomoviridae sp.,2814949,Geplafuvirales,Genomoviridae,
Emberiza spodocephala Genomoviridae sp.,2814950,Geplafuvirales,Genomoviridae,
Prunella montanella Genomoviridae sp.,2814991,Geplafuvirales,Genomoviridae,
Gull adenovirus,1306817,Rowavirales,Adenoviridae,
Aalivirus A,2169685,Picornavirales,Picornaviridae,Aalivirus
Mudlarkpox virus,2811215,Chitovirales,Poxviridae,
Penguinpox virus 2,2811223,Chitovirales,Poxviridae,
Duck-associated chapparvovirus,2810801,Piccovirales,Parvoviridae,Chapparvovirus
French Guiana picornavirus,2803188,Picornavirales,Picornaviridae,
French Guiana reovirus,2803189,Reovirales,,
Pacific black duck calicivirus,2798288,Picornavirales,Caliciviridae,
Pacific black duck astrovirus,2798286,Stellavirales,Astroviridae,
Chestnut teal astrovirus,2798290,Stellavirales,Astroviridae,
Chaphamaparvovirus gyb-MR3/2015/HUN,2785213,Piccovirales,Parvoviridae,Chaphamaparvovirus
Duck ssDNA virus,2781382,,,
Duck associated circular virus VC9,2781378,Geplafuvirales,Genomoviridae,
Duck genomovirus VC16,2781375,Geplafuvirales,Genomoviridae,
Duck genomovirus VC17,2781376,Geplafuvirales,Genomoviridae,
Poecivirus sp.,2759496,Picornavirales,Picornaviridae,Poecivirus
Antarctic virus 6_I_APBOOTsw001Ad,2761208,,,
Antarctic virus 6_I_APBOOTsw001Ch,2761209,,,
Antarctic virus 1_I_CPGEORsw001Ad,2761173,,,
Antarctic virus 1_I_CPGEORsw002Ad,2761174,,,
Antarctic virus 1_II_CPGEORsw003Ad,2761171,,,
Antarctic virus 1_II_CPGEORsw003Ch,2761172,,,
Antarctic virus 3_I_CPHALFsw004Ad,2761187,,,
Antarctic virus 3_II_CPHALFsw005Ad,2761185,,,
Antarctic virus 3_V_CPHALFsw003Ad,2761188,,,
Antarctic virus 2_I_GPYANKsw001Ad,2761175,,,
Antarctic virus 2_I_GPYANKsw001Ch,2761176,,,
Antarctic virus 2_I_GPYANKsw002Ad,2761177,,,
Antarctic virus 2_I_GPYANKsw003Ad,2761178,,,
Antarctic virus 2_I_GPYANKsw004Ad,2761179,,,
Antarctic virus 3_III_KPSTAsw010Ad,2761180,,,
Antarctic virus 3_III_KPSTAsw014Ch,2761181,,,
Antarctic virus 3_IV_KPSTAsw015Ch,2761186,,,
Antarctic virus 3_III_KPSTAsw016Ch,2761182,,,
Antarctic virus 3_III_KPSTAsw018Ch,2761183,,,
Antarctic virus 3_III_KPSTAsw019Ch,2761184,,,
Antarctic virus 4_I_KPSTAsw001Ad,2761196,,,
Antarctic virus 4_II_KPSTAsw004Ad,2761189,,,
Antarctic virus 4_II_KPSTAsw014Ch,2761190,,,
Antarctic virus 4_II_KPSTAsw015Ch,2761191,,,
Antarctic virus 4_II_KPSTAsw016Ch,2761192,,,
Antarctic virus 4_II_KPSTAsw017Ch,2761193,,,
Antarctic virus 4_II_KPSTAsw018Ch,2761194,,,
Antarctic virus 4_II_KPSTAsw019Ch,2761195,,,
Antarctic virus 4_I_KPSTAsw002Ad,2761197,,,
Antarctic virus 4_I_KPSTAsw008Ad,2761198,,,
Antarctic virus 4_I_KPSTAsw009Ad,2761199,,,
Antarctic virus 4_I_KPSTAsw010Ad,2761200,,,
Antarctic virus 5_I_KPSTAsw001Ad,2761201,,,
Antarctic virus 5_I_KPSTAsw002Ad,2761202,,,
Antarctic virus 5_I_KPSTAsw004Ad,2761203,,,
Antarctic virus 5_I_KPSTAsw008Ad,2761204,,,
Antarctic virus 5_I_KPSTAsw009Ad,2761205,,,
Antarctic virus 5_I_KPSTAsw018Ch,2761206,,,
Antarctic virus 5_I_KPSTAsw020Ch,2761207,,,
Pacific black duck chaphamaparvovirus 1,2759407,Piccovirales,Parvoviridae,Chaphamaparvovirus
Pacific black duck chaphamaparvovirus,2759406,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chestnut teal chaphamaparvovirus 1,2759403,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chestnut teal chaphamaparvovirus 2,2759404,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chestnut teal chaphamaparvovirus 3,2759405,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chestnut teal chaphamaparvovirus,2759402,Piccovirales,Parvoviridae,Chaphamaparvovirus
Wood duck chaphamaparvovirus,2759604,Piccovirales,Parvoviridae,Chaphamaparvovirus
Grey teal chaphamaparvovirus,2759408,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chestnut teal aalivirus,2759411,Picornavirales,Picornaviridae,Aalivirus
Pacific black duck aalivirus,2759412,Picornavirales,Picornaviridae,Aalivirus
Pacific black duck anativirus-like virus,2759419,Picornavirales,Picornaviridae,Anativirus
Adenoviridae sp.,2558248,Rowavirales,Adenoviridae,
Retroviridae sp.,2681591,Ortervirales,Retroviridae,
Onychoprion fuscatus alphaherpesvirus 1,2737701,Herpesvirales,Orthoherpesviridae,
Psittacid herpesvirus 3,240876,Herpesvirales,,
Circoviridae sp.,1954248,Cirlivirales,Circoviridae,
Hepeviridae sp.,2715178,Hepelivirales,Hepeviridae,
Weivirus-like virus sp.,2715103,,,
Parvovirus NIH-CQV,1341019,Piccovirales,Parvoviridae,
Chapparvovirus sp.,2448649,Piccovirales,Parvoviridae,Chapparvovirus
Shackleton virus,2707265,,,
Amundsen virus,2707192,,,
Wendell virus,2707281,,,
Oates virus,2707247,,,
Scott virus,2707261,,,
Ross virus,2707258,,,
Shirase virus,2707267,,,
Mawson virus,2707241,,,
Wilkes virus,2707282,,,
Hilary virus,2707225,,,
Schouten virus,2707260,,,
Gerritsz virus,2707222,,,
Tyabin virus,2707276,,,
Driatsky virus,2707213,,,
Mott virus,2707244,,,
Somov virus,2707269,,,
Rymill virus,2707259,,,
Ellsworth virus,2707217,,,
Nordenskjold virus,2707245,,,
Smith virus,2707268,,,
Halley virus,2707223,,,
Vespucci virus,2707279,,,
Kagge virus,2707226,,,
Raina virus,2707255,,,
Stroud virus,2707270,,,
Petrov virus,2707251,,,
Maksutov virus,2707239,,,
Dubrovin virus,2707215,,,
Treshnikov virus,2707274,,,
Luncke virus,2707236,,,
Dralkin virus,2707212,,,
Tolstikov virus,2707273,,,
Tarbeyev virus,2707271,,,
Serdyukov virus,2707264,,,
Kornilov virus,2707229,,,
Sedov virus,2707262,,,
Fuchs virus,2707220,,,
Bruce virus,2707201,,,
Balleny virus,2707195,,,
Ptolmey virus,2707254,,,
Ui-te-Rangiora virus,2707277,,,
de Kerguelen virus,2707286,,,
Magellan virus,2707238,,,
Coelho virus,2707206,,,
Palmer virus,2707250,,,
Shelvocke virus,2707266,,,
Artemyev virus,2707193,,,
Korotkevich virus,2707230,,,
Lawrence virus,2707234,,,
Krenkel virus,2707231,,,
Averyanov virus,2707194,,,
Khabarov virus,2707228,,,
Bardin virus,2707196,,,
Ketchum virus,2707227,,,
Mella virus,2707242,,,
Cope virus,2707209,,,
Cooper virus,2707208,,,
Tunzelmann virus,2707275,,,
O'Leary virus,2707246,,,
Marr virus,2707240,,,
Halvorsen virus,2707224,,,
Charcot virus,2707204,,,
Biscoe virus,2707198,,,
le Maire virus,2707290,,,
la Roche virus,2707289,,,
d'Urville virus,2707283,,,
de Lozier virus,2707287,,,
Varley virus,2707278,,,
Telmo virus,2707272,,,
Cook virus,2707207,,,
Davis virus,2707210,,,
Bransfield virus,2707200,,,
Bellingshausen virus,2707197,,,
Senko virus,2707263,,,
Riiser virus,2707256,,,
Christensen virus,2707205,,,
Ousland virus,2707249,,,
Dryglaski virus,2707214,,,
Larsen virus,2707233,,,
Borchgrevink virus,2707199,,,
de Gerlache virus,2707285,,,
Kyst virus,2707232,,,
Byrd virus,2707203,,,
Filchner virus,2707219,,,
Dundee virus,2707216,,,
Powell virus,2707253,,,
Lazarev virus,2707235,,,
de Castilla virus,2707284,,,
de Nodal virus,2707288,,,
Drake virus,2707211,,,
Ostrekin virus,2707248,,,
Chicken virus mg4_280,2720902,,,
Chicken virus mg4_657,2720903,,,
Chicken virus mg4_1578,2720900,,,
Chicken virus mg4_2302,2720901,,,
Chicken virus mg5_2197,2720905,,,
Chicken virus mg5_2676,2720906,,,
Chicken virus mg6_2056,2720909,,,
Chicken virus mg8_273,2720912,,,
Chicken virus mg7_41u,2720910,,,
Chicken virus mg5_1345,2720904,,,
Chicken virus mg6_1197,2720908,,,
Chicken virus mg7_59,2720911,,,
Chicken virus mg8_324,2720913,,,
Chicken genomovirus mg2_75,2720938,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg2_77,2720939,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg4_1107,2720940,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg4_1196,2720943,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg4_1210,2720944,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg4_1259,2720947,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg7_70,2720948,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg7_74,2720950,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg8_416,2720953,Geplafuvirales,Genomoviridae,
Chicken genomovirus mg2_274u,2720937,Geplafuvirales,Genomoviridae,
Chicken smacovirus mg2_55,2720957,Cremevirales,Smacoviridae,
Chicken smacovirus mg5_1444,2720963,Cremevirales,Smacoviridae,
Chicken smacovirus mg6_1052,2720964,Cremevirales,Smacoviridae,
Chicken smacovirus mg7_57,2720965,Cremevirales,Smacoviridae,
Chicken smacovirus mg8_345,2720967,Cremevirales,Smacoviridae,
Sylvia atricapilla herpesvirus,2717890,Herpesvirales,,
Cyanistes caeruleus herpesvirus,2717889,Herpesvirales,,
Parvovirus AH0225,2712699,Piccovirales,Parvoviridae,
RNA virus hoopoe/BBanka01/2015/HUN,2711208,,,
Chimney swift adenovirus 1,2510842,Rowavirales,Adenoviridae,
Pygoscepivirus A,2846013,Picornavirales,Picornaviridae,Pygoscepivirus
Duck parvovirus NM4,1962258,Piccovirales,Parvoviridae,
Mason Creek virus,2651593,Bunyavirales,Peribunyaviridae,
Brazilian bird anellovirus type 1,2604331,,Anelloviridae,
Brazilian bird anellovirus type 2,2604332,,Anelloviridae,
Brazilian bird anellovirus type 3,2604333,,Anelloviridae,
Chaphamaparvovirus avian1,3059863,Piccovirales,Parvoviridae,Chaphamaparvovirus
Duck calicivirus 2,2605442,Picornavirales,Caliciviridae,
Gull coronavirus,2605444,Nidovirales,Coronaviridae,
Duck picornavirus duck/FC22/China/2017,2602416,Picornavirales,Picornaviridae,
Red-necked stint Picornavirus B-like,2592520,Picornavirales,Picornaviridae,
Sharp-tailed sandpiper Picornavirus B-like,2592521,Picornavirales,Picornaviridae,
Grey teal calicivirus,2592487,Picornavirales,Caliciviridae,
Grey teal parvovirus,2592488,Piccovirales,Parvoviridae,
Grey teal picobirnavirus X,2592489,Durnavirales,Picobirnaviridae,
Grey teal picobirnavirus y,2592491,Durnavirales,Picobirnaviridae,
Grey teal picobirnavirus Z,2592490,Durnavirales,Picobirnaviridae,
Pink-eared duck calicivirus II,2592510,Picornavirales,Caliciviridae,
Pink-eared duck calicivirus I,2592509,Picornavirales,Caliciviridae,
Pink-eared duck picobirnavirus,2592517,Durnavirales,Picobirnaviridae,
Pink-eared duck picornavirus,2592518,Picornavirales,Picornaviridae,
Pernambuco virus,2565395,,,
Pernambuco mycovirus 1,2565399,,,
Pernambuco nodavirus,2565391,Nodamuvirales,Nodaviridae,
Ruddy turnstone astrovirus,2565393,Stellavirales,Astroviridae,
Ruddy turnstone calicivirus,2565394,Picornavirales,Caliciviridae,
Passerine astrovirus 1,2576226,Stellavirales,Astroviridae,
Passerine astrovirus 2,2576227,Stellavirales,Astroviridae,
Passerine astrovirus 3,2576228,Stellavirales,Astroviridae,
Passerine astrovirus 4,2576229,Stellavirales,Astroviridae,
