Species,NCBI Taxon ID,Order,Family,Genus,CE_clathrin,CE_receptor,CE_glycoproteins,other,finished
Skua siadenovirus A,886980,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Quail picornavirus QPV1/HUN/2010,1089138,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Orthoflavivirus tembusu,3048360,Amarillovirales,Flaviviridae,Orthoflavivirus,1.0,0.0,0.0,0.0,1.0
Pigeon picornavirus B,928289,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Raptor siadenovirus A,691961,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Gyrovirus galga1,2844800,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Fowl aviadenovirus C,190063,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Avian leukosis virus,11864,Ortervirales,Retroviridae,Alpharetrovirus,0.0,1.0,0.0,0.0,1.0
Turkey aviadenovirus B,1146875,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Rotavirus D,335100,Reovirales,Sedoreoviridae,Rotavirus,0.0,0.0,1.0,0.0,1.0
Passerivirus A,1511803,Picornavirales,Picornaviridae,Passerivirus,0.0,1.0,0.0,0.0,1.0
Oscivirus A,1511781,Picornavirales,Picornaviridae,Oscivirus,0.0,1.0,0.0,0.0,1.0
Mardivirus anatidalpha1,3049524,Herpesvirales,Orthoherpesviridae,Mardivirus,0.0,0.0,1.0,0.0,1.0
Highlands J virus,11024,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,0.0,1.0
Duck astrovirus GII.A,905828,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Thrush coronavirus HKU12-600,572290,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Munia coronavirus HKU13,1297661,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Circovirus gull,3047861,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Circovirus finch,3047835,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Circovirus raven,3048293,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Circovirus starling,3048341,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Gammapolyomavirus corvi,1891748,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Gammapolyomavirus pypyrrhula,1891751,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Alphainfluenzavirus influenzae,2955291,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,1.0,0.0,0.0,0.0,1.0
Circovirus duck,3047813,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Reticuloendotheliosis virus,11636,Ortervirales,Retroviridae,Gammaretrovirus,0.0,0.0,1.0,0.0,1.0
Dependoparvovirus anseriform1,1511895,Piccovirales,Parvoviridae,Dependoparvovirus,1.0,0.0,0.0,0.0,1.0
Avian endogenous retrovirus EAV-HP,93465,Ortervirales,Retroviridae,,0.0,0.0,1.0,0.0,1.0
Duck hepatitis B virus,12639,Blubervirales,Hepadnaviridae,Avihepadnavirus,0.0,0.0,1.0,0.0,1.0
Iltovirus psittacidalpha1,3050344,Herpesvirales,Orthoherpesviridae,Iltovirus,0.0,0.0,1.0,0.0,1.0
Thetapapillomavirus 1,197772,Zurhausenvirales,Papillomaviridae,Thetapapillomavirus,0.0,1.0,0.0,0.0,1.0
Circovirus goose,3047842,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Circovirus canary,3047720,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Mardivirus meleagridalpha1,3050320,Herpesvirales,Orthoherpesviridae,Mardivirus,0.0,0.0,1.0,0.0,1.0
Circovirus pigeon,3050342,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Mardivirus gallidalpha2,3050287,Herpesvirales,Orthoherpesviridae,Mardivirus,0.0,0.0,1.0,0.0,1.0
Turkey astrovirus,70793,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Avibirnavirus gumboroense,3048151,,Birnaviridae,Avibirnavirus,0.0,1.0,0.0,0.0,1.0
Orthoflavivirus wesselsbronense,3048447,Amarillovirales,Flaviviridae,Orthoflavivirus,1.0,0.0,0.0,0.0,1.0
Gyrovirus chickenanemia,3047743,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Orthoflavivirus japonicum,3048158,Amarillovirales,Flaviviridae,Orthoflavivirus,1.0,0.0,0.0,0.0,1.0
Goose astrovirus 2,2810457,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Orthoflavivirus nilense,3048448,Amarillovirales,Flaviviridae,Orthoflavivirus,1.0,0.0,0.0,0.0,1.0
Fowl aviadenovirus D,190064,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Chicken genomovirus,1985367 ,Geplafuvirales,Genomoviridae,,0.0,1.0,0.0,0.0,1.0
Microbacterium phage P8_2022_SA,Not found,,,,,,,,
Pigeon gyrovirus,2766787,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus homsa3,2844804,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Fowl aviadenovirus A,190061,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Burhinus oedicnemus herpesvirus,548681,,,,,,,,
Pigeon adenovirus,10535,Rowavirales,Adenoviridae,Mastadenovirus,0.0,0.0,1.0,0.0,1.0
Metapneumovirus avis,3047384,Mononegavirales,Pneumoviridae,Metapneumovirus,0.0,0.0,1.0,0.0,1.0
Java sparrow circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Red-fronted serin circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Hawfinch circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Gouldian finch circovirus,1221219,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Crow circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Magpie circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
European goldfinch circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Purple grenadier circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Bengalese munia circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
White-rumped seedeater circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Common grenadier circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Common bullfinch circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Eurasian blackcap circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Common crossbill circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Yellow-fronted canary circovirus,142661,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Common blackbird circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Common starling circovirus,349370,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Eurasian jay circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Western jackdaw circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Mynah circovirus,39725,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Lavender waxbill polyomavirus,36362,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Fowlpox virus,10261,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Duck atadenovirus A,130328,Rowavirales,Adenoviridae,Atadenovirus,0.0,0.0,1.0,0.0,1.0
Atadenovirus sp.,2671518,Rowavirales,Adenoviridae,Atadenovirus,0.0,0.0,1.0,0.0,1.0
Aviadenovirus sp.,2217649,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Psittacine adenovirus 2,1301246,Rowavirales,Adenoviridae,,0.0,0.0,1.0,0.0,1.0
Siadenovirus sp.,2671519,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Duck astrovirus 3,1897654,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Duck hepatitis virus 3,352474,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Sindbis virus,11034,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,0.0,1.0
Gammapolyomavirus avis,1891747,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Avihepatovirus A,691956,Picornavirales,Picornaviridae,Avihepatovirus,0.0,1.0,0.0,0.0,1.0
Circovirus parrot,3047561,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Orthoflavivirus bagazaense,3047385,Amarillovirales,Flaviviridae,Orthoflavivirus,1.0,0.0,0.0,0.0,1.0
Deltacoronavirus sp.,1911231,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Aveparvovirus galliform1,3051983,Piccovirales,Parvoviridae,Aveparvovirus,1.0,0.0,0.0,0.0,1.0
Aviadenovirus hydropericardii,3250174,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Buldecovirus sp.,2832629,Nidovirales,Coronaviridae,Deltacoronavirus,0.0,0.0,1.0,0.0,1.0
Fowl adenovirus,1354736,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Rotavirus A,28875,Reovirales,Sedoreoviridae,Rotavirus,0.0,0.0,1.0,0.0,1.0
Avian avastrovirus 4,3242737,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Turkey siadenovirus A,298333,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Avipoxvirus sp.,1928336,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Avian astrovirus,1914440,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Tremovirus A,70796,Picornavirales,Picornaviridae,Tremovirus,0.0,1.0,0.0,0.0,1.0
Avian nephritis virus,1354735,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Orthoflavivirus usutuense,3048443,Amarillovirales,Flaviviridae,Orthoflavivirus,1.0,0.0,0.0,0.0,1.0
Anatid alphaherpesvirus 2,3080522,Herpesvirales,Orthoherpesviridae,,0.0,0.0,1.0,0.0,1.0
Anatid alphaherpesvirus 3,3233541,Herpesvirales,Orthoherpesviridae,,0.0,0.0,1.0,0.0,1.0
Chicken proventricular necrosis virus,908207,,Birnaviridae,,0.0,1.0,0.0,0.0,1.0
Avihepevirus magniiecur,1678144,Hepelivirales,Hepeviridae,Avihepevirus,1.0,0.0,0.0,0.0,1.0
Ostrich parvovirus,2699166,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Porcine epidemic diarrhea virus,28295,Nidovirales,Coronaviridae,Alphacoronavirus,0.0,0.0,1.0,0.0,1.0
Duck sapelovirus,3163392,Picornavirales,Picornaviridae,Sapelovirus,0.0,1.0,0.0,0.0,1.0
Megrivirus sp.,2809560,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Crucivirus sp.,2569971,,,,,,,,
Tick-associated DNA virus,3138950,,,,,,,,
CRESS DNA virus,3138951,,,,,,,,
Psittaciform aveparvovirus,3042447,Piccovirales,Parvoviridae,Aveparvovirus,1.0,0.0,0.0,0.0,1.0
Tick-associated circular DNA virus,2963861,,,,,,,,
Sewage-associated circular DNA virus,3138952,,,,,,,,
Psittacine siadenovirus F,2874383,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Circovirus sp.,1964372,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Cressdnaviricota sp.,2748378,,,,,,,,
Chimeric virus 14,1608440,,,,,,,,
Paramecium bursaria Chlorella virus,3138953,,,,,,,,
Condorpox virus,3049970,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Apapanepox virus,3049969,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
bar-headed goose anativirus,3155980,Picornavirales,Picornaviridae,Anativirus,0.0,1.0,0.0,0.0,1.0
bar-headed goose hepatovirus,3155981,Picornavirales,Picornaviridae,Hepatovirus,1.0,0.0,0.0,0.0,1.0
bar-headed goose megrivirus,3155982,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Larus ridibundus coronavirus,3153733,Nidovirales,Coronaviridae,,0.0,0.0,1.0,0.0,1.0
Anser fabalis coronavirus,3153734,Nidovirales,Coronaviridae,,0.0,0.0,1.0,0.0,1.0
Duck-dominant coronavirus,1649337,Nidovirales,Coronaviridae,,0.0,0.0,1.0,0.0,1.0
Goose astrovirus 1,2910303,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Torque teno virus,68887,,Anelloviridae,,0.0,1.0,0.0,0.0,1.0
Marcaroli circovirus,3138814,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Spata circovirus,3138815,Cirlivirales,Circoviridae,Circovirus,1.0,0.0,0.0,0.0,1.0
Parvovirus phylloscopus5247,3117183,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus luscinia6815,3117122,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus phoenicurus4436,3117181,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus phoenicurus12233s2,3117180,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus zapornia4554,3117225,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus laniidae3881,3117115,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus lanius6615,3117116,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Herpesvirus eupittula14478,3116695,Herpesvirales,,,0.0,0.0,1.0,0.0,1.0
Parvovirus chrysococcyx3867a,3117070,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus turdus6774,3117217,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Adenovirus acanthiza15342,3115873,Rowavirales,Adenoviridae,,0.0,0.0,1.0,0.0,1.0
Parvovirus turdus4154,3117216,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus phylloscopus5401s2,3117185,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Polyomavirus odontophorus5057,3117261,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus grus5099,3117098,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Polyomavirus phylloscopus4853,3117270,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus anas3568,3117034,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus sylvia4828,3117208,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus leiothrix4587,3117119,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus numida6704,3117160,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus emberiza5140,3117078,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Polyomavirus erythrura5304,3117230,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus luscinia5410,3117121,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Papillomavirus numida8051,3116987,Zurhausenvirales,Papillomaviridae,,0.0,1.0,0.0,0.0,1.0
Polyomavirus taeniopygia5555,3117282,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus zonotrichia4755,3117226,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus anser6262,3117037,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus larvivora5808,3117117,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus grus5877,3117099,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus chalcites3867,3117064,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus phoenicopterus3947,3117178,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus grus5942,3117100,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Anellovirus meleagris2358,3115994,,Anelloviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus phoenicurus12233s1,3117179,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus emberiza6660,3117080,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus anser6071,3117036,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus anser7825,3117039,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Polyomavirus prunella5215,3117274,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus phylloscopus4927,3117182,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Anellovirus gallus2670,3115989,,Anelloviridae,,0.0,1.0,0.0,0.0,1.0
Meldvirus gallus11737,3116726,,,,,,,,
Papillomavirus luscinia7441,3116978,Zurhausenvirales,Papillomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus anser7324,3117038,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Polyomavirus saxicola5252a,3117279,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Polyomavirus sericulus5319,3117280,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Cressvirus meleagris1922,3116679,,,,,,,,
Parvovirus emberiza7086,3117081,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Cressvirus meleagris952,3116680,,,,,,,,
Adintovirus pavo15764,3115938,Orthopolintovirales,Adintoviridae,,0.0,0.0,0.0,0.0,1.0
Parvovirus phylloscopus5401s1,3117184,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus leiothrix3317,3117118,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus streptopelia4404,3117207,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Polyomavirus erythrura5362,3117231,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus emberiza5276,3117079,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Parvovirus steptopelia5095,3117206,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Polyomavirus pteridophora5384,3117276,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Polyomavirus zonotrichia5422,3117287,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Polyomavirus phylloscopus4708,3117269,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus steptopelia4906,3117205,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Anellovirus meleagris2399,3115995,,Anelloviridae,,0.0,1.0,0.0,0.0,1.0
Parvovirus phasianus6595,3117175,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Psittacine adenovirus 12,3134257,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Avian polyomavirus,1702318,Sepolyvirales,Polyomaviridae,,0.0,1.0,0.0,0.0,1.0
Canarypox virus,44088,Chitovirales,Poxviridae,Avipoxvirus,0.0,0.0,1.0,0.0,1.0
Spheniscid alphaherpesvirus 2,3134033,Herpesvirales,Orthoherpesviridae,,0.0,0.0,1.0,0.0,1.0
Calonectris borealis alphaherpesvirus,3129245,Herpesvirales,Orthoherpesviridae,,0.0,0.0,1.0,0.0,1.0
Ardenna gravis alphaherpesvirus,3129244,Herpesvirales,Orthoherpesviridae,,0.0,0.0,1.0,0.0,1.0
Gyrovirus 2316_26,3127497,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus 2316_32,3127498,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus 2885_18H,3127499,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus 2885_18K,3127500,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus 2885_18L,3127501,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Gyrovirus 2126_10,3127502,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Lymphoproliferative disease virus,11961,Ortervirales,Retroviridae,Alpharetrovirus,0.0,1.0,0.0,0.0,1.0
Feral pigeon astrovirus,928291,Stellavirales,Astroviridae,,0.0,1.0,0.0,0.0,1.0
Pigeon astrovirus,3079711,Stellavirales,Astroviridae,,0.0,1.0,0.0,0.0,1.0
Duck aviadenovirus,2875327,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Comazfec virus 1,3112648,,,,,,,,
Comazfec virus 2,3112649,,,,,,,,
Comazfec virus 3,3112650,,,,,,,,
Comazfec virus 4,3112651,,,,,,,,
Comazfec virus 5,3112652,,,,,,,,
Comazfec virus 6,3112653,,,,,,,,
Comazfec virus 7,3112654,,,,,,,,
Comazfec virus 8,3112655,,,,,,,,
Comazfec virus 9,3112656,,,,,,,,
Comazfec virus 10,3112657,,,,,,,,
Comazfec virus 11,3112658,,,,,,,,
Comazfec virus 12,3112659,,,,,,,,
Comazfec virus 13,3112660,,,,,,,,
Comazfec virus 14,3112661,,,,,,,,
Comazfec virus 15,3112662,,,,,,,,
Comazfec virus 16,3112663,,,,,,,,
Comazfec virus 17,3112664,,,,,,,,
Malazfec virus 1,3112667,,,,,,,,
Malazfec virus 9,3112675,,,,,,,,
Malazfec virus 10,3112676,,,,,,,,
Malazfec virus 11,3112677,,,,,,,,
Malazfec virus 12,3112678,,,,,,,,
Malazfec virus 13,3112679,,,,,,,,
Malazfec virus 14,3112680,,,,,,,,
Malazfec virus 15,3112681,,,,,,,,
Malazfec virus 16,3112682,,,,,,,,
Malazfec virus 17,3112683,,,,,,,,
Malazfec virus 18,3112684,,,,,,,,
Malazfec virus 19,3112685,Geplafuvirales,Genomoviridae,,0.0,1.0,0.0,0.0,1.0
Malazfec virus 20,3112686,Geplafuvirales,Genomoviridae,,0.0,1.0,0.0,0.0,1.0
Malazfec virus 21,3112687,Geplafuvirales,Genomoviridae,,0.0,1.0,0.0,0.0,1.0
Malazfec virus 22,3112688,,,,,,,,
Malazfec virus 23,3112689,,,,,,,,
Malazfec virus 24,3112690,,,,,,,,
Malazfec virus 25,3112691,,,,,,,,
Short beak and dwarfism syndrome virus,3118410,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Swan goose coronavirus,3064243,Nidovirales,Coronaviridae,Gammacoronavirus,0.0,0.0,1.0,0.0,1.0
,Not found,,,,,,,,
Avastrovirus 3,1239439,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
Gammacoronavirus sp.,2163008,Nidovirales,Coronaviridae,Gammacoronavirus,0.0,0.0,1.0,0.0,1.0
Anser circovirus,3113012,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Anas platyrhynchos papillomavirus 3,3112618,Zurhausenvirales,Papillomaviridae,,0.0,1.0,0.0,0.0,1.0
Hepacivirus sp.,2202624,Amarillovirales,Flaviviridae,Hepacivirus,1.0,0.0,0.0,0.0,1.0
Duck astrovirus CPH,1517684,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
unidentified influenza virus,11309,Articulavirales,Orthomyxoviridae,,0.0,0.0,1.0,0.0,1.0
Mute swan associated circo-like virus,3104762,Cirlivirales,Circoviridae,,0.0,1.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform 7,3104763,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform 8,3104764,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus anseriform 9,3104765,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Sturnus papillomavirus,3106067,Zurhausenvirales,Papillomaviridae,,0.0,1.0,0.0,0.0,1.0
Thinornis picornavirus,3106068,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Grus nigricollis-associatied genomovirus,3077354,Geplafuvirales,Genomoviridae,,0.0,1.0,0.0,0.0,1.0
Protoparvovirus sp.,1987106,Piccovirales,Parvoviridae,Protoparvovirus,1.0,0.0,0.0,0.0,1.0
Grusopivirus sp.,2809444,Picornavirales,Picornaviridae,Grusopivirus,0.0,1.0,0.0,0.0,1.0
Yellow-eyed penguin megrivirus,3085107,Picornavirales,Picornaviridae,Megrivirus,0.0,1.0,0.0,0.0,1.0
Yellow-eyed penguin picornavirus,3085108,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Gammapolyomavirus anseris,1891746,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,0.0,1.0,0.0,0.0,1.0
Psittaciform chaphamaparvovirus 4,3090915,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Psittaciform chaphamaparvovirus 5,3090916,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Psittaciform chaphamaparvovirus 6,3090917,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Canary dependoparvovirus 1,3085222,Piccovirales,Parvoviridae,Dependoparvovirus,1.0,0.0,0.0,0.0,1.0
Canary chaphamaparvovirus 1,3085220,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Canary chaphamaparvovirus 2,3085221,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Canary dependoparvovirus 2,3085223,Piccovirales,Parvoviridae,Dependoparvovirus,1.0,0.0,0.0,0.0,1.0
Gyrovirus homsa1,2844802,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Tawny frogmouth aviadenovirus A,3042372,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Chicken astrovirus,336959,Stellavirales,Astroviridae,Avastrovirus,0.0,1.0,0.0,0.0,1.0
