,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
1208,Circovirus parrot,Spilopelia chinensis,4,4,0,0
1209,Circovirus parrot,Ocyphaps lophotes,11,11,0,0
1210,Circovirus parrot,Dacelo novaeguineae,9,9,0,2
1211,Circovirus parrot,Todiramphus sanctus,6,6,0,0
1212,Circovirus parrot,Milvus migrans,1,1,0,0
1213,Circovirus parrot,Geopelia placida,1,1,0,0
1214,Circovirus parrot,Cacatua sanguinea,14,14,0,7
1215,Circovirus parrot,Ninox boobook,3,3,0,1
1216,Circovirus parrot,Macropygia phasianella,1,1,0,0
1217,Circovirus parrot,Phaps chalcoptera,1,1,0,0
1218,Circovirus parrot,Cacatua tenuirostris,3,3,0,0
1219,Avipoxvirus sp.,Ocyphaps lophotes,3,3,0,0
1220,Iltovirus psittacidalpha1,Trichoglossus moluccanus,4,4,0,0
1221,Iltovirus psittacidalpha1,Todiramphus sanctus,2,2,0,0
1222,Iltovirus psittacidalpha1,Cacatua sanguinea,1,1,0,0
1223,Iltovirus psittacidalpha1,Ocyphaps lophotes,3,3,0,0
1224,Orthoflavivirus nilense,Phylloscopus collybita,1,1,0,0
1225,Alphainfluenzavirus influenzae,Pavo,7,7,0,0
1226,Orthoflavivirus usutuense,Muscicapa striata,1,1,0,0
1227,Orthoflavivirus usutuense,Larus michahellis,2,2,0,0
1228,Orthobornavirus alphapsittaciforme,Amazona aestiva,30,30,0,0
1229,Orthobornavirus alphapsittaciforme,Brotogeris tirica,1,1,0,0
1230,Alphainfluenzavirus influenzae,Charadriiformes,71,71,0,0
1231,Avian polyomavirus,Agapornis pullarius,1,1,0,0
1232,Cooks petrelpox virus,Pterodroma cookii,1,1,0,1
1233,Orthoflavivirus usutuense,Tachyeres,2,2,0,0
1234,Orthobunyavirus bunyamweraense,Hydrocoloeus minutus,3,3,0,2
1235,Alphainfluenzavirus influenzae,Anser brachyrhynchus,34,34,0,0
1236,Avihepevirus magniiecur,Phasianus colchicus,1,1,0,1
1237,Circovirus parrot,Myiopsitta monachus,2,2,0,0
1238,Circovirus parrot,Pyrrhura molinae,1,1,0,0
1239,Yellow-eyed penguin gyrovirus,Megadyptes antipodes,31,31,0,0
1240,Circovirus parrot,Columba livia,5,5,0,0
1241,Circovirus parrot,Platycercus icterotis,1,1,0,0
1242,Circovirus parrot,Forpus coelestis,3,3,0,1
1243,Circovirus parrot,Aratinga sp.,2,2,0,0
1244,Circovirus parrot,Poicephalus sp.,3,3,0,0
1245,Circovirus parrot,Cacatua sulphurea,7,7,0,2
1246,Circovirus parrot,Neophema pulchella,1,1,0,0
1247,Gammapolyomavirus avis,Aratinga sp.,2,2,0,0
1248,Gammapolyomavirus avis,Poicephalus sp.,1,1,0,0
1249,Gammapolyomavirus avis,Neophema pulchella,1,1,0,0
1250,Circovirus pigeon,Ducula bicolor,3,3,0,0
1251,Circovirus pigeon,Geopelia humeralis,1,1,0,0
1252,Circovirus pigeon,Goura scheepmakeri,1,1,0,0
1253,Alphainfluenzavirus influenzae,Anser,21,21,0,0
1254,Gammacoronavirus sp.,Columbidae sp.,2,2,0,0
1255,Gammacoronavirus sp.,Aves sp.,5,5,0,0
1256,Alphainfluenzavirus influenzae,Corvus macrorhynchos,71,71,0,0
1257,Alphainfluenzavirus influenzae,Gallinula,20,20,0,0
1258,Zebra finch hepacivirus 1,Taeniopygia guttata,2,2,0,0
1259,Zebra finch hepacivirus 2,Taeniopygia guttata,2,2,0,0
1260,Gammacoronavirus sp.,Larus argentatus,2,2,0,0
1261,Gammacoronavirus sp.,Calidris ruficollis,2,2,0,0
1262,Gammacoronavirus sp.,Melanitta nigra,4,4,0,0
1263,Deltacoronavirus sp.,Corvus cornix,1,1,0,0
1264,Orthoavulavirus javaense,Struthio camelus,40,40,0,3
1265,Metaavulavirus yucaipaense,Aves,4,4,0,0
1266,Toutouwai hepatovirus,Petroica longipes,1,1,0,0
1267,Avian associated calicivirus 5,Petroica longipes,1,1,0,0
1268,Avian associated hepe-like virus 10,Petroica longipes,1,1,0,0
1269,Avian associated picorna-like virus 15,Petroica longipes,1,1,0,0
1270,Avian associated picorna-like virus 14,Petroica longipes,1,1,0,0
1271,Avian associated picorna-like virus 20,Petroica longipes,1,1,0,0
1272,Avian associated picorna-like virus 21,Petroica longipes,1,1,0,0
1273,Avian associated picorna-like virus 19,Petroica longipes,1,1,0,0
1274,Avian associated hepe-like virus 8,Petroica longipes,1,1,0,0
1275,Avian associated picorna-like virus 25,Petroica longipes,1,1,0,0
1276,Avian associated picorna-like virus 22,Petroica longipes,1,1,0,0
1277,Avian associated picorna-like virus 17,Petroica longipes,1,1,0,0
1278,Avian associated picorna-like virus 16,Petroica longipes,1,1,0,0
1279,Avian associated picorna-like virus 13,Petroica longipes,1,1,0,0
1280,Avian associated picorna-like virus 24,Petroica longipes,1,1,0,0
1281,Avian associated picorna-like virus 18,Petroica longipes,1,1,0,0
1282,Avian associated hepe-like virus 9,Petroica longipes,1,1,0,0
1283,Avian associated picorna-like virus 23,Petroica longipes,1,1,0,0
1284,Avian associated hepe-like virus 7,Petroica longipes,1,1,0,0
1285,Avian associated picorna-like virus 27,Petroica longipes,1,1,0,0
1286,Avian associated picorna-like virus 26,Petroica longipes,1,1,0,0
1287,Fowl adenovirus,Aves,24,24,0,0
1288,Avian coronavirus,Anas zonorhyncha,3,3,0,0
1289,Deltacoronavirus sp.,Anas crecca,2,2,0,0
1290,Deltacoronavirus sp.,Anas zonorhyncha,6,6,0,0
1291,Deltacoronavirus sp.,Anas platyrhynchos,1,1,0,0
1292,Rous sarcoma virus,Gallus gallus,8,8,0,0
1293,Sunrhavirus bimbo,Euplectes afer,3,3,0,1
1294,Sunrhavirus kolongo,Euplectes afer,3,3,0,1
1295,Avian megrivirus,Sterna dougallii,1,1,0,1
1296,Alphainfluenzavirus influenzae,Pelecanus crispus,17,17,0,0
1297,Alphainfluenzavirus influenzae,Tadorna,65,65,0,1
1298,Alphainfluenzavirus influenzae,Coscoroba coscoroba,16,16,0,0
1299,Alphainfluenzavirus influenzae,Fulica armillata,16,16,0,0
1300,Alphainfluenzavirus influenzae,Himantopus melanurus,24,24,0,0
1301,Alphainfluenzavirus influenzae,Heteronetta atricapilla,8,8,0,0
1302,Alphainfluenzavirus influenzae,Anas cyanoptera,319,319,0,24
1303,Alphainfluenzavirus influenzae,Vanellus chilensis,8,8,0,0
1304,Duck adeno-associated virus,Anatidae,2,2,0,0
1305,Magpiepox virus 2,Gymnorhina tibicen,1,1,0,1
1306,Metaavulavirus tennessense,Columba palumbus,1,1,0,0
1307,Metaavulavirus tennessense,Columba oenas,1,1,0,0
1308,Gammacoronavirus sp.,Ichthyaetus ichthyaetus,1,1,0,0
1309,Gammacoronavirus sp.,Chroicocephalus ridibundus,1,1,0,0
1310,Gammacoronavirus sp.,Pelecanus crispus,3,3,0,0
1311,Gammacoronavirus sp.,Columba oenas,1,1,0,0
1312,Gammacoronavirus sp.,Columba livia,1,1,0,0
1313,Psittaciform chaphamaparvovirus 3,Cacatua sanguinea,1,1,0,1
1314,Avastrovirus sp.,Hydroprogne caspia,1,1,0,0
1315,Avastrovirus sp.,Columba livia,1,1,0,0
1316,Avastrovirus sp.,Merops apiaster,1,1,0,0
1317,Avastrovirus sp.,Hirundo rustica,1,1,0,0
1318,Avastrovirus sp.,Coloeus monedula,2,2,0,0
1319,Avastrovirus sp.,Corvus frugilegus,1,1,0,0
1320,Duck circovirus 3,Anatidae,1,1,0,1
1321,Siadenovirus sp.,Anous minutus,4,4,0,0
1322,Aviadenovirus sp.,Anous minutus,1,1,0,0
1323,Siadenovirus sp.,Anous stolidus,1,1,0,0
1324,Siadenovirus sp.,Sula leucogaster,1,1,0,0
1325,Aviadenovirus sp.,Sula dactylatra,1,1,0,0
1326,Aviadenovirus sp.,Sula sula,1,1,0,0
1327,Aviadenovirus sp.,Anous stolidus,1,1,0,0
1328,Nyavirus nyamaniniense,Bubulcus ibis,1,1,0,1
1329,Orthoflavivirus nilense,Larus michahellis,2,2,0,1
1330,Orthoflavivirus nilense,Turdus merula,5,5,0,4
1331,Orthoflavivirus nilense,Columba palumbus,1,1,0,1
1332,Orthoflavivirus nilense,Egretta garzetta,1,1,0,1
1333,Orthoavulavirus javaense,Nycticorax nycticorax,1,1,0,0
1334,Circovirus parrot,Trichoglossus haematodus,83,83,0,57
1335,trumpeter swan calicivirus,Cygnus buccinator,1,1,0,1
1336,Avian leukosis virus,Gallus sp.,2,2,0,2
1337,Goose astrovirus 1,Anser sp.,5,5,0,5
1338,Alphainfluenzavirus influenzae,Bucephala albeola,268,268,0,0
1339,Mardivirus columbidalpha1,Bubo bubo,3,3,0,0
1340,Alphainfluenzavirus influenzae,Morus bassanus,2,2,0,0
1341,duck egg-reducing syndrome virus,Anas platyrhynchos,1,1,0,1
1342,duck egg-reducing syndrome virus,Anatidae,8,8,0,8
1343,Orthoflavivirus usutuense,Turdidae,2,2,0,0
1344,Orthoflavivirus usutuense,Erithacus rubecula,1,1,0,0
1345,Orthoflavivirus usutuense,Columba sp.,1,1,0,0
1346,Orthoflavivirus usutuense,Leucopsar rothschildi,1,1,0,0
1347,Orthoflavivirus usutuense,Cyanistes caeruleus,4,4,0,0
1348,Orthoflavivirus usutuense,Passer domesticus,5,5,0,1
1349,Orthoflavivirus usutuense,Parus major,3,3,0,1
1350,Orthoflavivirus usutuense,Erythrura prasina,1,1,0,0
1351,Orthoflavivirus usutuense,Serinus canaria,3,3,0,0
1352,Alphainfluenzavirus influenzae,Falco rusticolus,16,16,0,8
1353,Avian polyomavirus,Psittacula eupatria,2,2,0,0
1354,Avian polyomavirus,Agapornis fischeri,1,1,0,0
1355,Gammacoronavirus sp.,Larus,1,1,0,0
1356,Avian astrovirus,Anser indicus,15,15,0,0
1357,Siadenovirus sp.,Uria aalge,1,1,0,1
1358,Crowpox virus,Corvus bennetti,1,1,0,1
1359,Chaphamaparvovirus sp.,Gallus gallus,131,131,0,0
1360,Avipoxvirus isolate Galapagos Islands,Geospiza fuliginosa,9,9,0,0
1361,Avipoxvirus isolate Galapagos Islands,Geospiza fortis,7,7,0,0
1362,Avipoxvirus isolate Galapagos Islands,Setophaga petechia aureola,1,1,0,0
1363,Circovirus parrot,Agapornis pullarius,1,1,0,0
1364,Circovirus parrot,Amazona festiva,1,1,0,0
1365,Circovirus parrot,Taeniopygia guttata,1,1,0,0
1366,Circovirus parrot,Lonchura oryzivora,1,1,0,0
1367,Wigfec virus K19_482,Mareca americana,1,1,0,1
1368,Wigfec virus K19_469,Mareca americana,1,1,0,1
1369,Wigfec virus K19_435,Mareca americana,1,1,0,1
1370,Wigfec virus K19_467,Mareca americana,1,1,0,1
1371,Wigfec virus K19_227,Mareca americana,1,1,0,1
1372,Wigfec virus K19_426,Mareca americana,1,1,0,1
1373,Wigfec virus K19_432,Mareca americana,1,1,0,1
1374,Wigfec virus K19_450,Mareca americana,1,1,0,1
1375,Wigfec virus K19_484,Mareca americana,1,1,0,1
1376,Wigfec virus K19_486,Mareca americana,1,1,0,1
1377,Wigfec virus K19_494,Mareca americana,1,1,0,1
1378,Wigfec virus K19_511,Mareca americana,1,1,0,1
1379,Wigfec virus K19_521,Mareca americana,1,1,0,1
1380,Wigfec virus K19_545,Mareca americana,1,1,0,1
1381,Wigfec virus K19_562,Mareca americana,1,1,0,1
1382,Wigfec virus K19_588,Mareca americana,1,1,0,1
1383,Wigfec virus K19_598,Mareca americana,1,1,0,1
1384,Wigfec virus K19_605,Mareca americana,1,1,0,1
1385,Wigfec virus K19_623,Mareca americana,1,1,0,1
1386,Wigfec virus K19_658,Mareca americana,1,1,0,1
1387,Wigfec virus K19_292,Mareca americana,1,1,0,1
1388,Wigfec virus K19_346,Mareca americana,1,1,0,1
1389,Wigfec virus K19_385,Mareca americana,1,1,0,1
1390,Wigfec virus K19_525,Mareca americana,1,1,0,1
1391,Wigfec virus K19_555,Mareca americana,1,1,0,1
1392,Wigfec virus K19_558,Mareca americana,1,1,0,1
1393,Wigfec virus K19_561,Mareca americana,1,1,0,1
1394,Wigfec virus K19_571,Mareca americana,1,1,0,1
1395,Wigfec virus K19_593,Mareca americana,1,1,0,1
1396,Wigfec virus K19_600,Mareca americana,1,1,0,1
1397,Wigfec virus K19_645,Mareca americana,1,1,0,1
1398,Wigfec virus K19_654,Mareca americana,1,1,0,1
1399,Wigfec virus K19_668,Mareca americana,1,1,0,1
1400,Wigfec virus K19_691,Mareca americana,1,1,0,1
1401,Wigfec virus K19_221,Mareca americana,1,1,0,1
1402,Wigfec virus K19_259,Mareca americana,1,1,0,1
1403,Wigfec virus K19_327,Mareca americana,1,1,0,1
1404,Wigfec virus K19_443,Mareca americana,1,1,0,1
1405,Wigfec virus K19_493,Mareca americana,1,1,0,1
1406,Wigfec virus K19_526,Mareca americana,1,1,0,1
1407,Wigfec virus K19_576,Mareca americana,1,1,0,1
1408,Wigfec virus K19_615,Mareca americana,1,1,0,1
1409,Wigfec virus K19_448,Mareca americana,1,1,0,1
1410,Wigfec virus K19_454,Mareca americana,1,1,0,1
1411,Wigfec virus K19_513,Mareca americana,1,1,0,1
1412,Orthobornavirus alphapsittaciforme,Amazona sp.,1,1,0,0
1413,Orthobornavirus alphapsittaciforme,Trichoglossus moluccanus,1,1,0,0
1414,Zingilamo virus,Bycanistes fistulator sharpii,1,1,0,1
1415,Bandavirus dabieense,Gallus gallus,7,7,0,0
1416,Bandavirus dabieense,Anatidae,3,3,0,0
1417,Bandavirus dabieense,Anser sp.,5,5,0,0
1418,Avipoxvirus sp.,Meleagris gallopavo,20,20,0,0
1419,Avipoxvirus sp.,Columba livia,9,9,0,0
1420,Meleagrid alphaherpesvirus 2,Gallus gallus,1,1,0,0
1421,Alphainfluenzavirus influenzae,Fulmarus glacialis,1,1,0,0
1422,Alphainfluenzavirus influenzae,Haliaeetus pelagicus,5,5,0,0
1423,Alphainfluenzavirus influenzae,Milvus migrans,2,2,0,0
1424,Gyrovirus galga1,Ardeidae,1,1,0,1
1425,Gyrovirus galga1,Lophura nycthemera,1,1,0,1
1426,Gyrovirus galga1,Pavo,1,1,0,1
1427,Gammacoronavirus sp.,Calidris alpina,2,2,0,0
1428,Deltacoronavirus sp.,Calidris ruficollis,3,3,0,0
1429,Deltacoronavirus sp.,Calidris alpina,7,7,0,0
1430,Deltacoronavirus sp.,Mareca strepera,3,3,0,0
1431,Deltacoronavirus sp.,Larus heuglini,1,1,0,0
1432,Deltacoronavirus sp.,Larus schistisagus,1,1,0,0
1433,Circovirus parrot,Anodorhynchus hyacinthinus,4,4,0,0
1434,Gammacoronavirus sp.,Aythya fuligula,1,1,0,0
1435,Gammacoronavirus sp.,Anas acuta,1,1,0,0
1436,Gammacoronavirus sp.,Mergus merganser,1,1,0,0
1437,Gammacoronavirus sp.,Mareca strepera,1,1,0,0
1438,Gammacoronavirus sp.,Larus fuscus,1,1,0,0
1439,Gammacoronavirus sp.,Spatula clypeata,1,1,0,0
1440,Gammacoronavirus sp.,Corvus frugilegus,2,2,0,0
1441,Gammacoronavirus sp.,Mareca penelope,1,1,0,0
1442,Alphainfluenzavirus influenzae,Phoenicopterus ruber,12,12,0,0
1443,Circovirus pigeon,Oxyura australis,1,1,0,0
1444,Circovirus pigeon,Gymnorhina tibicen,1,1,0,0
1445,Temminck's stint calicivirus,Calidris temminckii,1,1,0,1
1446,Aviadenovirus sp.,Gallus gallus,5,5,0,0
1447,Duck picornavirus,Anas platyrhynchos,2,2,0,0
1448,Crow astrovirus,Corvus,3,3,0,0
1449,Orthoavulavirus javaense,Pavo cristatus,5,5,0,3
1450,psittacine adenovirus 8,Psittacus erithacus,1,1,0,0
1451,psittacine adenovirus 9,Nymphicus hollandicus,1,1,0,0
1452,psittacine adenovirus 10,Psittacula krameri,1,1,0,0
1453,Psittacine siadenovirus D,Melopsittacus undulatus,2,2,0,1
1454,Alphainfluenzavirus influenzae,Anas,210,210,0,1
1455,Alphainfluenzavirus influenzae,Anas zonorhyncha,4,4,0,0
1456,Fowl aviadenovirus B,Anatidae,1,1,0,1
1457,Alphainfluenzavirus influenzae,Netta peposaca,66,66,0,0
1458,Orthoflavivirus nilense,Streptopelia decaocto,2,2,0,1
1459,Wood pigeon astrovirus,Spatula clypeata,1,1,0,0
1460,Avastrovirus 3,Spatula clypeata,4,4,0,0
1461,Feral pigeon astrovirus,Spatula clypeata,4,4,0,0
1462,Feral pigeon astrovirus,Anas crecca,5,5,0,0
1463,Avastrovirus 3,Anas acuta,14,14,0,0
1464,Feral pigeon astrovirus,Anas acuta,2,2,0,0
1465,Wood pigeon astrovirus,Anas acuta,1,1,0,0
1466,Avastrovirus 2,Anas crecca,2,2,0,0
1467,Avastrovirus 3,Anas crecca,4,4,0,0
1468,Wood pigeon astrovirus,Spilopelia senegalensis,1,1,0,0
1469,Avian coronavirus,Phasianus colchicus,13,13,0,0
1470,Avian coronavirus,Anas,17,17,0,0
1471,Avipoxvirus sp.,Spilopelia chinensis,1,1,0,0
1472,Orthoflavivirus nilense,Corvus corone,7,7,0,0
1473,Orthoflavivirus nilense,Accipiter,1,1,0,0
1474,Orthoflavivirus nilense,Apus apus,1,1,0,0
1475,Orthoflavivirus nilense,Hirundinidae,1,1,0,0
1476,Orthoflavivirus nilense,Curruca conspicillata,1,1,0,0
1477,Orthoflavivirus nilense,Strix aluco,2,2,0,1
1478,Mardivirus columbidalpha1,Columbidae,3,3,0,0
1479,Orthobornavirus alphapsittaciforme,Pyrrhura rhodocephala,1,1,0,0
1480,Orthoflavivirus nilense,Falco tinnunculus,1,1,0,0
1481,Orthoflavivirus nilense,Aves,68,68,0,13
1482,Astroviridae sp.,Prunella montanella,4,4,0,0
1483,Astroviridae sp.,Periparus ater,2,2,0,0
1484,Astroviridae sp.,Phylloscopus inornatus,2,2,0,0
1485,Astroviridae sp.,Cyanopica cyanus,2,2,0,0
1486,Astroviridae sp.,Calliope calliope,2,2,0,0
1487,Raptor adenovirus,Buteo jamaicensis,4,4,0,0
1488,Raptor adenovirus,Buteo platypterus,2,2,0,0
1489,Circovirus parrot,Pionus maximiliani,2,2,0,0
1490,Circovirus parrot,Poicephalus senegalus,7,7,0,2
1491,Circovirus parrot,Cyanoramphus novaezelandiae,29,29,0,27
1492,Circovirus parrot,Agapornis swindernianus,1,1,0,0
1493,Circovirus parrot,Aratinga jandaya,3,3,0,0
1494,Circovirus parrot,Guaruba guarouba,3,3,0,0
1495,Circovirus parrot,Columbidae,2,2,0,0
1496,Duck adeno-associated virus,Cairina moschata,1,1,0,0
1497,Circovirus parrot,Psittacidae,4,4,0,2
1498,Avian coronavirus,Columba livia,20,20,0,0
1499,Oriolus adenovirus,Oriolus chinensis,1,1,0,0
1500,Circovirus parrot,Aratinga auricapillus,1,1,0,0
1501,Anas platyrhynchos papillomavirus 2,Anas platyrhynchos,1,1,0,1
1502,Aviadenovirus sp.,Turdus philomelos,1,1,0,0
1503,Aviadenovirus sp.,Lanius collurio,1,1,0,0
1504,Atadenovirus sp.,Sitta europaea,1,1,0,0
1505,Aviadenovirus sp.,Emberiza citrinella,1,1,0,0
1506,Atadenovirus sp.,Passer montanus,2,2,0,0
1507,Aviadenovirus sp.,Coccothraustes coccothraustes,1,1,0,0
1508,Siadenovirus sp.,Columba livia,1,1,0,0
1509,Aviadenovirus sp.,Dendrocopos major,1,1,0,0
1510,Psittacine siadenovirus D,Aratinga nenday,1,1,0,0
1511,Aviadenovirus sp.,Accipiter nisus,1,1,0,0
1512,Aviadenovirus sp.,Falco tinnunculus,1,1,0,0
1513,Aviadenovirus sp.,Curruca curruca,1,1,0,0
1514,Aviadenovirus sp.,Sylvia atricapilla,1,1,0,0
1515,Siadenovirus sp.,Sylvia atricapilla,2,2,0,0
1516,Fowl aviadenovirus sp.,Gallus gallus,82,82,0,0
1517,Avian coronavirus,Galliformes,22,22,0,0
1518,Avian coronavirus,Anseriformes,2,2,0,0
1519,Avian associated bastrovirus 2,Turdus philomelos,1,1,0,0
1520,Blackbird siadenovirus,Turdus merula,1,1,0,0
1521,Avian astrovirus 2,Zosterops lateralis,1,1,0,0
1522,Avian associated bastrovirus 1,Petroica macrocephala,1,1,0,0
1523,Avian associated hepe-like virus 1,Turdus merula,1,1,0,0
1524,Avian associated hepe-like virus 2,Anthornis melanura,1,1,0,0
1525,Avian associated hepe-like virus 3,Prunella modularis,1,1,0,0
1526,Avian associated hepe-like virus 4,Turdus philomelos,1,1,0,0
1527,Avian associated hepe-like virus 5,Zosterops lateralis,1,1,0,0
1528,Avian associated hepe-like virus 6,Zosterops lateralis,1,1,0,0
1529,Turdid alphaherpesvirus 1,Turdus philomelos,8,8,0,0
1530,Avian associated calicivirus 1,Prunella modularis,1,1,0,0
1531,Avian associated calicivirus 2,Turdus merula,1,1,0,0
1532,Avian associated calicivirus 3,Turdus merula,1,1,0,0
1533,Avian associated calicivirus 4,Turdus merula,1,1,0,0
1534,Avian associated picorna-like virus 1,Anthornis melanura,1,1,0,0
1535,Avian associated picorna-like virus 2,Petroica australis,1,1,0,0
1536,Avian associated picorna-like virus 3,Turdus philomelos,1,1,0,0
1537,Avian associated picorna-like virus 4,Turdus philomelos,1,1,0,0
1538,Avian associated picorna-like virus 5,Turdus philomelos,1,1,0,0
1539,Avian associated picorna-like virus 6,Turdus merula,1,1,0,0
1540,Avian associated picorna-like virus 7,Prunella modularis,1,1,0,0
1541,Avian associated picorna-like virus 8,Turdus philomelos,1,1,0,0
1542,Avian associated picorna-like virus 9,Turdus philomelos,1,1,0,0
1543,Avian associated picorna-like virus 10,Turdus merula,1,1,0,0
1544,Avian associated picorna-like virus 11,Turdus merula,1,1,0,0
1545,Avian associated orbivirus 1,Zosterops lateralis,1,1,0,0
1546,Avian associated reo-like virus 1,Turdus merula,1,1,0,0
1547,Avian associated reo-like virus 2,Turdus merula,1,1,0,0
1548,Avian associated reo-like virus 3,Rhipidura fuliginosa,1,1,0,0
1549,Avian associated reo-like virus 4,Prunella modularis,1,1,0,0
1550,Avian associated reo-like virus 5,Petroica australis,1,1,0,0
1551,Avian associated reo-like virus 6,Petroica australis,1,1,0,0
1552,Chaphamaparvovirus galliform4,Gallus gallus,1,1,0,1
1553,Chaphamaparvovirus galliform5,Gallus gallus,1,1,0,1
1554,Galliform chaphamaparvovirus 6,Gallus gallus,1,1,0,1
1555,Galliform chaphamaparvovirus 7,Gallus gallus,1,1,0,1
1556,Galliform chaphamaparvovirus 8,Gallus gallus,1,1,0,1
1557,Galliform chaphamaparvovirus 9,Gallus gallus,1,1,0,1
1558,Galliform chaphamaparvovirus 10,Gallus gallus,1,1,0,1
1559,Galliform chaphamaparvovirus 11,Gallus gallus,1,1,0,1
1560,Galliform chaphamaparvovirus 12,Gallus gallus,1,1,0,1
1561,Galliform chaphamaparvovirus 13,Gallus gallus,1,1,0,1
1562,Galliform chaphamaparvovirus 14,Gallus gallus,1,1,0,1
1563,Galliform chaphamaparvovirus 15,Gallus gallus,1,1,0,1
1564,Galliform chaphamaparvovirus 16,Gallus gallus,1,1,0,1
1565,Galliform chaphamaparvovirus 17,Gallus gallus,1,1,0,1
1566,Hepacivirus Q,Anatidae,4,4,0,4
1567,Avipoxvirus isolate Arizona,Zenaida macroura,1,1,0,0
1568,Alphainfluenzavirus influenzae,Bubulcus ibis,3,3,0,0
1569,Cressdnaviricota sp.,Gallus gallus,7,7,0,7
1570,Orthobornavirus betapsittaciforme,Eclectus roratus,7,7,0,2
1571,Adeno-associated virus,Anatidae,1,1,0,0
1572,tawny owl-associated circovirus,Strix aluco,1,1,0,1
1573,Pigeon-dominant Coronavirus,Columba livia,9,9,0,0
1574,Avian coronavirus,Cairina moschata,3,3,0,0
1575,Avian coronavirus,Anser cygnoides domesticus,6,6,0,0
1576,Avian coronavirus,Coturnix coturnix,8,8,0,0
1577,Avian coronavirus,Anser cygnoides,2,2,0,0
1578,Dependoparvovirus anseriform1,Cygnus olor,1,1,0,0
1579,Avon-Heathcote Estuary associated circular virus 25,Cygnus olor,1,1,0,0
1580,Gemycircularvirus geras1,Cygnus olor,2,2,0,0
1581,Goose calicivirus,Cygnus olor,1,1,0,0
1582,Ludopivirus A,Cygnus olor,2,2,0,0
1583,Avibirnavirus gumboroense,Cygnus olor,2,2,0,0
1584,Megrivirus A,Cygnus olor,7,7,0,0
1585,Mute swan feces associated avastrovius 1,Cygnus olor,2,2,0,0
1586,Mute swan feces associated avastrovius 2,Cygnus olor,1,1,0,0
1587,Mute swan feces associated aveparvovirus,Cygnus olor,1,1,0,0
1588,Mute swan feces associated avihepatovirus,Cygnus olor,1,1,0,0
1589,Mute swan feces associated calicivirus,Cygnus olor,1,1,0,0
1590,Mute swan feces associated chapparvovirus 1,Cygnus olor,1,1,0,0
1591,Mute swan feces associated chapparvovirus 2,Cygnus olor,2,2,0,0
1592,Mute swan feces associated chapparvovirus 3,Cygnus olor,1,1,0,0
1593,Mute swan feces associated chapparvovirus 4,Cygnus olor,1,1,0,0
1594,Mute swan feces associated chapparvovirus 5,Cygnus olor,1,1,0,0
1595,Mute swan feces associated chapparvovirus 6,Cygnus olor,1,1,0,0
1596,Mute swan feces associated circular virus 1,Cygnus olor,1,1,0,0
1597,Mute swan feces associated circular virus 2,Cygnus olor,1,1,0,0
1598,Mute swan feces associated circular virus 3,Cygnus olor,1,1,0,0
1599,Mute swan feces associated circular virus 4,Cygnus olor,1,1,0,0
1600,Mute swan feces associated circular virus 5,Cygnus olor,1,1,0,0
1601,Mute swan feces associated circular virus 6,Cygnus olor,1,1,0,0
1602,Mute swan feces associated circular virus 7,Cygnus olor,1,1,0,0
1603,Mute swan feces associated circular virus 8,Cygnus olor,1,1,0,0
1604,Mute swan feces associated circular virus 9,Cygnus olor,1,1,0,0
1605,Mute swan feces associated circular virus 10,Cygnus olor,1,1,0,0
1606,Mute swan feces associated circular virus 11,Cygnus olor,1,1,0,0
1607,Mute swan feces associated circular virus 12,Cygnus olor,1,1,0,0
1608,Mute swan feces associated circular virus 13,Cygnus olor,1,1,0,0
1609,Mute swan feces associated circular virus 14,Cygnus olor,1,1,0,0
1610,Mute swan feces associated circular virus 15,Cygnus olor,1,1,0,0
1611,Mute swan feces associated circular virus 16,Cygnus olor,1,1,0,0
1612,Mute swan feces associated circular virus 17,Cygnus olor,1,1,0,0
1613,Mute swan feces associated gammacoronavirus,Cygnus olor,1,1,0,0
1614,Mute swan feces associated gemycircularvirus 1,Cygnus olor,1,1,0,0
1615,Mute swan feces associated hepatovirus 1,Cygnus olor,1,1,0,0
1616,Mute swan feces associated hepatovirus 2,Cygnus olor,1,1,0,0
1617,Mute swan feces associated hepatovirus 3,Cygnus olor,1,1,0,0
1618,Mute swan feces associated hepatovirus 4,Cygnus olor,1,1,0,0
1619,Mute swan feces associated noda-like virus 1,Cygnus olor,1,1,0,0
1620,Mute swan feces associated noda-like virus 2,Cygnus olor,1,1,0,0
1621,Mute swan feces associated noda-like virus 3,Cygnus olor,1,1,0,0
1622,Mute swan feces associated noda-like virus 4,Cygnus olor,1,1,0,0
1623,Mute swan feces associated noda-like virus 5,Cygnus olor,1,1,0,0
1624,Mute swan feces associated noda-like virus 6,Cygnus olor,1,1,0,0
1625,Mute swan feces associated noda-like virus 7,Cygnus olor,1,1,0,0
1626,Mute swan feces associated noda-like virus 8,Cygnus olor,1,1,0,0
1627,Mute swan feces associated noda-like virus 9,Cygnus olor,1,1,0,0
1628,Mute swan feces associated partitiviridae A,Cygnus olor,1,1,0,0
1629,Mute swan feces associated partitiviridae B,Cygnus olor,1,1,0,0
1630,Mute swan feces associated partitiviridae C,Cygnus olor,1,1,0,0
1631,Mute swan feces associated partitiviridae D,Cygnus olor,1,1,0,0
