,Organism Name,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
9847,Influenza A virus (A/chicken/Anhui/A3828/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9848,Influenza A virus (A/chicken/Anhui/A3829/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9849,Influenza A virus (A/chicken/Anhui/A3872/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9850,Influenza A virus (A/chicken/Anhui/A3874/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9851,Influenza A virus (A/chicken/Anhui/A3875/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9852,Influenza A virus (A/chicken/Anhui/A3876/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9853,Influenza A virus (A/chicken/Anhui/A3894/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9854,Influenza A virus (A/chicken/Anhui/A3899/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9855,Influenza A virus (A/chicken/Anhui/A3900/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9856,Influenza A virus (A/chicken/Guangdong/G3248/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9857,Influenza A virus (A/chicken/Guangdong/G3260/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9858,Influenza A virus (A/chicken/Guangdong/G3265/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9859,Influenza A virus (A/chicken/Guangdong/G3266/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9860,Influenza A virus (A/chicken/Guangdong/G3271/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9861,Influenza A virus (A/chicken/Guangdong/G3272/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9862,Influenza A virus (A/chicken/Guangdong/G3273/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9863,Influenza A virus (A/chicken/Guangdong/G3274/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9864,Influenza A virus (A/chicken/Guangdong/G3275/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9865,Influenza A virus (A/chicken/Guangdong/G3276/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9866,Influenza A virus (A/chicken/Guangdong/G3277/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9867,Influenza A virus (A/chicken/Guangdong/G3279/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9868,Influenza A virus (A/chicken/Guangdong/G3281/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9869,Influenza A virus (A/chicken/Guangdong/G3283/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9870,Influenza A virus (A/chicken/Guangdong/G3284/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9871,Influenza A virus (A/chicken/Guangdong/G3286/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9872,Influenza A virus (A/chicken/Guangdong/G3287/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9873,Influenza A virus (A/chicken/Guangdong/G3288/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9874,Influenza A virus (A/chicken/Guangdong/G3289/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9875,Influenza A virus (A/chicken/Guangdong/G3290/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9876,Influenza A virus (A/chicken/Guangdong/G3291/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9877,Influenza A virus (A/chicken/Guangdong/G3292/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9878,Influenza A virus (A/chicken/Guangdong/G3293/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9879,Influenza A virus (A/chicken/Guangdong/G3294/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9880,Influenza A virus (A/chicken/Guangdong/G3295/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9881,Influenza A virus (A/chicken/Guangdong/G3296/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9882,Influenza A virus (A/chicken/Guangdong/G3297/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9883,Influenza A virus (A/chicken/Guangdong/G3298/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9884,Influenza A virus (A/chicken/Guangdong/G3299/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9885,Influenza A virus (A/chicken/Guangdong/G3300/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9886,Influenza A virus (A/chicken/Guangdong/G3331/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9887,Influenza A virus (A/chicken/Guangdong/G3332/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9888,Influenza A virus (A/chicken/Guangdong/G3333/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9889,Influenza A virus (A/chicken/Guangdong/G3334/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9890,Influenza A virus (A/chicken/Guangdong/G3335/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9891,Influenza A virus (A/chicken/Guangdong/G3336/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9892,Influenza A virus (A/chicken/Guangdong/G3337/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9893,Influenza A virus (A/chicken/Guangdong/G3338/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9894,Influenza A virus (A/chicken/Guangdong/G3339/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9895,Influenza A virus (A/chicken/Guangdong/G3340/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9896,Influenza A virus (A/chicken/Guangdong/G3341/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9897,Influenza A virus (A/chicken/Guangdong/G3342/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9898,Influenza A virus (A/chicken/Guangdong/G3343/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9899,Influenza A virus (A/chicken/Guangdong/G3344/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9900,Influenza A virus (A/chicken/Guangdong/G3345/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9901,Influenza A virus (A/chicken/Guangdong/G3346/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9902,Influenza A virus (A/chicken/Guangdong/G3348/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9903,Influenza A virus (A/chicken/Guangdong/G3349/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9904,Influenza A virus (A/chicken/Guangdong/G3350/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9905,Influenza A virus (A/chicken/Guangdong/G3351/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9906,Influenza A virus (A/chicken/Guangdong/G3356/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9907,Influenza A virus (A/chicken/Guangdong/G3358/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9908,Influenza A virus (A/chicken/Guangdong/G3359/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9909,Influenza A virus (A/chicken/Guangdong/G3396/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9910,Influenza A virus (A/chicken/Guangdong/G3397/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9911,Influenza A virus (A/chicken/Guangdong/G3398/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9912,Influenza A virus (A/chicken/Guangdong/G3399/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9913,Influenza A virus (A/chicken/Guangdong/G3400/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9914,Influenza A virus (A/chicken/Guangdong/G3406/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9915,Influenza A virus (A/chicken/Guangdong/G3407/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9916,Influenza A virus (A/chicken/Guangdong/G3408/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9917,Influenza A virus (A/chicken/Guangdong/G3417/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9918,Influenza A virus (A/chicken/Guangdong/G3418/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9919,Influenza A virus (A/chicken/Guangdong/G3419/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9920,Influenza A virus (A/chicken/Guangdong/G3421/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9921,Influenza A virus (A/chicken/Guangdong/G3424/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9922,Influenza A virus (A/chicken/Guangdong/G3426/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9923,Influenza A virus (A/chicken/Guangdong/G3427/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9924,Influenza A virus (A/chicken/Guangdong/G3428/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9925,Influenza A virus (A/chicken/Guangdong/G3429/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9926,Influenza A virus (A/chicken/Guangdong/G3430/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9927,Influenza A virus (A/chicken/Guangdong/G3431/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9928,Influenza A virus (A/chicken/Guangdong/G3435/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9929,Influenza A virus (A/chicken/Guangdong/G3436/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9930,Influenza A virus (A/chicken/Guangdong/G3437/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9931,Influenza A virus (A/chicken/Guangdong/G3438/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9932,Influenza A virus (A/chicken/Guangdong/G3440/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9933,Influenza A virus (A/chicken/Guangdong/G3446/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9934,Influenza A virus (A/chicken/Guangdong/G3482/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9935,Influenza A virus (A/chicken/Guangdong/G3485/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9936,Influenza A virus (A/chicken/Guangdong/G3486/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9937,Influenza A virus (A/chicken/Guangdong/G3487/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9938,Influenza A virus (A/chicken/Guangdong/G3491/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9939,Influenza A virus (A/chicken/Guangdong/G3497/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9940,Influenza A virus (A/chicken/Guangdong/G3498/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9941,Influenza A virus (A/chicken/Guangdong/G3499/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9942,Influenza A virus (A/chicken/Guangdong/G3502/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9943,Influenza A virus (A/chicken/Guangdong/G3504/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9944,Influenza A virus (A/chicken/Guangdong/G3505/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9945,Influenza A virus (A/chicken/Guangdong/G3507/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9946,Influenza A virus (A/chicken/Guangdong/G3508/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9947,Influenza A virus (A/chicken/Guangdong/G3519/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9948,Influenza A virus (A/chicken/Guangdong/G3522/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9949,Influenza A virus (A/chicken/Guangdong/G3523/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9950,Influenza A virus (A/chicken/Guangdong/G3524/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9951,Influenza A virus (A/chicken/Guangdong/G3525/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9952,Influenza A virus (A/chicken/Guangdong/G3529/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9953,Influenza A virus (A/chicken/Guangdong/G3530/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9954,Influenza A virus (A/chicken/Guangdong/G3531/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9955,Influenza A virus (A/chicken/Guangdong/G3532/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9956,Influenza A virus (A/chicken/Guangdong/G3533/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9957,Influenza A virus (A/chicken/Guangdong/G3534/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9958,Influenza A virus (A/chicken/Guangdong/G3535/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9959,Influenza A virus (A/chicken/Guangdong/G3536/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9960,Influenza A virus (A/chicken/Guangdong/G3538/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9961,Influenza A virus (A/chicken/Guangdong/G3539/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9962,Influenza A virus (A/chicken/Guangdong/G3540/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9963,Influenza A virus (A/chicken/Guangdong/G3576/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9964,Influenza A virus (A/chicken/Guangdong/G3577/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9965,Influenza A virus (A/chicken/Guangdong/G3578/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9966,Influenza A virus (A/chicken/Guangdong/G3579/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9967,Influenza A virus (A/chicken/Guangdong/G3586/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9968,Influenza A virus (A/chicken/Guangdong/G3587/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9969,Influenza A virus (A/chicken/Guangdong/G3588/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9970,Influenza A virus (A/chicken/Guangdong/G3589/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9971,Influenza A virus (A/chicken/Guangdong/G3596/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9972,Influenza A virus (A/chicken/Guangdong/G3597/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9973,Influenza A virus (A/chicken/Guangdong/G3598/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9974,Influenza A virus (A/chicken/Guangdong/G3600/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9975,Influenza A virus (A/chicken/Guangdong/G3607/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9976,Influenza A virus (A/chicken/Guangdong/G3608/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9977,Influenza A virus (A/chicken/Guangdong/G3609/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9978,Influenza A virus (A/chicken/Guangdong/G3610/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9979,Influenza A virus (A/chicken/Guangdong/G3618/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9980,Influenza A virus (A/chicken/Guangdong/G3619/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9981,Influenza A virus (A/chicken/Guangdong/G3626/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9982,Influenza A virus (A/chicken/Guangdong/G3628/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9983,Influenza A virus (A/chicken/Guangdong/G3630/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9984,Influenza A virus (A/chicken/Guangdong/G3632/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9985,Influenza A virus (A/chicken/Guangdong/G3634/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9986,Influenza A virus (A/chicken/Guangdong/G3635/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9987,Influenza A virus (A/chicken/Guangdong/G3638/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9988,Influenza A virus (A/chicken/Guangdong/G3640/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9989,Influenza A virus (A/chicken/Guangdong/G3642/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9990,Influenza A virus (A/chicken/Guangdong/G3644/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9991,Influenza A virus (A/chicken/Guangdong/G3647/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9992,Influenza A virus (A/chicken/Guangdong/G3652/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9993,Influenza A virus (A/chicken/Guangdong/G3656/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9994,Influenza A virus (A/chicken/Guangdong/G3811/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9995,Influenza A virus (A/chicken/Guangdong/G3812/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9996,Influenza A virus (A/chicken/Guangdong/G3814/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9997,Influenza A virus (A/chicken/Guangdong/G3815/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9998,Influenza A virus (A/chicken/Guangdong/G3817/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
9999,Influenza A virus (A/chicken/Guangdong/G3818/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10000,Influenza A virus (A/chicken/Guangdong/G3820/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10001,Influenza A virus (A/chicken/Guangdong/G3821/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10002,Influenza A virus (A/chicken/Guangdong/G3823/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10003,Influenza A virus (A/chicken/Guangdong/G3825/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10004,Influenza A virus (A/chicken/Guangdong/G3826/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10005,Influenza A virus (A/chicken/Guangdong/G3827/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10006,Influenza A virus (A/chicken/Guangdong/G3829/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10007,Influenza A virus (A/chicken/Guangdong/G3830/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10008,Influenza A virus (A/chicken/Guangdong/G3831/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10009,Influenza A virus (A/chicken/Guangdong/G3832/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10010,Influenza A virus (A/chicken/Guangdong/G3835/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10011,Influenza A virus (A/chicken/Guangdong/G3836/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10012,Influenza A virus (A/chicken/Guangdong/G3838/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10013,Influenza A virus (A/chicken/Guangdong/G3848/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10014,Influenza A virus (A/chicken/Guangdong/G3853/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10015,Influenza A virus (A/chicken/Guangdong/G3855/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10016,Influenza A virus (A/chicken/Guangdong/G3856/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10017,Influenza A virus (A/chicken/Guangdong/G3859/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10018,Influenza A virus (A/chicken/Guangdong/G3860/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10019,Influenza A virus (A/chicken/Guangdong/G3861/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10020,Influenza A virus (A/chicken/Guangdong/G3862/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10021,Influenza A virus (A/chicken/Guangdong/G3863/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10022,Influenza A virus (A/chicken/Guangdong/G3865/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10023,Influenza A virus (A/chicken/Guangdong/G3871/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10024,Influenza A virus (A/chicken/Guangdong/G3872/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10025,Influenza A virus (A/chicken/Guangdong/G3873/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10026,Influenza A virus (A/chicken/Guangdong/G3874/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10027,Influenza A virus (A/chicken/Guangdong/G3875/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10028,Influenza A virus (A/chicken/Guangdong/G3876/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10029,Influenza A virus (A/chicken/Guangdong/G3877/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10030,Influenza A virus (A/chicken/Guangdong/G3878/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10031,Influenza A virus (A/chicken/Guangdong/G3879/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10032,Influenza A virus (A/chicken/Guangdong/G3880/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10033,Influenza A virus (A/chicken/Guangdong/G3881/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10034,Influenza A virus (A/chicken/Guangdong/G3882/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10035,Influenza A virus (A/chicken/Guangdong/G3883/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10036,Influenza A virus (A/chicken/Guangdong/G3885/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10037,Influenza A virus (A/chicken/Guangdong/G3886/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10038,Influenza A virus (A/chicken/Guangdong/G3887/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10039,Influenza A virus (A/chicken/Guangdong/G3888/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10040,Influenza A virus (A/chicken/Guangdong/G3891/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10041,Influenza A virus (A/chicken/Guangdong/G3893/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10042,Influenza A virus (A/chicken/Guangdong/G3894/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10043,Influenza A virus (A/chicken/Guangdong/G3895/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10044,Influenza A virus (A/chicken/Guangdong/G3897/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10045,Influenza A virus (A/chicken/Guangdong/G3898/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10046,Influenza A virus (A/chicken/Guangdong/G3899/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10047,Influenza A virus (A/chicken/Guangdong/G3900/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10048,Influenza A virus (A/chicken/Jiangsu/J3007/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10049,Influenza A virus (A/chicken/Jiangsu/J3134/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10050,Influenza A virus (A/chicken/Jiangsu/J3153/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10051,Influenza A virus (A/chicken/Jiangsu/J3155/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10052,Influenza A virus (A/chicken/Jiangsu/J3156/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10053,Influenza A virus (A/chicken/Jiangsu/J3167/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10054,Influenza A virus (A/chicken/Jiangsu/J3175/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10055,Influenza A virus (A/chicken/Jiangsu/J3177/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10056,Influenza A virus (A/chicken/Jiangsu/J3179/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
10057,Influenza A virus (A/chicken/Jiangsu/J3278/2014(H9)),Alphainfluenzavirus influenzae,Gallus gallus,1,1,0,0
