Species,pathogenID,Host,hostID,Total Count,GenBank Count,RefSeq Count,Completed Count
Orthoflavivirus nilense,3048448,Turdus migratorius,9188,21,21,0,8
Orthoflavivirus nilense,3048448,Haliaeetus leucocephalus,52644,5,5,0,4
Orthoflavivirus nilense,3048448,Mimus polyglottos,60713,7,7,0,2
Orthoflavivirus nilense,3048448,Haemorhous mexicanus,30427,22,22,0,7
Orthoflavivirus nilense,3048448,Accipiter cooperii,261198,5,5,0,1
Orthoflavivirus nilense,3048448,Phoenicopterus roseus,435638,6,6,0,3
Orthoflavivirus nilense,3048448,Euphagus cyanocephalus,84817,4,4,0,1
Orthoflavivirus nilense,3048448,Passer domesticus,48849,50,50,0,18
Orthoflavivirus nilense,3048448,Cyanocitta cristata,28727,210,210,0,124
Orthoflavivirus nilense,3048448,Tyto alba,56313,1,1,0,0
Orthoflavivirus nilense,3048448,Corvus corax,56781,3,3,0,0
Orthoflavivirus nilense,3048448,Buteo swainsoni,156757,3,3,0,2
Orthoflavivirus nilense,3048448,Hirundo rustica,43150,1,1,0,0
Deltacoronavirus sp.,1911231,Sula leucogaster,57661,3,3,0,0
Alphainfluenzavirus influenzae,2955291,Calidris fuscicollis,279940,79,79,0,0
Avian polyomavirus,1702318,Nymphicus hollandicus,13180,1,1,0,0
Waterbird gammacoronavirus 1,2992309,Cygnus olor,8869,62,62,0,0
Goose parvovirus SDDY21,3062345,Anas platyrhynchos,8839,1,1,0,1
Goose parvovirus SDJN21,3062346,Anas platyrhynchos,8839,1,1,0,1
Goose parvovirus SDWF22,3062347,Anas platyrhynchos,8839,1,1,0,1
Alphainfluenzavirus influenzae,2955291,Alectoris barbara,40177,2,2,0,0
Alphainfluenzavirus influenzae,2955291,Haematopus ater,185689,60,60,0,0
Alphainfluenzavirus influenzae,2955291,Nycticorax nycticorax,8901,26,26,0,0
Alphainfluenzavirus influenzae,2955291,Thalasseus elegans,297817,31,31,0,0
Alphainfluenzavirus influenzae,2955291,Rynchops niger,227184,104,104,0,0
Alphainfluenzavirus influenzae,2955291,Mareca sibilatrix,75858,10,10,0,0
Orthoflavivirus usutuense,3048443,Asio otus,111810,4,4,0,1
Rockhopper penguin papillomavirus,2962496,Eudyptes chrysocome,79626,1,1,0,0
Circovirus parrot,3047561,Psittacula eques,1560315,217,217,0,0
Alphainfluenzavirus influenzae,2955291,Somateria mollissima,76058,96,96,0,0
Alphainfluenzavirus influenzae,2955291,Lophura nycthemera,9046,19,19,0,0
Quang Binh virus,643132,Gallus gallus,9031,1,1,0,0
Oriental turtle dovepox virus,3051319,Streptopelia orientalis,36243,1,1,0,1
Dependoparvovirus anseriform1,1511895,Aix galericulata,8832,1,1,0,1
Orthoflavivirus nilense,3048448,Pica pica,34924,28,28,0,7
Orthoflavivirus nilense,3048448,Sylvia atricapilla,48155,1,1,0,0
Orthoavulavirus javaense,3051375,Mareca falcata,75844,1,1,0,1
Orthoavulavirus javaense,3051375,Mareca penelope,8838,5,5,0,1
Metaavulavirus hongkongense,3051372,Spatula querquedula,75856,2,2,0,2
Coronavirus PREDICT_CoV-100,2717633,Gallus gallus,9031,88,88,0,0
Alphainfluenzavirus influenzae,2955291,Grus monacha,40818,100,100,0,0
Alphainfluenzavirus influenzae,2955291,Antigone vipio,2717088,16,16,0,0
Buteo buteo herpesvirus,2928393,Buteo buteo,30397,6,6,0,0
Metaavulavirus hongkongense,3051372,Spatula clypeata,75838,1,1,0,1
Paraavulavirus hongkongense,3052593,Mareca penelope,8838,3,3,0,3
Paraavulavirus hongkongense,3052593,Sibirionetta formosa,56278,1,1,0,1
Circovirus parrot,3047561,Eclectus roratus,176024,20,20,0,9
Orthoflavivirus nilense,3048448,Strix nebulosa,126836,9,9,0,6
Avastrovirus 3,1239439,Gallus gallus,9031,8,8,0,0
Orthoflavivirus nilense,3048448,Athene noctua,126797,6,6,0,4
Orthoflavivirus nilense,3048448,Phalacrocorax carbo,9209,5,5,0,4
Psittacidae dependoparvovirus,2794570,Myiopsitta monachus,176066,1,1,0,1
Psittaciform parvoviridae sp.,3042448,Neophema chrysogaster,678581,1,1,0,0
Psittacine picornavirus,3042449,Neophema chrysogaster,678581,2,2,0,0
Orthoflavivirus nilense,3048448,Aegypius monachus,8959,6,6,0,0
Orthoflavivirus nilense,3048448,Pandion haliaetus,56262,1,1,0,0
Orthoflavivirus nilense,3048448,Asio otus,111810,4,4,0,0
Orthoflavivirus nilense,3048448,Gallus gallus,9031,27,27,0,13
Alphainfluenzavirus influenzae,2955291,Falco sparverius,56350,7,7,0,0
Chaphamaparvovirus sp.,2809295,Melopsittacus undulatus,13146,1,1,0,1
Metaavulavirus yucaipaense,3051368,Pluvialis squatarola,171273,1,1,0,1
Gyrovirus homsa2,2844803,Gallus gallus,9031,1,1,0,0
Gyrovirus homsa3,2844804,Gallus gallus,9031,5,5,0,3
Alphainfluenzavirus influenzae,2955291,Phoenicopterus chilensis,117000,8,8,0,0
Alphainfluenzavirus influenzae,2955291,Anas versicolor,75863,72,72,0,0
Eastern equine encephalitis virus,11021,Meleagris gallopavo,9103,2,2,0,1
Alphainfluenzavirus influenzae,2955291,Hydroprogne caspia,425641,8,8,0,0
Fregata magnificens alphaherpesvirus 1,3040023,Fregata magnificens,37042,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Ardea purpurea,188373,24,24,0,0
Gammapolyomavirus avis,1891747,Melopsittacus undulatus,13146,53,53,0,8
Avian coronavirus,694014,Anas crecca,75839,47,47,0,0
Avian coronavirus,694014,Sibirionetta formosa,56278,3,3,0,0
Avian coronavirus,694014,Anas acuta,28680,29,29,0,0
Avian coronavirus,694014,Mareca penelope,8838,9,9,0,0
Avian coronavirus,694014,Spatula querquedula,75856,1,1,0,0
Orthoflavivirus nilense,3048448,Corvus frugilegus,75140,6,6,0,3
Orthoflavivirus nilense,3048448,Coloeus monedula,30423,1,1,0,1
Orthoflavivirus nilense,3048448,Podiceps cristatus,345573,1,1,0,1
Alphainfluenzavirus influenzae,2955291,Quiscalus mexicanus,64278,24,24,0,0
Alphainfluenzavirus influenzae,2955291,Pelecanus occidentalis,37043,32,32,0,0
Alphainfluenzavirus influenzae,2955291,Phalacrocorax auritus,56069,16,16,0,0
Alphainfluenzavirus influenzae,2955291,Larus marinus,8912,119,119,0,0
Alphainfluenzavirus influenzae,2955291,Buteo japonicus,224669,26,26,0,0
black-headed gull deltacoronavirus,3031139,Chroicocephalus ridibundus,1192867,3,3,0,0
common gull deltacoronavirus,3031140,Larus canus,28681,1,1,0,0
common gull gammacoronavirus,3031141,Larus canus,28681,1,1,0,0
Orthoflavivirus nilense,3048448,Phoenicopterus chilensis,117000,4,4,0,4
Deltacoronavirus sp.,1911231,Egretta garzetta,188379,2,2,0,0
Gammacoronavirus sp.,2163008,Nycticorax nycticorax,8901,1,1,0,0
Orthoavulavirus japanense,3051377,Anser albifrons,50365,3,3,0,3
Alphainfluenzavirus influenzae,2955291,Larus glaucoides,118194,64,64,0,0
Alphainfluenzavirus influenzae,2955291,Accipiter gentilis,8957,32,32,0,0
Alphainfluenzavirus influenzae,2955291,Aix galericulata,8832,137,137,0,0
Orthoflavivirus nilense,3048448,Parus major,9157,3,3,0,3
Orthoflavivirus nilense,3048448,Pyrrhocorax graculus,56789,1,1,0,1
Orthoflavivirus nilense,3048448,Serinus canaria,9135,1,1,0,1
Orthoflavivirus nilense,3048448,Phoenicopterus ruber,9217,4,4,0,1
Orthoflavivirus nilense,3048448,Cyanistes caeruleus,156563,8,8,0,8
Orthoflavivirus nilense,3048448,Lathamus discolor,678569,1,1,0,1
Orthoflavivirus nilense,3048448,Mergus squamatus,670348,2,2,0,2
Orthoflavivirus nilense,3048448,Bombycilla garrulus,125297,1,1,0,1
Avipoxvirus sp.,1928336,Corvus brachyrhynchos,85066,7,7,0,0
Avipoxvirus sp.,1928336,Vultur gryphus,8924,2,2,0,0
Avipoxvirus sp.,1928336,Calypte anna,9244,1,1,0,0
Avipoxvirus sp.,1928336,Euphagus cyanocephalus,84817,1,1,0,0
Avipoxvirus sp.,1928336,Gymnogyps californianus,33616,3,3,0,0
Avipoxvirus sp.,1928336,Pterocles exustus,1278208,1,1,0,0
Avipoxvirus sp.,1928336,Phaenicophaeus curvirostris,33595,1,1,0,0
Avipoxvirus sp.,1928336,Carduelis carduelis,37600,2,2,0,0
Avipoxvirus sp.,1928336,Chlamydera cerviniventris,34933,1,1,0,0
Avipoxvirus sp.,1928336,Todiramphus cinnamominus,1006542,5,5,0,0
Avipoxvirus sp.,1928336,Haemorhous mexicanus,30427,3,3,0,0
Avipoxvirus sp.,1928336,Mimus polyglottos,60713,1,1,0,0
Avipoxvirus sp.,1928336,Leiothlypis celata,62259,1,1,0,0
Avipoxvirus sp.,1928336,Corvus corax,56781,3,3,0,0
Avipoxvirus sp.,1928336,Cathartes aura,43455,1,1,0,0
Avipoxvirus sp.,1928336,Tangara mexicana,194947,1,1,0,0
Avipoxvirus sp.,1928336,Cossypha niveicapilla,228316,2,2,0,0
Avipoxvirus sp.,1928336,Copsychus malabaricus,1948888,1,1,0,0
Chaphamaparvovirus sp.,2809295,Struthio camelus,8801,1,1,0,1
Smacoviridae sp.,2715094,Struthio camelus,8801,2,2,0,2
Circovirus parrot,3047561,Agapornis personatus,60466,1,1,0,0
Circovirus parrot,3047561,Triclaria malachitacea,303326,1,1,0,0
Circovirus parrot,3047561,Tyto alba,56313,1,1,0,0
Circovirus parrot,3047561,Ocyphaps lophotes,187128,11,11,0,0
Circovirus parrot,3047561,Dacelo novaeguineae,8939,9,9,0,2
Circovirus parrot,3047561,Todiramphus sanctus,342380,6,6,0,0
Circovirus parrot,3047561,Milvus migrans,52810,1,1,0,0
Circovirus parrot,3047561,Geopelia placida,471127,1,1,0,0
Circovirus parrot,3047561,Cacatua sanguinea,274074,14,14,0,7
Circovirus parrot,3047561,Ninox boobook,507961,3,3,0,1
Circovirus parrot,3047561,Macropygia phasianella,115675,1,1,0,0
Circovirus parrot,3047561,Phaps chalcoptera,115695,1,1,0,0
Circovirus parrot,3047561,Cacatua tenuirostris,1344800,3,3,0,0
Avipoxvirus sp.,1928336,Ocyphaps lophotes,187128,3,3,0,0
Iltovirus psittacidalpha1,3050344,Todiramphus sanctus,342380,2,2,0,0
Iltovirus psittacidalpha1,3050344,Cacatua sanguinea,274074,1,1,0,0
Iltovirus psittacidalpha1,3050344,Ocyphaps lophotes,187128,3,3,0,0
Orthoflavivirus nilense,3048448,Phylloscopus collybita,48150,1,1,0,0
Orthoflavivirus usutuense,3048443,Muscicapa striata,1293958,1,1,0,0
Orthoflavivirus usutuense,3048443,Larus michahellis,119627,2,2,0,0
Orthobornavirus alphapsittaciforme,1548713,Amazona aestiva,12930,30,30,0,0
Orthobornavirus alphapsittaciforme,1548713,Brotogeris tirica,671078,1,1,0,0
Avian polyomavirus,1702318,Agapornis pullarius,60467,1,1,0,0
Cooks petrelpox virus,3019552,Pterodroma cookii,53668,1,1,0,1
Orthobunyavirus bunyamweraense,3052381,Hydrocoloeus minutus,559175,3,3,0,2
Alphainfluenzavirus influenzae,2955291,Anser brachyrhynchus,132585,34,34,0,0
Avihepevirus magniiecur,1678144,Phasianus colchicus,9054,1,1,0,1
Circovirus parrot,3047561,Myiopsitta monachus,176066,2,2,0,0
Circovirus parrot,3047561,Pyrrhura molinae,311895,1,1,0,0
Yellow-eyed penguin gyrovirus,3021812,Megadyptes antipodes,37085,31,31,0,0
Circovirus parrot,3047561,Columba livia,8932,5,5,0,0
Circovirus parrot,3047561,Platycercus icterotis,35542,1,1,0,0
Circovirus parrot,3047561,Forpus coelestis,309844,3,3,0,1
Circovirus parrot,3047561,Cacatua sulphurea,141271,7,7,0,2
Circovirus parrot,3047561,Neophema pulchella,678582,1,1,0,0
Gammapolyomavirus avis,1891747,Neophema pulchella,678582,1,1,0,0
Circovirus pigeon,3050342,Ducula bicolor,115645,3,3,0,0
Circovirus pigeon,3050342,Geopelia humeralis,915432,1,1,0,0
Circovirus pigeon,3050342,Goura scheepmakeri,915434,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Corvus macrorhynchos,36249,71,71,0,0
Zebra finch hepacivirus 1,3004181,Taeniopygia guttata,59729,2,2,0,0
Zebra finch hepacivirus 2,3004182,Taeniopygia guttata,59729,2,2,0,0
Gammacoronavirus sp.,2163008,Larus argentatus,35669,2,2,0,0
Gammacoronavirus sp.,2163008,Calidris ruficollis,272047,2,2,0,0
Gammacoronavirus sp.,2163008,Melanitta nigra,198027,4,4,0,0
Orthoavulavirus javaense,3051375,Struthio camelus,8801,40,40,0,3
Deltacoronavirus sp.,1911231,Anas crecca,75839,2,2,0,0
Deltacoronavirus sp.,1911231,Anas platyrhynchos,8839,1,1,0,0
Rous sarcoma virus,11886,Gallus gallus,9031,8,8,0,0
Sunrhavirus bimbo,2956479,Euplectes afer,229097,3,3,0,1
Sunrhavirus kolongo,2956481,Euplectes afer,229097,3,3,0,1
Avian megrivirus,2986276,Sterna dougallii,289485,1,1,0,1
Alphainfluenzavirus influenzae,2955291,Pelecanus crispus,36300,17,17,0,0
Alphainfluenzavirus influenzae,2955291,Coscoroba coscoroba,8863,16,16,0,0
Alphainfluenzavirus influenzae,2955291,Fulica armillata,555254,16,16,0,0
Alphainfluenzavirus influenzae,2955291,Heteronetta atricapilla,555264,8,8,0,0
Alphainfluenzavirus influenzae,2955291,Anas cyanoptera,75840,319,319,0,24
Alphainfluenzavirus influenzae,2955291,Vanellus chilensis,50404,8,8,0,0
Magpiepox virus 2,2874139,Gymnorhina tibicen,9132,1,1,0,1
Metaavulavirus tennessense,3051373,Columba palumbus,8934,1,1,0,0
Metaavulavirus tennessense,3051373,Columba oenas,160229,1,1,0,0
Gammacoronavirus sp.,2163008,Ichthyaetus ichthyaetus,126702,1,1,0,0
Gammacoronavirus sp.,2163008,Chroicocephalus ridibundus,1192867,1,1,0,0
Gammacoronavirus sp.,2163008,Pelecanus crispus,36300,3,3,0,0
Gammacoronavirus sp.,2163008,Columba oenas,160229,1,1,0,0
Gammacoronavirus sp.,2163008,Columba livia,8932,1,1,0,0
Psittaciform chaphamaparvovirus 3,2928890,Cacatua sanguinea,274074,1,1,0,1
Avastrovirus sp.,2809168,Hydroprogne caspia,425641,1,1,0,0
Avastrovirus sp.,2809168,Columba livia,8932,1,1,0,0
Avastrovirus sp.,2809168,Merops apiaster,265611,1,1,0,0
Avastrovirus sp.,2809168,Hirundo rustica,43150,1,1,0,0
Avastrovirus sp.,2809168,Coloeus monedula,30423,2,2,0,0
Avastrovirus sp.,2809168,Corvus frugilegus,75140,1,1,0,0
Siadenovirus sp.,2671519,Anous minutus,298326,4,4,0,0
Aviadenovirus sp.,2217649,Anous minutus,298326,1,1,0,0
Siadenovirus sp.,2671519,Anous stolidus,297802,1,1,0,0
Siadenovirus sp.,2671519,Sula leucogaster,57661,1,1,0,0
Aviadenovirus sp.,2217649,Sula dactylatra,56068,1,1,0,0
Aviadenovirus sp.,2217649,Sula sula,57662,1,1,0,0
Aviadenovirus sp.,2217649,Anous stolidus,297802,1,1,0,0
Nyavirus nyamaniniense,644610,Bubulcus ibis,110668,1,1,0,1
Orthoflavivirus nilense,3048448,Larus michahellis,119627,2,2,0,1
Orthoflavivirus nilense,3048448,Turdus merula,9187,5,5,0,4
Orthoflavivirus nilense,3048448,Columba palumbus,8934,1,1,0,1
Orthoflavivirus nilense,3048448,Egretta garzetta,188379,1,1,0,1
Orthoavulavirus javaense,3051375,Nycticorax nycticorax,8901,1,1,0,0
Circovirus parrot,3047561,Trichoglossus haematodus,176049,83,83,0,57
trumpeter swan calicivirus,2992313,Cygnus buccinator,48397,1,1,0,1
Alphainfluenzavirus influenzae,2955291,Bucephala albeola,279934,268,268,0,0
Mardivirus columbidalpha1,3050267,Bubo bubo,30461,3,3,0,0
Alphainfluenzavirus influenzae,2955291,Morus bassanus,37578,2,2,0,0
duck egg-reducing syndrome virus,2987487,Anas platyrhynchos,8839,1,1,0,1
Orthoflavivirus usutuense,3048443,Erithacus rubecula,37610,1,1,0,0
Orthoflavivirus usutuense,3048443,Leucopsar rothschildi,127929,1,1,0,0
Orthoflavivirus usutuense,3048443,Cyanistes caeruleus,156563,4,4,0,0
Orthoflavivirus usutuense,3048443,Passer domesticus,48849,5,5,0,1
Orthoflavivirus usutuense,3048443,Parus major,9157,3,3,0,1
Orthoflavivirus usutuense,3048443,Erythrura prasina,194944,1,1,0,0
Orthoflavivirus usutuense,3048443,Serinus canaria,9135,3,3,0,0
Alphainfluenzavirus influenzae,2955291,Falco rusticolus,120794,16,16,0,8
Avian polyomavirus,1702318,Psittacula eupatria,232655,2,2,0,0
Avian polyomavirus,1702318,Agapornis fischeri,60463,1,1,0,0
Avian astrovirus,1914440,Anser indicus,8846,15,15,0,0
Siadenovirus sp.,2671519,Uria aalge,13746,1,1,0,1
Crowpox virus,2942216,Corvus bennetti,1196223,1,1,0,1
Chaphamaparvovirus sp.,2809295,Gallus gallus,9031,131,131,0,0
Avipoxvirus isolate Galapagos Islands,1294098,Geospiza fuliginosa,48884,9,9,0,0
Avipoxvirus isolate Galapagos Islands,1294098,Geospiza fortis,48883,7,7,0,0
Circovirus parrot,3047561,Agapornis pullarius,60467,1,1,0,0
Circovirus parrot,3047561,Amazona festiva,244075,1,1,0,0
Circovirus parrot,3047561,Taeniopygia guttata,59729,1,1,0,0
Wigfec virus K19_482,2986032,Mareca americana,75832,1,1,0,1
Wigfec virus K19_469,2986033,Mareca americana,75832,1,1,0,1
Wigfec virus K19_435,2986034,Mareca americana,75832,1,1,0,1
Wigfec virus K19_467,2986035,Mareca americana,75832,1,1,0,1
Wigfec virus K19_227,2985990,Mareca americana,75832,1,1,0,1
Wigfec virus K19_426,2985991,Mareca americana,75832,1,1,0,1
Wigfec virus K19_432,2985992,Mareca americana,75832,1,1,0,1
Wigfec virus K19_450,2985993,Mareca americana,75832,1,1,0,1
Wigfec virus K19_484,2985994,Mareca americana,75832,1,1,0,1
Wigfec virus K19_486,2985995,Mareca americana,75832,1,1,0,1
Wigfec virus K19_494,2985996,Mareca americana,75832,1,1,0,1
Wigfec virus K19_511,2985997,Mareca americana,75832,1,1,0,1
Wigfec virus K19_521,2985998,Mareca americana,75832,1,1,0,1
Wigfec virus K19_545,2985999,Mareca americana,75832,1,1,0,1
Wigfec virus K19_562,2986000,Mareca americana,75832,1,1,0,1
Wigfec virus K19_588,2986001,Mareca americana,75832,1,1,0,1
Wigfec virus K19_598,2986002,Mareca americana,75832,1,1,0,1
Wigfec virus K19_605,2986003,Mareca americana,75832,1,1,0,1
Wigfec virus K19_623,2986004,Mareca americana,75832,1,1,0,1
Wigfec virus K19_658,2986005,Mareca americana,75832,1,1,0,1
Wigfec virus K19_292,2986006,Mareca americana,75832,1,1,0,1
Wigfec virus K19_346,2986007,Mareca americana,75832,1,1,0,1
Wigfec virus K19_385,2986008,Mareca americana,75832,1,1,0,1
Wigfec virus K19_525,2986009,Mareca americana,75832,1,1,0,1
Wigfec virus K19_555,2986010,Mareca americana,75832,1,1,0,1
Wigfec virus K19_558,2986011,Mareca americana,75832,1,1,0,1
Wigfec virus K19_561,2986012,Mareca americana,75832,1,1,0,1
Wigfec virus K19_571,2986013,Mareca americana,75832,1,1,0,1
Wigfec virus K19_593,2986014,Mareca americana,75832,1,1,0,1
Wigfec virus K19_600,2986015,Mareca americana,75832,1,1,0,1
Wigfec virus K19_645,2986016,Mareca americana,75832,1,1,0,1
Wigfec virus K19_654,2986017,Mareca americana,75832,1,1,0,1
Wigfec virus K19_668,2986018,Mareca americana,75832,1,1,0,1
Wigfec virus K19_691,2986019,Mareca americana,75832,1,1,0,1
Wigfec virus K19_221,2986020,Mareca americana,75832,1,1,0,1
Wigfec virus K19_259,2986021,Mareca americana,75832,1,1,0,1
Wigfec virus K19_327,2986022,Mareca americana,75832,1,1,0,1
Wigfec virus K19_443,2986023,Mareca americana,75832,1,1,0,1
Wigfec virus K19_493,2986024,Mareca americana,75832,1,1,0,1
Wigfec virus K19_526,2986025,Mareca americana,75832,1,1,0,1
Wigfec virus K19_576,2986026,Mareca americana,75832,1,1,0,1
Wigfec virus K19_615,2986027,Mareca americana,75832,1,1,0,1
Wigfec virus K19_448,2986028,Mareca americana,75832,1,1,0,1
Wigfec virus K19_454,2986029,Mareca americana,75832,1,1,0,1
Wigfec virus K19_513,2986030,Mareca americana,75832,1,1,0,1
Zingilamo virus,2983543,Bycanistes fistulator sharpii,1303088,1,1,0,1
Bandavirus dabieense,2748958,Gallus gallus,9031,7,7,0,0
Avipoxvirus sp.,1928336,Meleagris gallopavo,9103,20,20,0,0
Avipoxvirus sp.,1928336,Columba livia,8932,9,9,0,0
Meleagrid alphaherpesvirus 2,2982300,Gallus gallus,9031,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Fulmarus glacialis,30455,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Haliaeetus pelagicus,52647,5,5,0,0
Alphainfluenzavirus influenzae,2955291,Milvus migrans,52810,2,2,0,0
Gyrovirus galga1,2844800,Lophura nycthemera,9046,1,1,0,1
Gammacoronavirus sp.,2163008,Calidris alpina,8919,2,2,0,0
Deltacoronavirus sp.,1911231,Calidris ruficollis,272047,3,3,0,0
Deltacoronavirus sp.,1911231,Calidris alpina,8919,7,7,0,0
Deltacoronavirus sp.,1911231,Larus heuglini,174677,1,1,0,0
Deltacoronavirus sp.,1911231,Larus schistisagus,119607,1,1,0,0
Circovirus parrot,3047561,Anodorhynchus hyacinthinus,51900,4,4,0,0
Gammacoronavirus sp.,2163008,Aythya fuligula,219594,1,1,0,0
Gammacoronavirus sp.,2163008,Anas acuta,28680,1,1,0,0
Gammacoronavirus sp.,2163008,Mergus merganser,8880,1,1,0,0
Gammacoronavirus sp.,2163008,Larus fuscus,8915,1,1,0,0
Gammacoronavirus sp.,2163008,Spatula clypeata,75838,1,1,0,0
Gammacoronavirus sp.,2163008,Corvus frugilegus,75140,2,2,0,0
Gammacoronavirus sp.,2163008,Mareca penelope,8838,1,1,0,0
Alphainfluenzavirus influenzae,2955291,Phoenicopterus ruber,9217,12,12,0,0
Circovirus pigeon,3050342,Oxyura australis,45649,1,1,0,0
Circovirus pigeon,3050342,Gymnorhina tibicen,9132,1,1,0,0
Temminck's stint calicivirus,2976936,Calidris temminckii,328946,1,1,0,1
Aviadenovirus sp.,2217649,Gallus gallus,9031,5,5,0,0
Duck picornavirus,2874388,Anas platyrhynchos,8839,2,2,0,0
Orthoavulavirus javaense,3051375,Pavo cristatus,9049,5,5,0,3
psittacine adenovirus 8,2875246,Psittacus erithacus,57247,1,1,0,0
psittacine adenovirus 9,2875244,Nymphicus hollandicus,13180,1,1,0,0
psittacine adenovirus 10,2875245,Psittacula krameri,9228,1,1,0,0
Psittacine siadenovirus D,2845976,Melopsittacus undulatus,13146,2,2,0,1
Alphainfluenzavirus influenzae,2955291,Netta peposaca,541013,66,66,0,0
Orthoflavivirus nilense,3048448,Streptopelia decaocto,177147,2,2,0,1
Wood pigeon astrovirus,928292,Spatula clypeata,75838,1,1,0,0
Avastrovirus 3,1239439,Spatula clypeata,75838,4,4,0,0
Feral pigeon astrovirus,928291,Spatula clypeata,75838,4,4,0,0
Feral pigeon astrovirus,928291,Anas crecca,75839,5,5,0,0
Avastrovirus 3,1239439,Anas acuta,28680,14,14,0,0
Feral pigeon astrovirus,928291,Anas acuta,28680,2,2,0,0
Wood pigeon astrovirus,928292,Anas acuta,28680,1,1,0,0
Avastrovirus 2,1239438,Anas crecca,75839,2,2,0,0
Avastrovirus 3,1239439,Anas crecca,75839,4,4,0,0
Avian coronavirus,694014,Phasianus colchicus,9054,13,13,0,0
Orthoflavivirus nilense,3048448,Corvus corone,30422,7,7,0,0
Orthoflavivirus nilense,3048448,Apus apus,8895,1,1,0,0
Orthoflavivirus nilense,3048448,Curruca conspicillata,216227,1,1,0,0
Orthoflavivirus nilense,3048448,Strix aluco,111821,2,2,0,1
Orthobornavirus alphapsittaciforme,1548713,Pyrrhura rhodocephala,311893,1,1,0,0
Orthoflavivirus nilense,3048448,Falco tinnunculus,100819,1,1,0,0
Astroviridae sp.,2585114,Prunella montanella,187444,4,4,0,0
Astroviridae sp.,2585114,Periparus ater,156567,2,2,0,0
Astroviridae sp.,2585114,Phylloscopus inornatus,56436,2,2,0,0
Astroviridae sp.,2585114,Cyanopica cyanus,193059,2,2,0,0
Raptor adenovirus,2963835,Buteo jamaicensis,56263,4,4,0,0
Raptor adenovirus,2963835,Buteo platypterus,218281,2,2,0,0
Circovirus parrot,3047561,Pionus maximiliani,303305,2,2,0,0
Circovirus parrot,3047561,Poicephalus senegalus,176045,7,7,0,2
Circovirus parrot,3047561,Cyanoramphus novaezelandiae,114435,29,29,0,27
Circovirus parrot,3047561,Agapornis swindernianus,1002726,1,1,0,0
Circovirus parrot,3047561,Aratinga jandaya,231027,3,3,0,0
Circovirus parrot,3047561,Guaruba guarouba,51906,3,3,0,0
Duck adeno-associated virus,2875326,Cairina moschata,8855,1,1,0,0
Avian coronavirus,694014,Columba livia,8932,20,20,0,0
Oriolus adenovirus,2862777,Oriolus chinensis,409288,1,1,0,0
Circovirus parrot,3047561,Aratinga auricapillus,867384,1,1,0,0
Anas platyrhynchos papillomavirus 2,2855326,Anas platyrhynchos,8839,1,1,0,1
Aviadenovirus sp.,2217649,Turdus philomelos,127946,1,1,0,0
Aviadenovirus sp.,2217649,Lanius collurio,56324,1,1,0,0
Atadenovirus sp.,2671518,Sitta europaea,50251,1,1,0,0
Aviadenovirus sp.,2217649,Emberiza citrinella,37595,1,1,0,0
Atadenovirus sp.,2671518,Passer montanus,9160,2,2,0,0
Aviadenovirus sp.,2217649,Coccothraustes coccothraustes,37609,1,1,0,0
Siadenovirus sp.,2671519,Columba livia,8932,1,1,0,0
Aviadenovirus sp.,2217649,Dendrocopos major,183177,1,1,0,0
Aviadenovirus sp.,2217649,Accipiter nisus,211598,1,1,0,0
Aviadenovirus sp.,2217649,Falco tinnunculus,100819,1,1,0,0
Aviadenovirus sp.,2217649,Curruca curruca,43163,1,1,0,0
Aviadenovirus sp.,2217649,Sylvia atricapilla,48155,1,1,0,0
Siadenovirus sp.,2671519,Sylvia atricapilla,48155,2,2,0,0
Fowl aviadenovirus sp.,1972696,Gallus gallus,9031,82,82,0,0
Avian associated bastrovirus 2,2936950,Turdus philomelos,127946,1,1,0,0
Blackbird siadenovirus,2936980,Turdus merula,9187,1,1,0,0
Avian astrovirus 2,2936979,Zosterops lateralis,43581,1,1,0,0
Avian associated bastrovirus 1,2936949,Petroica macrocephala,369484,1,1,0,0
Avian associated hepe-like virus 1,2936955,Turdus merula,9187,1,1,0,0
Avian associated hepe-like virus 2,2936956,Anthornis melanura,698975,1,1,0,0
Avian associated hepe-like virus 3,2936957,Prunella modularis,181117,1,1,0,0
Avian associated hepe-like virus 4,2936958,Turdus philomelos,127946,1,1,0,0
Avian associated hepe-like virus 5,2936959,Zosterops lateralis,43581,1,1,0,0
Avian associated hepe-like virus 6,2936960,Zosterops lateralis,43581,1,1,0,0
Turdid alphaherpesvirus 1,2936981,Turdus philomelos,127946,8,8,0,0
Avian associated calicivirus 1,2936951,Prunella modularis,181117,1,1,0,0
Avian associated calicivirus 2,2936952,Turdus merula,9187,1,1,0,0
Avian associated calicivirus 3,2936953,Turdus merula,9187,1,1,0,0
Avian associated calicivirus 4,2936954,Turdus merula,9187,1,1,0,0
Avian associated picorna-like virus 1,2936962,Anthornis melanura,698975,1,1,0,0
Avian associated picorna-like virus 2,2936965,Petroica australis,256038,1,1,0,0
Avian associated picorna-like virus 3,2936966,Turdus philomelos,127946,1,1,0,0
Avian associated picorna-like virus 4,2936967,Turdus philomelos,127946,1,1,0,0
