,Species,GA_original,species,GA,size,gc,genes
301,Avipoxvirus PoxPV013.3,0,Avipoxvirus PoxPV013.3,,,,
302,Avipoxvirus Spilornis cheela/Taiwan/2008,0,Avipoxvirus Spilornis cheela/Taiwan/2008,,,,
303,Avipoxvirus TD,0,Avipoxvirus TD,,,,
304,Avipoxvirus TMPV,0,Avipoxvirus TMPV,,,,
305,Avipoxvirus TNPV3/NZL/2007,0,Avipoxvirus TNPV3/NZL/2007,,,,
306,Avipoxvirus TNPV6/NZL/2009,0,Avipoxvirus TNPV6/NZL/2009,,,,
307,Avipoxvirus TPPV/NZL/2002,0,Avipoxvirus TPPV/NZL/2002,,,,
308,Avipoxvirus TVPV2/NZL/2008,0,Avipoxvirus TVPV2/NZL/2008,,,,
309,Avipoxvirus VIC-02,0,Avipoxvirus VIC-02,,,,
310,Avipoxvirus VIC-08,0,Avipoxvirus VIC-08,,,,
311,Avipoxvirus XL,0,Avipoxvirus XL,,,,
312,Avipoxvirus ZLPV1/NZL/2007,0,Avipoxvirus ZLPV1/NZL/2007,,,,
313,Avipoxvirus blackcap/CZE/2007,0,Avipoxvirus blackcap/CZE/2007,,,,
314,Avipoxvirus canary/PT-44463/Portugal/2010,0,Avipoxvirus canary/PT-44463/Portugal/2010,,,,
315,Avipoxvirus chicken/PT-30327/Portugal/2013,0,Avipoxvirus chicken/PT-30327/Portugal/2013,,,,
316,Avipoxvirus clade C,0,Avipoxvirus clade C,,,,
317,Avipoxvirus flamingo/KD09/ZAF,0,Avipoxvirus flamingo/KD09/ZAF,,,,
318,Avipoxvirus flamingo/PT-29021/Portugal/2010,0,Avipoxvirus flamingo/PT-29021/Portugal/2010,,,,
319,Avipoxvirus great tit/ER-2008/CZE,0,Avipoxvirus great tit/ER-2008/CZE,,,,
320,Avipoxvirus isolate 1739/2006,0,Avipoxvirus isolate 1739/2006,,,,
321,Avipoxvirus isolate 2634/1998,0,Avipoxvirus isolate 2634/1998,,,,
322,Avipoxvirus isolate APIII,0,Avipoxvirus isolate APIII,,,,
323,Avipoxvirus isolate Alaska,0,Avipoxvirus isolate Alaska,,,,
324,Avipoxvirus isolate Antarctica,0,Avipoxvirus isolate Antarctica,,,,
325,Avipoxvirus isolate Argentina,0,Avipoxvirus isolate Argentina,,,,
326,Avipoxvirus isolate Arizona,,Avipoxvirus isolate Arizona,,,,
327,Avipoxvirus isolate Belgium,0,Avipoxvirus isolate Belgium,,,,
328,Avipoxvirus isolate California,0,Avipoxvirus isolate California,,,,
329,Avipoxvirus isolate Cca/07,0,Avipoxvirus isolate Cca/07,,,,
330,Avipoxvirus isolate Cch/07,0,Avipoxvirus isolate Cch/07,,,,
331,Avipoxvirus isolate Chile,0,Avipoxvirus isolate Chile,,,,
332,Avipoxvirus isolate Colorado,0,Avipoxvirus isolate Colorado,,,,
333,Avipoxvirus isolate DD1258,0,Avipoxvirus isolate DD1258,,,,
334,Avipoxvirus isolate Florida,0,Avipoxvirus isolate Florida,,,,
335,Avipoxvirus isolate Galapagos Islands,,Avipoxvirus isolate Galapagos Islands,,,,
336,Avipoxvirus isolate Georgia,0,Avipoxvirus isolate Georgia,,,,
337,Avipoxvirus isolate Hawaii,0,Avipoxvirus isolate Hawaii,,,,
338,Avipoxvirus isolate Hungary,0,Avipoxvirus isolate Hungary,,,,
339,Avipoxvirus isolate ID8501092,0,Avipoxvirus isolate ID8501092,,,,
340,Avipoxvirus isolate ID8964,0,Avipoxvirus isolate ID8964,,,,
341,Avipoxvirus isolate Illinois,0,Avipoxvirus isolate Illinois,,,,
342,Avipoxvirus isolate Maryland,0,Avipoxvirus isolate Maryland,,,,
343,Avipoxvirus isolate Massachusetts,0,Avipoxvirus isolate Massachusetts,,,,
344,Avipoxvirus isolate Midway Islands,0,Avipoxvirus isolate Midway Islands,,,,
345,Avipoxvirus isolate Minnesota,0,Avipoxvirus isolate Minnesota,,,,
346,Avipoxvirus isolate Mississippi,0,Avipoxvirus isolate Mississippi,,,,
347,Avipoxvirus isolate Montana,0,Avipoxvirus isolate Montana,,,,
348,Avipoxvirus isolate Nevada,0,Avipoxvirus isolate Nevada,,,,
349,Avipoxvirus isolate New York,0,Avipoxvirus isolate New York,,,,
350,Avipoxvirus isolate Oregon,0,Avipoxvirus isolate Oregon,,,,
351,Avipoxvirus isolate PM33/2007,0,Avipoxvirus isolate PM33/2007,,,,
352,Avipoxvirus isolate PM34/2007,0,Avipoxvirus isolate PM34/2007,,,,
353,Avipoxvirus isolate PM9/2007,0,Avipoxvirus isolate PM9/2007,,,,
354,Avipoxvirus isolate Pat/07,0,Avipoxvirus isolate Pat/07,,,,
355,Avipoxvirus isolate Pennsylvania,0,Avipoxvirus isolate Pennsylvania,,,,
356,Avipoxvirus isolate Sat/07,0,Avipoxvirus isolate Sat/07,,,,
357,Avipoxvirus isolate Sevilla,0,Avipoxvirus isolate Sevilla,,,,
358,Avipoxvirus isolate South Korea,0,Avipoxvirus isolate South Korea,,,,
359,Avipoxvirus isolate Spain,0,Avipoxvirus isolate Spain,,,,
360,Avipoxvirus isolate Texas,0,Avipoxvirus isolate Texas,,,,
361,Avipoxvirus isolate United Kingdom,0,Avipoxvirus isolate United Kingdom,,,,
362,Avipoxvirus isolate Utah,0,Avipoxvirus isolate Utah,,,,
363,Avipoxvirus isolate Vienna,0,Avipoxvirus isolate Vienna,,,,
364,Avipoxvirus isolate Washington,0,Avipoxvirus isolate Washington,,,,
365,Avipoxvirus isolate Washington DC,0,Avipoxvirus isolate Washington DC,,,,
366,Avipoxvirus isolate Wisconsin,0,Avipoxvirus isolate Wisconsin,,,,
367,Avipoxvirus isolate the Netherlands,0,Avipoxvirus isolate the Netherlands,,,,
368,Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,0,Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,,,,
369,Avipoxvirus penguin/AP/ARG/2007,0,Avipoxvirus penguin/AP/ARG/2007,,,,
370,Avipoxvirus pigeon/CAPM V-101/CZE/1965,0,Avipoxvirus pigeon/CAPM V-101/CZE/1965,,,,
371,Avipoxvirus sp.,,Avipoxvirus sp.,GCA_033951315.1,113506.0,31.0,108.0
372,Avipoxvirus strain Elsharqyia_PGPV,0,Avipoxvirus strain Elsharqyia_PGPV,,,,
373,Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,0,Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,,,,
374,Avipoxvirus wood pigeon/ER-2008/CZE,0,Avipoxvirus wood pigeon/ER-2008/CZE,,,,
375,Avisivirus A,GCF_002816595.1,Avisivirus A,GCF_002816595.1,7373.0,45.0,1.0
376,Avisivirus AVE052/AsV,0,Avisivirus AVE052/AsV,GCA_031171275.1,7342.0,46.0,
377,Avisivirus B,GCF_000924115.1,Avisivirus B,GCF_000924115.1,7310.0,48.5,1.0
378,Avisivirus C,GCF_000923475.1,Avisivirus C,GCF_000923475.1,7167.0,45.0,1.0
379,Avisivirus Pf-CHK1/AsV,GCF_001502795.1,Avisivirus Pf-CHK1/AsV,GCF_001502795.1,7270.0,45.5,1.0
380,Avisivirus sp.,,Avisivirus sp.,,,,
381,Avocet calicivirus,0,Avocet calicivirus,,,,
382,Avocet megrivirus,0,Avocet megrivirus,,,,
383,Avocet picornavirus,0,Avocet picornavirus,,,,
384,Avocet picornavirus B,0,Avocet picornavirus B,,,,
385,Avon-Heathcote Estuary associated circular virus 25,,Avon-Heathcote Estuary associated circular virus 25,GCF_000954435.1,2142.0,42.0,2.0
386,Avulavirus sp.,,Avulavirus sp.,,,,
387,Baku virus,0,Baku virus,,,,
388,Balagodu virus,0,Balagodu virus,GCF_029887365.1,12557.0,36.5,3.0
389,Bald eagle hepacivirus,0,Bald eagle hepacivirus,GCA_031193265.1,11013.0,47.0,
390,Bald eagle poxvirus,0,Bald eagle poxvirus,,,,
391,Balleny virus,0,Balleny virus,,,,
392,Bandavirus dabieense,,Bandavirus dabieense,,,,
393,Bardin virus,0,Bardin virus,,,,
394,Bavaria virus,GCF_001963095.1,Bavaria virus,GCF_001963095.1,8176.0,54.0,2.0
395,Bavovirus sp.,,Bavovirus sp.,,,,
396,BeAn 157575 virus,0,BeAn 157575 virus,,,,
397,Belem virus,GCF_029887655.1,Belem virus,GCF_029887655.1,12765.0,35.5,4.0
398,Bellingshausen virus,0,Bellingshausen virus,,,,
399,Bengalese munia circovirus,,Bengalese munia circovirus,,,,
400,Betacoronavirus 1,0,Betacoronavirus 1,,,,
401,Bird calicivirus,,Bird calicivirus,,,,
402,Bird parvovirus,,Bird parvovirus,,,,
403,Birnavirus sp.,0,Birnavirus sp.,,,,
404,Biscoe virus,0,Biscoe virus,,,,
405,Blackbird arilivirus,GCF_004132805.1,Blackbird arilivirus,GCF_004132805.1,9228.0,48.0,2.0
406,Blackbird siadenovirus,,Blackbird siadenovirus,,,,
407,Blencathra virus,,Blencathra virus,,,,
408,Blue tit circovirus,0,Blue tit circovirus,,,,
409,Blue tit hepacivirus,,Blue tit hepacivirus,,,,
410,Bobaya virus,,Bobaya virus,GCF_029888205.1,12536.0,36.0,3.0
411,Bonasa bonasia parvoviridae sp.,,Bonasa bonasia parvoviridae sp.,,,,
412,Borchgrevink virus,0,Borchgrevink virus,,,,
413,Bransfield virus,0,Bransfield virus,,,,
414,Brazilian bird anellovirus type 1,0,Brazilian bird anellovirus type 1,,,,
415,Brazilian bird anellovirus type 2,0,Brazilian bird anellovirus type 2,,,,
416,Brazilian bird anellovirus type 3,0,Brazilian bird anellovirus type 3,,,,
417,Brazilian penguinpox virus,0,Brazilian penguinpox virus,,,,
418,British Admiral virus,,British Admiral virus,,,,
419,Bruce virus,0,Bruce virus,,,,
420,Bruthen virus,,Bruthen virus,,,,
421,Bubo bubo herpesvirus,0,Bubo bubo herpesvirus,,,,
422,Budgerigar adenovirus 1,0,Budgerigar adenovirus 1,,,,
423,Buffalo Bayou virus,0,Buffalo Bayou virus,,,,
424,Bulbul coronavirus HKU11,GCF_002816215.1,Bulbul coronavirus HKU11,GCF_002816215.1,26487.0,38.5,9.0
425,Buldecovirus sp.,,Buldecovirus sp.,,,,
426,Burhinus oedicnemus herpesvirus,,Burhinus oedicnemus herpesvirus,,,,
427,Buteo buteo herpesvirus,,Buteo buteo herpesvirus,,,,
428,Byrd virus,0,Byrd virus,,,,
429,CRESS DNA virus,,CRESS DNA virus,,,,
430,Cacatuid alphaherpesvirus 1,0,Cacatuid alphaherpesvirus 1,,,,
431,Cacatuid alphaherpesvirus 2,GCF_027939225.1,Cacatuid alphaherpesvirus 2,GCF_027939225.1,141537.0,46.0,79.0
432,Caliciviridae sp.,,Caliciviridae sp.,,,,
433,Calicivirus chicken/V0013/Bayern/2004,0,Calicivirus chicken/V0013/Bayern/2004,,,,
434,Calicivirus chicken/V0021/Bayern/2004,GCF_004786895.1,Calicivirus chicken/V0021/Bayern/2004,GCF_004786895.1,7908.0,54.0,2.0
435,Calicivirus chicken/V0027/Bayern/2004,0,Calicivirus chicken/V0027/Bayern/2004,,,,
436,Calonectris borealis alphaherpesvirus,,Calonectris borealis alphaherpesvirus,,,,
437,Canada goose coronavirus,GCF_012271745.1,Canada goose coronavirus,GCF_012271745.1,28539.0,38.5,16.0
438,Canary chaphamaparvovirus 1,,Canary chaphamaparvovirus 1,,,,
439,Canary chaphamaparvovirus 2,,Canary chaphamaparvovirus 2,,,,
440,Canary dependoparvovirus 1,,Canary dependoparvovirus 1,,,,
441,Canary dependoparvovirus 2,,Canary dependoparvovirus 2,,,,
442,Canarypox virus,,Canarypox virus,GCF_000841685.1,359853.0,30.5,328.0
443,Cape sugarbird pox virus,0,Cape sugarbird pox virus,,,,
444,Carnarvon virus,,Carnarvon virus,,,,
445,Carpodacus sibiricus Genomoviridae sp.,,Carpodacus sibiricus Genomoviridae sp.,,,,
446,Carpodacus sibiricus parvoviridae sp.,,Carpodacus sibiricus parvoviridae sp.,,,,
447,Cataraqui virus,,Cataraqui virus,,,,
448,Caudoviricetes sp.,,Caudoviricetes sp.,GCA_003657725.1,419387.0,27.5,
449,Cecropis daurica CRESS-DNA-virus sp.,,Cecropis daurica CRESS-DNA-virus sp.,,,,
450,Cecropis daurica Genomoviridae sp.,,Cecropis daurica Genomoviridae sp.,,,,
451,Cecropis daurica parvoviridae sp.,,Cecropis daurica parvoviridae sp.,,,,
452,Chaphamaparvovirus anseriform 7,,Chaphamaparvovirus anseriform 7,,,,
453,Chaphamaparvovirus anseriform 8,,Chaphamaparvovirus anseriform 8,,,,
454,Chaphamaparvovirus anseriform 9,,Chaphamaparvovirus anseriform 9,,,,
455,Chaphamaparvovirus anseriform1,GCF_029885285.1,Chaphamaparvovirus anseriform1,GCF_029885285.1,4382.0,40.5,4.0
456,Chaphamaparvovirus anseriform2,GCF_029885295.1,Chaphamaparvovirus anseriform2,GCF_029885295.1,4302.0,39.5,4.0
457,Chaphamaparvovirus anseriform3,GCF_029885305.1,Chaphamaparvovirus anseriform3,GCF_029885305.1,4387.0,39.0,4.0
458,Chaphamaparvovirus anseriform4,GCF_029885275.1,Chaphamaparvovirus anseriform4,GCF_029885275.1,4323.0,39.0,4.0
459,Chaphamaparvovirus anseriform5,GCF_029885885.1,Chaphamaparvovirus anseriform5,GCF_029885885.1,4231.0,41.0,4.0
460,Chaphamaparvovirus anseriform6,GCF_029885895.1,Chaphamaparvovirus anseriform6,GCF_029885895.1,4087.0,41.0,4.0
461,Chaphamaparvovirus avian1,0,Chaphamaparvovirus avian1,,,,
462,Chaphamaparvovirus galliform1,GCF_013087235.1,Chaphamaparvovirus galliform1,GCF_013087235.1,3539.0,40.0,2.0
463,Chaphamaparvovirus galliform2,GCF_013087825.1,Chaphamaparvovirus galliform2,GCF_013087825.1,4432.0,39.5,2.0
464,Chaphamaparvovirus galliform3,GCF_013087285.1,Chaphamaparvovirus galliform3,GCF_013087285.1,3661.0,39.5,1.0
465,Chaphamaparvovirus galliform4,GCF_018587365.1,Chaphamaparvovirus galliform4,GCF_018587365.1,4428.0,42.5,3.0
466,Chaphamaparvovirus galliform5,GCF_018587395.1,Chaphamaparvovirus galliform5,GCF_018587395.1,4348.0,42.0,3.0
467,Chaphamaparvovirus gruiform1,0,Chaphamaparvovirus gruiform1,,,,
468,Chaphamaparvovirus gruiform2,0,Chaphamaparvovirus gruiform2,,,,
469,Chaphamaparvovirus gruiform3,0,Chaphamaparvovirus gruiform3,,,,
470,Chaphamaparvovirus gruiform4,0,Chaphamaparvovirus gruiform4,,,,
471,Chaphamaparvovirus gyb-MR3/2015/HUN,,Chaphamaparvovirus gyb-MR3/2015/HUN,,,,
472,Chaphamaparvovirus psittacine1,GCF_018587825.1,Chaphamaparvovirus psittacine1,GCF_018587825.1,4116.0,42.5,3.0
473,Chaphamaparvovirus sp.,,Chaphamaparvovirus sp.,,,,
474,Chaphamaparvovirus strigiform1,GCF_029885625.1,Chaphamaparvovirus strigiform1,GCF_029885625.1,4219.0,41.0,3.0
475,Chapparvovirus sp.,0,Chapparvovirus sp.,GCA_031176495.1,4181.0,34.5,
476,Charcot virus,0,Charcot virus,,,,
477,Chatham orthoreovirus,0,Chatham orthoreovirus,GCA_031528425.1,23498.0,48.0,
478,Chestnut teal aalivirus,,Chestnut teal aalivirus,,,,
479,Chestnut teal astrovirus,,Chestnut teal astrovirus,,,,
480,Chestnut teal chaphamaparvovirus,,Chestnut teal chaphamaparvovirus,,,,
481,Chestnut teal chaphamaparvovirus 1,,Chestnut teal chaphamaparvovirus 1,GCF_029885285.1,4382.0,40.5,4.0
482,Chestnut teal chaphamaparvovirus 2,,Chestnut teal chaphamaparvovirus 2,GCF_029885295.1,4302.0,39.5,4.0
483,Chestnut teal chaphamaparvovirus 3,,Chestnut teal chaphamaparvovirus 3,GCF_029885305.1,4387.0,39.0,4.0
484,Chestnut teal megrivirus,,Chestnut teal megrivirus,,,,
485,Chestnut teal sicinivirus-like virus,,Chestnut teal sicinivirus-like virus,,,,
486,Chicken associated smacovirus,GCF_003963755.1,Chicken associated smacovirus,GCF_003963755.1,2343.0,40.0,2.0
487,Chicken astrovirus,,Chicken astrovirus,GCF_000852205.1,6927.0,46.5,2.0
488,Chicken astrovirus 2,0,Chicken astrovirus 2,,,,
489,Chicken chapparvovirus 1,0,Chicken chapparvovirus 1,,,,
490,Chicken circovirus 2,0,Chicken circovirus 2,GCA_031201085.1,2001.0,34.5,2.0
491,Chicken circovirus 3,0,Chicken circovirus 3,,,,
492,Chicken circovirus 4,0,Chicken circovirus 4,GCA_031198535.1,2031.0,31.0,2.0
493,Chicken circovirus 5,0,Chicken circovirus 5,GCA_031198515.1,1936.0,43.5,2.0
494,Chicken circovirus SDWF,0,Chicken circovirus SDWF,GCA_031185315.1,1911.0,37.0,2.0
495,Chicken cyclovirus mg4_1122,0,Chicken cyclovirus mg4_1122,GCA_031200465.1,1847.0,42.5,
496,Chicken cyclovirus mg5_2967,0,Chicken cyclovirus mg5_2967,GCA_031200475.1,1902.0,49.5,
497,Chicken cyclovirus mg7_102,0,Chicken cyclovirus mg7_102,GCA_031200485.1,1910.0,49.5,
498,Chicken enteric coronavirus,0,Chicken enteric coronavirus,,,,
499,Chicken gallivirus 1,0,Chicken gallivirus 1,,,,
500,Chicken genomovirus,,Chicken genomovirus,,,,
501,Chicken genomovirus mg2_274u,0,Chicken genomovirus mg2_274u,GCA_031200365.1,2206.0,50.0,
502,Chicken genomovirus mg2_75,0,Chicken genomovirus mg2_75,GCA_031200375.1,2144.0,49.0,
503,Chicken genomovirus mg2_77,0,Chicken genomovirus mg2_77,GCA_031200385.1,2127.0,50.5,
504,Chicken genomovirus mg4_1107,0,Chicken genomovirus mg4_1107,GCA_031200395.1,2270.0,51.0,
505,Chicken genomovirus mg4_1196,0,Chicken genomovirus mg4_1196,GCA_031200405.1,2191.0,49.5,
506,Chicken genomovirus mg4_1210,0,Chicken genomovirus mg4_1210,GCA_031200415.1,2180.0,50.5,
507,Chicken genomovirus mg4_1259,0,Chicken genomovirus mg4_1259,GCA_031200425.1,2145.0,50.0,
508,Chicken genomovirus mg7_70,0,Chicken genomovirus mg7_70,GCA_031200435.1,2236.0,54.0,
509,Chicken genomovirus mg7_74,0,Chicken genomovirus mg7_74,GCA_031200445.1,2182.0,50.5,
510,Chicken genomovirus mg8_416,0,Chicken genomovirus mg8_416,GCA_031200455.1,2161.0,49.0,
511,Chicken parvovirus 109/HRV/2009,0,Chicken parvovirus 109/HRV/2009,,,,
512,Chicken parvovirus 347/HUN/2008,0,Chicken parvovirus 347/HUN/2008,,,,
513,Chicken parvovirus 348/HUN/2008,0,Chicken parvovirus 348/HUN/2008,,,,
514,Chicken parvovirus 399/HRV/2010,0,Chicken parvovirus 399/HRV/2010,,,,
515,Chicken parvovirus 404/HRV/2010,0,Chicken parvovirus 404/HRV/2010,,,,
516,Chicken parvovirus 458/HRV/2010,0,Chicken parvovirus 458/HRV/2010,,,,
517,Chicken parvovirus 478/HRV/2010,0,Chicken parvovirus 478/HRV/2010,,,,
518,Chicken parvovirus 528/HUN/2009,0,Chicken parvovirus 528/HUN/2009,,,,
519,Chicken parvovirus 5B8/2009,0,Chicken parvovirus 5B8/2009,,,,
520,Chicken parvovirus 92/HRV/2009,0,Chicken parvovirus 92/HRV/2009,,,,
521,Chicken parvovirus A1/HUN/2009,0,Chicken parvovirus A1/HUN/2009,,,,
522,Chicken parvovirus ABU/HUN/2009,0,Chicken parvovirus ABU/HUN/2009,,,,
523,Chicken parvovirus B1/HUN/2009,0,Chicken parvovirus B1/HUN/2009,,,,
524,Chicken parvovirus Ch1514/2007/HUN,0,Chicken parvovirus Ch1514/2007/HUN,,,,
525,Chicken parvovirus Ch1515/2007/HUN,0,Chicken parvovirus Ch1515/2007/HUN,,,,
526,Chicken parvovirus Ch189/2009/HUN,0,Chicken parvovirus Ch189/2009/HUN,,,,
527,Chicken parvovirus Ch538/2009/HUN,0,Chicken parvovirus Ch538/2009/HUN,,,,
528,Chicken parvovirus Ch5596_10/2010/HUN,0,Chicken parvovirus Ch5596_10/2010/HUN,,,,
529,Chicken parvovirus Ch5596_13/2010/HUN,0,Chicken parvovirus Ch5596_13/2010/HUN,,,,
530,Chicken parvovirus Ch5596_18/2010/HUN,0,Chicken parvovirus Ch5596_18/2010/HUN,,,,
531,Chicken parvovirus Ch5596_7/2010/HUN,0,Chicken parvovirus Ch5596_7/2010/HUN,,,,
532,Chicken parvovirus Ch841_3/2009/HUN,0,Chicken parvovirus Ch841_3/2009/HUN,,,,
533,Chicken parvovirus Ch852/2009/HUN,0,Chicken parvovirus Ch852/2009/HUN,,,,
534,Chicken parvovirus Ch_114_10,0,Chicken parvovirus Ch_114_10,,,,
535,Chicken parvovirus Cro/Glog/2010,0,Chicken parvovirus Cro/Glog/2010,,,,
536,Chicken picobirnavirus,GCF_004117635.1,Chicken picobirnavirus,GCF_004117635.1,4232.0,45.0,4.0
537,Chicken picornavirus,0,Chicken picornavirus,,,,
538,Chicken picornavirus 1,GCF_000923455.1,Chicken picornavirus 1,GCF_000923455.1,8287.0,55.5,1.0
539,Chicken picornavirus 4,GCF_000922415.1,Chicken picornavirus 4,GCF_000922415.1,9564.0,44.5,1.0
540,Chicken picornavirus HK-2014,0,Chicken picornavirus HK-2014,,,,
541,Chicken picornavirus UCC13,0,Chicken picornavirus UCC13,,,,
542,Chicken proventricular necrosis virus,,Chicken proventricular necrosis virus,,,,
543,Chicken proventriculitis virus,0,Chicken proventriculitis virus,,,,
544,Chicken proventriculitis-associated circular virus 1,,Chicken proventriculitis-associated circular virus 1,GCA_031268925.1,1858.0,46.0,2.0
545,Chicken proventriculitis-associated circular virus 10,,Chicken proventriculitis-associated circular virus 10,GCA_031269125.1,3843.0,30.5,2.0
546,Chicken proventriculitis-associated circular virus 11,,Chicken proventriculitis-associated circular virus 11,GCA_031269185.1,4890.0,35.0,3.0
547,Chicken proventriculitis-associated circular virus 12,,Chicken proventriculitis-associated circular virus 12,,,,
548,Chicken proventriculitis-associated circular virus 14,,Chicken proventriculitis-associated circular virus 14,GCA_031269325.1,1654.0,47.0,2.0
549,Chicken proventriculitis-associated circular virus 15,,Chicken proventriculitis-associated circular virus 15,GCA_031269375.1,1787.0,44.0,2.0
550,Chicken proventriculitis-associated circular virus 16,,Chicken proventriculitis-associated circular virus 16,GCA_031269445.1,1697.0,47.5,2.0
551,Chicken proventriculitis-associated circular virus 17,,Chicken proventriculitis-associated circular virus 17,GCA_031269455.1,1181.0,41.5,3.0
552,Chicken proventriculitis-associated circular virus 18,,Chicken proventriculitis-associated circular virus 18,GCA_031269495.1,1031.0,40.5,2.0
553,Chicken proventriculitis-associated circular virus 19,,Chicken proventriculitis-associated circular virus 19,GCA_031269555.1,3167.0,41.5,3.0
554,Chicken proventriculitis-associated circular virus 2,,Chicken proventriculitis-associated circular virus 2,GCA_031268945.1,1623.0,46.5,2.0
555,Chicken proventriculitis-associated circular virus 20,,Chicken proventriculitis-associated circular virus 20,GCA_031269585.1,1411.0,44.5,2.0
556,Chicken proventriculitis-associated circular virus 21,,Chicken proventriculitis-associated circular virus 21,GCA_031269625.1,1813.0,43.0,3.0
557,Chicken proventriculitis-associated circular virus 22,,Chicken proventriculitis-associated circular virus 22,GCA_031269695.1,1852.0,40.0,2.0
558,Chicken proventriculitis-associated circular virus 23,,Chicken proventriculitis-associated circular virus 23,GCA_031269715.1,1866.0,43.0,2.0
559,Chicken proventriculitis-associated circular virus 24,,Chicken proventriculitis-associated circular virus 24,GCA_031269745.1,1793.0,46.0,2.0
560,Chicken proventriculitis-associated circular virus 26,,Chicken proventriculitis-associated circular virus 26,GCA_031269805.1,1948.0,48.5,3.0
561,Chicken proventriculitis-associated circular virus 27,,Chicken proventriculitis-associated circular virus 27,GCA_031269835.1,1953.0,41.0,1.0
562,Chicken proventriculitis-associated circular virus 28,,Chicken proventriculitis-associated circular virus 28,GCA_031269855.1,1830.0,45.0,3.0
563,Chicken proventriculitis-associated circular virus 29,,Chicken proventriculitis-associated circular virus 29,GCA_031269885.1,1726.0,48.0,3.0
564,Chicken proventriculitis-associated circular virus 3,,Chicken proventriculitis-associated circular virus 3,GCA_031269005.1,2070.0,39.0,2.0
565,Chicken proventriculitis-associated circular virus 30,,Chicken proventriculitis-associated circular virus 30,GCA_031269975.1,3345.0,50.0,4.0
566,Chicken proventriculitis-associated circular virus 4,,Chicken proventriculitis-associated circular virus 4,GCA_031269055.1,1240.0,38.5,1.0
567,Chicken proventriculitis-associated circular virus 5,,Chicken proventriculitis-associated circular virus 5,GCA_031269085.1,1531.0,42.5,2.0
568,Chicken proventriculitis-associated circular virus 7,,Chicken proventriculitis-associated circular virus 7,GCA_031269215.1,1894.0,44.0,2.0
569,Chicken proventriculitis-associated circular virus 8,,Chicken proventriculitis-associated circular virus 8,GCA_031269265.1,1931.0,42.5,2.0
570,Chicken proventriculitis-associated circular virus 9,,Chicken proventriculitis-associated circular virus 9,GCA_031269305.1,1809.0,42.5,2.0
571,Chicken smacovirus mg2_55,0,Chicken smacovirus mg2_55,GCA_031200495.1,2452.0,54.5,
572,Chicken smacovirus mg5_1444,0,Chicken smacovirus mg5_1444,GCA_031200505.1,2394.0,50.0,
573,Chicken smacovirus mg6_1052,0,Chicken smacovirus mg6_1052,GCA_031200515.1,2574.0,51.5,
574,Chicken smacovirus mg7_57,0,Chicken smacovirus mg7_57,GCA_031200525.1,2573.0,52.0,
575,Chicken smacovirus mg8_345,0,Chicken smacovirus mg8_345,GCA_031200595.1,2405.0,50.5,
576,Chicken stool associated circular virus 1,GCF_003729875.1,Chicken stool associated circular virus 1,GCF_003729875.1,3173.0,48.0,2.0
577,Chicken stool associated circular virus 2,GCF_003729855.1,Chicken stool associated circular virus 2,GCF_003729855.1,3161.0,48.0,2.0
578,Chicken stool-associated circular virus,GCF_001968175.1,Chicken stool-associated circular virus,GCF_001968175.1,4668.0,43.5,3.0
579,Chicken virus mg4_1578,0,Chicken virus mg4_1578,GCA_031200215.1,1933.0,33.0,
580,Chicken virus mg4_2302,0,Chicken virus mg4_2302,GCA_031200225.1,1690.0,47.5,
581,Chicken virus mg4_280,0,Chicken virus mg4_280,GCA_031200255.1,1934.0,38.0,
582,Chicken virus mg4_657,0,Chicken virus mg4_657,GCA_031200265.1,2863.0,41.5,
583,Chicken virus mg5_1345,0,Chicken virus mg5_1345,GCA_031200275.1,2443.0,50.0,
584,Chicken virus mg5_2197,0,Chicken virus mg5_2197,GCA_031200285.1,2093.0,44.5,
585,Chicken virus mg5_2676,0,Chicken virus mg5_2676,GCA_031200295.1,1962.0,38.0,
586,Chicken virus mg6_1197,0,Chicken virus mg6_1197,GCA_031200305.1,2455.0,50.5,
587,Chicken virus mg6_2056,0,Chicken virus mg6_2056,GCA_031200315.1,1977.0,36.5,
588,Chicken virus mg7_41u,0,Chicken virus mg7_41u,GCA_031200325.1,2163.0,50.0,
589,Chicken virus mg7_59,0,Chicken virus mg7_59,GCA_031200335.1,2543.0,51.0,
590,Chicken virus mg8_273,0,Chicken virus mg8_273,GCA_031200345.1,2862.0,41.5,
591,Chicken virus mg8_324,0,Chicken virus mg8_324,GCA_031200355.1,2539.0,51.0,
592,Chimeric virus 14,,Chimeric virus 14,GCF_001021315.1,3141.0,40.0,2.0
593,Chimney swift adenovirus 1,0,Chimney swift adenovirus 1,,,,
594,Chinstrap penguin adenovirus 1,0,Chinstrap penguin adenovirus 1,,,,
595,Chinstrap penguin adenovirus 3,0,Chinstrap penguin adenovirus 3,,,,
596,Chinstrap penguin adenovirus 4,0,Chinstrap penguin adenovirus 4,,,,
597,Chinstrap penguin adenovirus 5,0,Chinstrap penguin adenovirus 5,,,,
598,Chinstrap penguin adenovirus 6,0,Chinstrap penguin adenovirus 6,,,,
