Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Avipoxvirus PCcPV1/NZL/2006,Avipoxvirus PCcPV1/NZL/2006,,,,,1,1,1,1
Avipoxvirus PCcPV2/NZL/2007,Avipoxvirus PCcPV2/NZL/2007,,,,,1,1,1,1
Avipoxvirus PEPV_San92,Avipoxvirus PEPV_San92,,,,,1,1,1,1
Avipoxvirus PGPV10K_LD1,Avipoxvirus PGPV10K_LD1,,,,,1,1,1,1
Avipoxvirus PGPV10K_RP1,Avipoxvirus PGPV10K_RP1,,,,,1,1,1,1
Avipoxvirus PGPV10K_SP1,Avipoxvirus PGPV10K_SP1,,,,,1,1,1,1
Avipoxvirus PGPV11K_FP1,Avipoxvirus PGPV11K_FP1,,,,,1,1,1,1
Avipoxvirus PGPV11K_FP2,Avipoxvirus PGPV11K_FP2,,,,,1,1,1,1
Avipoxvirus PGPV11K_LD2,Avipoxvirus PGPV11K_LD2,,,,,1,1,1,1
Avipoxvirus PGPV11K_Pi5,Avipoxvirus PGPV11K_Pi5,,,,,1,1,1,1
Avipoxvirus PGPV93K_RP2,Avipoxvirus PGPV93K_RP2,,,,,1,1,1,1
Avipoxvirus PGPVO_Pi1,Avipoxvirus PGPVO_Pi1,,,,,1,1,1,1
Avipoxvirus PGPVO_Pi2,Avipoxvirus PGPVO_Pi2,,,,,1,1,1,1
Avipoxvirus PGPVO_Pi4,Avipoxvirus PGPVO_Pi4,,,,,1,1,1,1
Avipoxvirus PTPV/NZL/2005,Avipoxvirus PTPV/NZL/2005,,,,,1,1,1,1
Avipoxvirus Pat/07,Avipoxvirus Pat/07,,,,,1,1,1,1
Avipoxvirus Peekham,Avipoxvirus Peekham,,,,,1,1,1,1
Avipoxvirus Pox10291,Avipoxvirus Pox10291,,,,,1,1,1,1
Avipoxvirus Pox10302,Avipoxvirus Pox10302,,,,,1,1,1,1
Avipoxvirus Pox10588,Avipoxvirus Pox10588,,,,,1,1,1,1
Avipoxvirus Pox10643,Avipoxvirus Pox10643,,,,,1,1,1,1
Avipoxvirus Pox10716,Avipoxvirus Pox10716,,,,,1,1,1,1
Avipoxvirus Pox11408,Avipoxvirus Pox11408,,,,,1,1,1,1
Avipoxvirus Pox11458,Avipoxvirus Pox11458,,,,,1,1,1,1
Avipoxvirus Pox12717,Avipoxvirus Pox12717,,,,,1,1,1,1
Avipoxvirus Pox13916,Avipoxvirus Pox13916,,,,,1,1,1,1
Avipoxvirus Pox7379,Avipoxvirus Pox7379,,,,,1,1,1,1
Avipoxvirus PoxHAAM26,Avipoxvirus PoxHAAM26,,,,,1,1,1,1
Avipoxvirus PoxPV013.3,Avipoxvirus PoxPV013.3,,,,,1,1,1,1
Avipoxvirus Spilornis cheela/Taiwan/2008,Avipoxvirus Spilornis cheela/Taiwan/2008,,,,,1,1,1,1
Avipoxvirus TD,Avipoxvirus TD,,,,,1,1,1,1
Avipoxvirus TMPV,Avipoxvirus TMPV,,,,,1,1,1,1
Avipoxvirus TNPV3/NZL/2007,Avipoxvirus TNPV3/NZL/2007,,,,,1,1,1,1
Avipoxvirus TNPV6/NZL/2009,Avipoxvirus TNPV6/NZL/2009,,,,,1,1,1,1
Avipoxvirus TPPV/NZL/2002,Avipoxvirus TPPV/NZL/2002,,,,,1,1,1,1
Avipoxvirus TVPV2/NZL/2008,Avipoxvirus TVPV2/NZL/2008,,,,,1,1,1,1
Avipoxvirus VIC-02,Avipoxvirus VIC-02,,,,,1,1,1,1
Avipoxvirus VIC-08,Avipoxvirus VIC-08,,,,,1,1,1,1
Avipoxvirus XL,Avipoxvirus XL,,,,,1,1,1,1
Avipoxvirus ZLPV1/NZL/2007,Avipoxvirus ZLPV1/NZL/2007,,,,,1,1,1,1
Avipoxvirus blackcap/CZE/2007,Avipoxvirus blackcap/CZE/2007,,,,,1,1,1,1
Avipoxvirus canary/PT-44463/Portugal/2010,Avipoxvirus canary/PT-44463/Portugal/2010,,,,,1,1,1,1
Avipoxvirus chicken/PT-30327/Portugal/2013,Avipoxvirus chicken/PT-30327/Portugal/2013,,,,,1,1,1,1
Avipoxvirus clade C,Avipoxvirus clade C,,,,,1,1,1,1
Avipoxvirus flamingo/KD09/ZAF,Avipoxvirus flamingo/KD09/ZAF,,,,,1,1,1,1
Avipoxvirus flamingo/PT-29021/Portugal/2010,Avipoxvirus flamingo/PT-29021/Portugal/2010,,,,,1,1,1,1
Avipoxvirus great tit/ER-2008/CZE,Avipoxvirus great tit/ER-2008/CZE,,,,,1,1,1,1
Avipoxvirus isolate 1739/2006,Avipoxvirus isolate 1739/2006,,,,,1,1,1,1
Avipoxvirus isolate 2634/1998,Avipoxvirus isolate 2634/1998,,,,,1,1,1,1
Avipoxvirus isolate APIII,Avipoxvirus isolate APIII,,,,,1,1,1,1
Avipoxvirus isolate Alaska,Avipoxvirus isolate Alaska,,,,,1,1,1,1
Avipoxvirus isolate Antarctica,Avipoxvirus isolate Antarctica,,,,,1,1,1,1
Avipoxvirus isolate Argentina,Avipoxvirus isolate Argentina,,,,,1,1,1,1
Avipoxvirus isolate Arizona,Avipoxvirus isolate Arizona,,,,,1,1,1,1
Avipoxvirus isolate Belgium,Avipoxvirus isolate Belgium,,,,,1,1,1,1
Avipoxvirus isolate California,Avipoxvirus isolate California,,,,,1,1,1,1
Avipoxvirus isolate Cca/07,Avipoxvirus isolate Cca/07,,,,,1,1,1,1
Avipoxvirus isolate Cch/07,Avipoxvirus isolate Cch/07,,,,,1,1,1,1
Avipoxvirus isolate Chile,Avipoxvirus isolate Chile,,,,,1,1,1,1
Avipoxvirus isolate Colorado,Avipoxvirus isolate Colorado,,,,,1,1,1,1
Avipoxvirus isolate DD1258,Avipoxvirus isolate DD1258,,,,,1,1,1,1
Avipoxvirus isolate Florida,Avipoxvirus isolate Florida,,,,,1,1,1,1
Avipoxvirus isolate Galapagos Islands,Avipoxvirus isolate Galapagos Islands,,,,,1,1,1,1
Avipoxvirus isolate Georgia,Avipoxvirus isolate Georgia,,,,,1,1,1,1
Avipoxvirus isolate Hawaii,Avipoxvirus isolate Hawaii,,,,,1,1,1,1
Avipoxvirus isolate Hungary,Avipoxvirus isolate Hungary,,,,,1,1,1,1
Avipoxvirus isolate ID8501092,Avipoxvirus isolate ID8501092,,,,,1,1,1,1
Avipoxvirus isolate ID8964,Avipoxvirus isolate ID8964,,,,,1,1,1,1
Avipoxvirus isolate Illinois,Avipoxvirus isolate Illinois,,,,,1,1,1,1
Avipoxvirus isolate Maryland,Avipoxvirus isolate Maryland,,,,,1,1,1,1
Avipoxvirus isolate Massachusetts,Avipoxvirus isolate Massachusetts,,,,,1,1,1,1
Avipoxvirus isolate Midway Islands,Avipoxvirus isolate Midway Islands,,,,,1,1,1,1
Avipoxvirus isolate Minnesota,Avipoxvirus isolate Minnesota,,,,,1,1,1,1
Avipoxvirus isolate Mississippi,Avipoxvirus isolate Mississippi,,,,,1,1,1,1
Avipoxvirus isolate Montana,Avipoxvirus isolate Montana,,,,,1,1,1,1
Avipoxvirus isolate Nevada,Avipoxvirus isolate Nevada,,,,,1,1,1,1
Avipoxvirus isolate New York,Avipoxvirus isolate New York,,,,,1,1,1,1
Avipoxvirus isolate Oregon,Avipoxvirus isolate Oregon,,,,,1,1,1,1
Avipoxvirus isolate PM33/2007,Avipoxvirus isolate PM33/2007,,,,,1,1,1,1
Avipoxvirus isolate PM34/2007,Avipoxvirus isolate PM34/2007,,,,,1,1,1,1
Avipoxvirus isolate PM9/2007,Avipoxvirus isolate PM9/2007,,,,,1,1,1,1
Avipoxvirus isolate Pat/07,Avipoxvirus isolate Pat/07,,,,,1,1,1,1
Avipoxvirus isolate Pennsylvania,Avipoxvirus isolate Pennsylvania,,,,,1,1,1,1
Avipoxvirus isolate Sat/07,Avipoxvirus isolate Sat/07,,,,,1,1,1,1
Avipoxvirus isolate Sevilla,Avipoxvirus isolate Sevilla,,,,,1,1,1,1
Avipoxvirus isolate South Korea,Avipoxvirus isolate South Korea,,,,,1,1,1,1
Avipoxvirus isolate Spain,Avipoxvirus isolate Spain,,,,,1,1,1,1
Avipoxvirus isolate Texas,Avipoxvirus isolate Texas,,,,,1,1,1,1
Avipoxvirus isolate United Kingdom,Avipoxvirus isolate United Kingdom,,,,,1,1,1,1
Avipoxvirus isolate Utah,Avipoxvirus isolate Utah,,,,,1,1,1,1
Avipoxvirus isolate Vienna,Avipoxvirus isolate Vienna,,,,,1,1,1,1
Avipoxvirus isolate Washington,Avipoxvirus isolate Washington,,,,,1,1,1,1
Avipoxvirus isolate Washington DC,Avipoxvirus isolate Washington DC,,,,,1,1,1,1
Avipoxvirus isolate Wisconsin,Avipoxvirus isolate Wisconsin,,,,,1,1,1,1
Avipoxvirus isolate the Netherlands,Avipoxvirus isolate the Netherlands,,,,,1,1,1,1
Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,,,,,1,1,1,1
Avipoxvirus penguin/AP/ARG/2007,Avipoxvirus penguin/AP/ARG/2007,,,,,1,1,1,1
Avipoxvirus pigeon/CAPM V-101/CZE/1965,Avipoxvirus pigeon/CAPM V-101/CZE/1965,,,,,1,1,1,1
Avipoxvirus sp.,Avipoxvirus sp.,GCA_033951315.1,113506.0,31.0,108.0,0,0,0,0
Avipoxvirus strain Elsharqyia_PGPV,Avipoxvirus strain Elsharqyia_PGPV,,,,,1,1,1,1
Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,Avipoxvirus white-tailed eagle/Hokkaido/JPN/2004,,,,,1,1,1,1
Avipoxvirus wood pigeon/ER-2008/CZE,Avipoxvirus wood pigeon/ER-2008/CZE,,,,,1,1,1,1
Avisivirus A,Avisivirus A,GCF_002816595.1,7373.0,45.0,1.0,0,0,0,0
Avisivirus AVE052/AsV,Avisivirus AVE052/AsV,GCA_031171275.1,7342.0,46.0,,0,0,0,1
Avisivirus B,Avisivirus B,GCF_000924115.1,7310.0,48.5,1.0,0,0,0,0
Avisivirus C,Avisivirus C,GCF_000923475.1,7167.0,45.0,1.0,0,0,0,0
Avisivirus Pf-CHK1/AsV,Avisivirus Pf-CHK1/AsV,GCF_001502795.1,7270.0,45.5,1.0,0,0,0,0
Avisivirus sp.,Avisivirus sp.,,,,,1,1,1,1
Avocet calicivirus,Avocet calicivirus,,,,,1,1,1,1
Avocet megrivirus,Avocet megrivirus,,,,,1,1,1,1
Avocet picornavirus,Avocet picornavirus,,,,,1,1,1,1
Avocet picornavirus B,Avocet picornavirus B,,,,,1,1,1,1
Avon-Heathcote Estuary associated circular virus 25,Avon-Heathcote Estuary associated circular virus 25,GCF_000954435.1,2142.0,42.0,2.0,0,0,0,0
Avulavirus sp.,Avulavirus sp.,,,,,1,1,1,1
Baku virus,Baku virus,,,,,1,1,1,1
Balagodu virus,Balagodu virus,GCF_029887365.1,12557.0,36.5,3.0,0,0,0,0
Bald eagle hepacivirus,Bald eagle hepacivirus,GCA_031193265.1,11013.0,47.0,,0,0,0,1
Bald eagle poxvirus,Bald eagle poxvirus,,,,,1,1,1,1
Balleny virus,Balleny virus,,,,,1,1,1,1
Bandavirus dabieense,Bandavirus dabieense,,,,,1,1,1,1
Bardin virus,Bardin virus,,,,,1,1,1,1
Bavaria virus,Bavaria virus,GCF_001963095.1,8176.0,54.0,2.0,0,0,0,0
Bavovirus sp.,Bavovirus sp.,,,,,1,1,1,1
BeAn 157575 virus,BeAn 157575 virus,,,,,1,1,1,1
Belem virus,Belem virus,GCF_029887655.1,12765.0,35.5,4.0,0,0,0,0
Bellingshausen virus,Bellingshausen virus,,,,,1,1,1,1
Bengalese munia circovirus,Bengalese munia circovirus,,,,,1,1,1,1
Betacoronavirus 1,Betacoronavirus 1,,,,,1,1,1,1
Bird calicivirus,Bird calicivirus,,,,,1,1,1,1
Bird parvovirus,Bird parvovirus,,,,,1,1,1,1
Birnavirus sp.,Birnavirus sp.,,,,,1,1,1,1
Biscoe virus,Biscoe virus,,,,,1,1,1,1
Blackbird arilivirus,Blackbird arilivirus,GCF_004132805.1,9228.0,48.0,2.0,0,0,0,0
Blackbird siadenovirus,Blackbird siadenovirus,,,,,1,1,1,1
Blencathra virus,Blencathra virus,,,,,1,1,1,1
Blue tit circovirus,Blue tit circovirus,,,,,1,1,1,1
Blue tit hepacivirus,Blue tit hepacivirus,,,,,1,1,1,1
Bobaya virus,Bobaya virus,GCF_029888205.1,12536.0,36.0,3.0,0,0,0,0
Bonasa bonasia parvoviridae sp.,Bonasa bonasia parvoviridae sp.,,,,,1,1,1,1
Borchgrevink virus,Borchgrevink virus,,,,,1,1,1,1
Bransfield virus,Bransfield virus,,,,,1,1,1,1
Brazilian bird anellovirus type 1,Brazilian bird anellovirus type 1,,,,,1,1,1,1
Brazilian bird anellovirus type 2,Brazilian bird anellovirus type 2,,,,,1,1,1,1
Brazilian bird anellovirus type 3,Brazilian bird anellovirus type 3,,,,,1,1,1,1
Brazilian penguinpox virus,Brazilian penguinpox virus,,,,,1,1,1,1
British Admiral virus,British Admiral virus,,,,,1,1,1,1
Bruce virus,Bruce virus,,,,,1,1,1,1
Bruthen virus,Bruthen virus,,,,,1,1,1,1
Bubo bubo herpesvirus,Bubo bubo herpesvirus,,,,,1,1,1,1
Budgerigar adenovirus 1,Budgerigar adenovirus 1,,,,,1,1,1,1
Buffalo Bayou virus,Buffalo Bayou virus,,,,,1,1,1,1
Bulbul coronavirus HKU11,Bulbul coronavirus HKU11,GCF_002816215.1,26487.0,38.5,9.0,0,0,0,0
Buldecovirus sp.,Buldecovirus sp.,,,,,1,1,1,1
Burhinus oedicnemus herpesvirus,Burhinus oedicnemus herpesvirus,,,,,1,1,1,1
Buteo buteo herpesvirus,Buteo buteo herpesvirus,,,,,1,1,1,1
Byrd virus,Byrd virus,,,,,1,1,1,1
CRESS DNA virus,CRESS DNA virus,,,,,1,1,1,1
Cacatuid alphaherpesvirus 1,Cacatuid alphaherpesvirus 1,,,,,1,1,1,1
Cacatuid alphaherpesvirus 2,Cacatuid alphaherpesvirus 2,GCF_027939225.1,141537.0,46.0,79.0,0,0,0,0
Caliciviridae sp.,Caliciviridae sp.,,,,,1,1,1,1
Calicivirus chicken/V0013/Bayern/2004,Calicivirus chicken/V0013/Bayern/2004,,,,,1,1,1,1
Calicivirus chicken/V0021/Bayern/2004,Calicivirus chicken/V0021/Bayern/2004,GCF_004786895.1,7908.0,54.0,2.0,0,0,0,0
Calicivirus chicken/V0027/Bayern/2004,Calicivirus chicken/V0027/Bayern/2004,,,,,1,1,1,1
Calonectris borealis alphaherpesvirus,Calonectris borealis alphaherpesvirus,,,,,1,1,1,1
Canada goose coronavirus,Canada goose coronavirus,GCF_012271745.1,28539.0,38.5,16.0,0,0,0,0
Canary chaphamaparvovirus 1,Canary chaphamaparvovirus 1,,,,,1,1,1,1
Canary chaphamaparvovirus 2,Canary chaphamaparvovirus 2,,,,,1,1,1,1
Canary dependoparvovirus 1,Canary dependoparvovirus 1,,,,,1,1,1,1
Canary dependoparvovirus 2,Canary dependoparvovirus 2,,,,,1,1,1,1
Canarypox virus,Canarypox virus,GCF_000841685.1,359853.0,30.5,328.0,0,0,0,0
Cape sugarbird pox virus,Cape sugarbird pox virus,,,,,1,1,1,1
Carnarvon virus,Carnarvon virus,,,,,1,1,1,1
Carpodacus sibiricus Genomoviridae sp.,Carpodacus sibiricus Genomoviridae sp.,,,,,1,1,1,1
Carpodacus sibiricus parvoviridae sp.,Carpodacus sibiricus parvoviridae sp.,,,,,1,1,1,1
Cataraqui virus,Cataraqui virus,,,,,1,1,1,1
Caudoviricetes sp.,Caudoviricetes sp.,GCA_003657725.1,419387.0,27.5,,0,0,0,1
Cecropis daurica CRESS-DNA-virus sp.,Cecropis daurica CRESS-DNA-virus sp.,,,,,1,1,1,1
Cecropis daurica Genomoviridae sp.,Cecropis daurica Genomoviridae sp.,,,,,1,1,1,1
Cecropis daurica parvoviridae sp.,Cecropis daurica parvoviridae sp.,,,,,1,1,1,1
Chaphamaparvovirus anseriform 7,Chaphamaparvovirus anseriform 7,,,,,1,1,1,1
Chaphamaparvovirus anseriform 8,Chaphamaparvovirus anseriform 8,,,,,1,1,1,1
Chaphamaparvovirus anseriform 9,Chaphamaparvovirus anseriform 9,,,,,1,1,1,1
Chaphamaparvovirus anseriform1,Chaphamaparvovirus anseriform1,GCF_029885285.1,4382.0,40.5,4.0,0,0,0,0
Chaphamaparvovirus anseriform2,Chaphamaparvovirus anseriform2,GCF_029885295.1,4302.0,39.5,4.0,0,0,0,0
Chaphamaparvovirus anseriform3,Chaphamaparvovirus anseriform3,GCF_029885305.1,4387.0,39.0,4.0,0,0,0,0
Chaphamaparvovirus anseriform4,Chaphamaparvovirus anseriform4,GCF_029885275.1,4323.0,39.0,4.0,0,0,0,0
Chaphamaparvovirus anseriform5,Chaphamaparvovirus anseriform5,GCF_029885885.1,4231.0,41.0,4.0,0,0,0,0
Chaphamaparvovirus anseriform6,Chaphamaparvovirus anseriform6,GCF_029885895.1,4087.0,41.0,4.0,0,0,0,0
Chaphamaparvovirus avian1,Chaphamaparvovirus avian1,,,,,1,1,1,1
Chaphamaparvovirus galliform1,Chaphamaparvovirus galliform1,GCF_013087235.1,3539.0,40.0,2.0,0,0,0,0
Chaphamaparvovirus galliform2,Chaphamaparvovirus galliform2,GCF_013087825.1,4432.0,39.5,2.0,0,0,0,0
Chaphamaparvovirus galliform3,Chaphamaparvovirus galliform3,GCF_013087285.1,3661.0,39.5,1.0,0,0,0,0
Chaphamaparvovirus galliform4,Chaphamaparvovirus galliform4,GCF_018587365.1,4428.0,42.5,3.0,0,0,0,0
Chaphamaparvovirus galliform5,Chaphamaparvovirus galliform5,GCF_018587395.1,4348.0,42.0,3.0,0,0,0,0
Chaphamaparvovirus gruiform1,Chaphamaparvovirus gruiform1,,,,,1,1,1,1
Chaphamaparvovirus gruiform2,Chaphamaparvovirus gruiform2,,,,,1,1,1,1
Chaphamaparvovirus gruiform3,Chaphamaparvovirus gruiform3,,,,,1,1,1,1
Chaphamaparvovirus gruiform4,Chaphamaparvovirus gruiform4,,,,,1,1,1,1
Chaphamaparvovirus gyb-MR3/2015/HUN,Chaphamaparvovirus gyb-MR3/2015/HUN,,,,,1,1,1,1
Chaphamaparvovirus psittacine1,Chaphamaparvovirus psittacine1,GCF_018587825.1,4116.0,42.5,3.0,0,0,0,0
Chaphamaparvovirus sp.,Chaphamaparvovirus sp.,,,,,1,1,1,1
Chaphamaparvovirus strigiform1,Chaphamaparvovirus strigiform1,GCF_029885625.1,4219.0,41.0,3.0,0,0,0,0
Chapparvovirus sp.,Chapparvovirus sp.,GCA_031176495.1,4181.0,34.5,,0,0,0,1
Charcot virus,Charcot virus,,,,,1,1,1,1
Chatham orthoreovirus,Chatham orthoreovirus,GCA_031528425.1,23498.0,48.0,,0,0,0,1
Chestnut teal aalivirus,Chestnut teal aalivirus,,,,,1,1,1,1
Chestnut teal astrovirus,Chestnut teal astrovirus,,,,,1,1,1,1
Chestnut teal chaphamaparvovirus,Chestnut teal chaphamaparvovirus,,,,,1,1,1,1
Chestnut teal chaphamaparvovirus 1,Chestnut teal chaphamaparvovirus 1,GCF_029885285.1,4382.0,40.5,4.0,0,0,0,0
Chestnut teal chaphamaparvovirus 2,Chestnut teal chaphamaparvovirus 2,GCF_029885295.1,4302.0,39.5,4.0,0,0,0,0
Chestnut teal chaphamaparvovirus 3,Chestnut teal chaphamaparvovirus 3,GCF_029885305.1,4387.0,39.0,4.0,0,0,0,0
Chestnut teal megrivirus,Chestnut teal megrivirus,,,,,1,1,1,1
Chestnut teal sicinivirus-like virus,Chestnut teal sicinivirus-like virus,,,,,1,1,1,1
Chicken associated smacovirus,Chicken associated smacovirus,GCF_003963755.1,2343.0,40.0,2.0,0,0,0,0
Chicken astrovirus,Chicken astrovirus,GCF_000852205.1,6927.0,46.5,2.0,0,0,0,0
Chicken astrovirus 2,Chicken astrovirus 2,,,,,1,1,1,1
Chicken chapparvovirus 1,Chicken chapparvovirus 1,,,,,1,1,1,1
Chicken circovirus 2,Chicken circovirus 2,GCA_031201085.1,2001.0,34.5,2.0,0,0,0,0
Chicken circovirus 3,Chicken circovirus 3,,,,,1,1,1,1
Chicken circovirus 4,Chicken circovirus 4,GCA_031198535.1,2031.0,31.0,2.0,0,0,0,0
Chicken circovirus 5,Chicken circovirus 5,GCA_031198515.1,1936.0,43.5,2.0,0,0,0,0
Chicken circovirus SDWF,Chicken circovirus SDWF,GCA_031185315.1,1911.0,37.0,2.0,0,0,0,0
Chicken cyclovirus mg4_1122,Chicken cyclovirus mg4_1122,GCA_031200465.1,1847.0,42.5,,0,0,0,1
Chicken cyclovirus mg5_2967,Chicken cyclovirus mg5_2967,GCA_031200475.1,1902.0,49.5,,0,0,0,1
Chicken cyclovirus mg7_102,Chicken cyclovirus mg7_102,GCA_031200485.1,1910.0,49.5,,0,0,0,1
Chicken enteric coronavirus,Chicken enteric coronavirus,,,,,1,1,1,1
Chicken gallivirus 1,Chicken gallivirus 1,,,,,1,1,1,1
Chicken genomovirus,Chicken genomovirus,,,,,1,1,1,1
Chicken genomovirus mg2_274u,Chicken genomovirus mg2_274u,GCA_031200365.1,2206.0,50.0,,0,0,0,1
Chicken genomovirus mg2_75,Chicken genomovirus mg2_75,GCA_031200375.1,2144.0,49.0,,0,0,0,1
Chicken genomovirus mg2_77,Chicken genomovirus mg2_77,GCA_031200385.1,2127.0,50.5,,0,0,0,1
Chicken genomovirus mg4_1107,Chicken genomovirus mg4_1107,GCA_031200395.1,2270.0,51.0,,0,0,0,1
Chicken genomovirus mg4_1196,Chicken genomovirus mg4_1196,GCA_031200405.1,2191.0,49.5,,0,0,0,1
Chicken genomovirus mg4_1210,Chicken genomovirus mg4_1210,GCA_031200415.1,2180.0,50.5,,0,0,0,1
Chicken genomovirus mg4_1259,Chicken genomovirus mg4_1259,GCA_031200425.1,2145.0,50.0,,0,0,0,1
Chicken genomovirus mg7_70,Chicken genomovirus mg7_70,GCA_031200435.1,2236.0,54.0,,0,0,0,1
Chicken genomovirus mg7_74,Chicken genomovirus mg7_74,GCA_031200445.1,2182.0,50.5,,0,0,0,1
Chicken genomovirus mg8_416,Chicken genomovirus mg8_416,GCA_031200455.1,2161.0,49.0,,0,0,0,1
Chicken parvovirus 109/HRV/2009,Chicken parvovirus 109/HRV/2009,,,,,1,1,1,1
Chicken parvovirus 347/HUN/2008,Chicken parvovirus 347/HUN/2008,,,,,1,1,1,1
Chicken parvovirus 348/HUN/2008,Chicken parvovirus 348/HUN/2008,,,,,1,1,1,1
Chicken parvovirus 399/HRV/2010,Chicken parvovirus 399/HRV/2010,,,,,1,1,1,1
Chicken parvovirus 404/HRV/2010,Chicken parvovirus 404/HRV/2010,,,,,1,1,1,1
Chicken parvovirus 458/HRV/2010,Chicken parvovirus 458/HRV/2010,,,,,1,1,1,1
Chicken parvovirus 478/HRV/2010,Chicken parvovirus 478/HRV/2010,,,,,1,1,1,1
Chicken parvovirus 528/HUN/2009,Chicken parvovirus 528/HUN/2009,,,,,1,1,1,1
Chicken parvovirus 5B8/2009,Chicken parvovirus 5B8/2009,,,,,1,1,1,1
Chicken parvovirus 92/HRV/2009,Chicken parvovirus 92/HRV/2009,,,,,1,1,1,1
Chicken parvovirus A1/HUN/2009,Chicken parvovirus A1/HUN/2009,,,,,1,1,1,1
Chicken parvovirus ABU/HUN/2009,Chicken parvovirus ABU/HUN/2009,,,,,1,1,1,1
Chicken parvovirus B1/HUN/2009,Chicken parvovirus B1/HUN/2009,,,,,1,1,1,1
Chicken parvovirus Ch1514/2007/HUN,Chicken parvovirus Ch1514/2007/HUN,,,,,1,1,1,1
Chicken parvovirus Ch1515/2007/HUN,Chicken parvovirus Ch1515/2007/HUN,,,,,1,1,1,1
Chicken parvovirus Ch189/2009/HUN,Chicken parvovirus Ch189/2009/HUN,,,,,1,1,1,1
Chicken parvovirus Ch538/2009/HUN,Chicken parvovirus Ch538/2009/HUN,,,,,1,1,1,1
Chicken parvovirus Ch5596_10/2010/HUN,Chicken parvovirus Ch5596_10/2010/HUN,,,,,1,1,1,1
Chicken parvovirus Ch5596_13/2010/HUN,Chicken parvovirus Ch5596_13/2010/HUN,,,,,1,1,1,1
Chicken parvovirus Ch5596_18/2010/HUN,Chicken parvovirus Ch5596_18/2010/HUN,,,,,1,1,1,1
Chicken parvovirus Ch5596_7/2010/HUN,Chicken parvovirus Ch5596_7/2010/HUN,,,,,1,1,1,1
Chicken parvovirus Ch841_3/2009/HUN,Chicken parvovirus Ch841_3/2009/HUN,,,,,1,1,1,1
Chicken parvovirus Ch852/2009/HUN,Chicken parvovirus Ch852/2009/HUN,,,,,1,1,1,1
Chicken parvovirus Ch_114_10,Chicken parvovirus Ch_114_10,,,,,1,1,1,1
Chicken parvovirus Cro/Glog/2010,Chicken parvovirus Cro/Glog/2010,,,,,1,1,1,1
Chicken picobirnavirus,Chicken picobirnavirus,GCF_004117635.1,4232.0,45.0,4.0,0,0,0,0
Chicken picornavirus,Chicken picornavirus,,,,,1,1,1,1
Chicken picornavirus 1,Chicken picornavirus 1,GCF_000923455.1,8287.0,55.5,1.0,0,0,0,0
Chicken picornavirus 4,Chicken picornavirus 4,GCF_000922415.1,9564.0,44.5,1.0,0,0,0,0
Chicken picornavirus HK-2014,Chicken picornavirus HK-2014,,,,,1,1,1,1
Chicken picornavirus UCC13,Chicken picornavirus UCC13,,,,,1,1,1,1
Chicken proventricular necrosis virus,Chicken proventricular necrosis virus,,,,,1,1,1,1
Chicken proventriculitis virus,Chicken proventriculitis virus,,,,,1,1,1,1
Chicken proventriculitis-associated circular virus 1,Chicken proventriculitis-associated circular virus 1,GCA_031268925.1,1858.0,46.0,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 10,Chicken proventriculitis-associated circular virus 10,GCA_031269125.1,3843.0,30.5,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 11,Chicken proventriculitis-associated circular virus 11,GCA_031269185.1,4890.0,35.0,3.0,0,0,0,0
Chicken proventriculitis-associated circular virus 12,Chicken proventriculitis-associated circular virus 12,,,,,1,1,1,1
Chicken proventriculitis-associated circular virus 14,Chicken proventriculitis-associated circular virus 14,GCA_031269325.1,1654.0,47.0,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 15,Chicken proventriculitis-associated circular virus 15,GCA_031269375.1,1787.0,44.0,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 16,Chicken proventriculitis-associated circular virus 16,GCA_031269445.1,1697.0,47.5,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 17,Chicken proventriculitis-associated circular virus 17,GCA_031269455.1,1181.0,41.5,3.0,0,0,0,0
Chicken proventriculitis-associated circular virus 18,Chicken proventriculitis-associated circular virus 18,GCA_031269495.1,1031.0,40.5,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 19,Chicken proventriculitis-associated circular virus 19,GCA_031269555.1,3167.0,41.5,3.0,0,0,0,0
Chicken proventriculitis-associated circular virus 2,Chicken proventriculitis-associated circular virus 2,GCA_031268945.1,1623.0,46.5,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 20,Chicken proventriculitis-associated circular virus 20,GCA_031269585.1,1411.0,44.5,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 21,Chicken proventriculitis-associated circular virus 21,GCA_031269625.1,1813.0,43.0,3.0,0,0,0,0
Chicken proventriculitis-associated circular virus 22,Chicken proventriculitis-associated circular virus 22,GCA_031269695.1,1852.0,40.0,2.0,0,0,0,0
Chicken proventriculitis-associated circular virus 23,Chicken proventriculitis-associated circular virus 23,GCA_031269715.1,1866.0,43.0,2.0,0,0,0,0
