pathogen,pathogenID,eid2UpdatedVirusID,host,hostID,order,fromSequence,fromPublication,strongest evidence type,strongest evidence,included
elephant gammaherpesvirus 2,4117051,4117051,loxodonta africana,3433889,proboscidea,1,0,sequence (EID2),isolation,1
elephant gammaherpesvirus 2,4117051,4117051,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elephant gammaherpesvirus 4,27467794,27467794,loxodonta africana,3433889,proboscidea,1,0,sequence (EID2),isolation,1
elephant gammaherpesvirus 4,27467794,27467794,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elephant gammaherpesvirus 5,4117054,4117054,elephas maximus,3433885,proboscidea,1,0,sequence (EID2),isolation,1
elephant gammaherpesvirus 5,4117054,4117054,loxodonta africana,3433889,proboscidea,1,0,sequence (EID2),isolation,1
elephant gammaherpesvirus 5,4117054,4117054,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elephantid betaherpesvirus 1,3621114,3621114,elephas maximus,3433885,proboscidea,1,6,sequence (EID2),isolation,1
elephantid betaherpesvirus 1,3621114,3621114,loxodonta africana,3433889,proboscidea,0,1,isolation,isolation,1
elephantid betaherpesvirus 1,3621114,3621114,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 3,3806500,3806500,elephas maximus,3433885,proboscidea,1,1,sequence (EID2),isolation,1
elephantid herpesvirus 3,3806500,3806500,loxodonta africana,3433889,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 3,3806500,3806500,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 4,3806501,3806501,elephas maximus,3433885,proboscidea,1,1,sequence (EID2),isolation,1
elephantid herpesvirus 4,3806501,3806501,loxodonta africana,3433889,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 4,3806501,3806501,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 5,3858247,3858247,elephas maximus,3433885,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 5,3858247,3858247,loxodonta africana,3433889,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 5,3858247,3858247,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 6,3884241,3884241,elephas maximus,3433885,proboscidea,0,1,isolation,isolation,1
elephantid herpesvirus 6,3884241,3884241,loxodonta africana,3433889,proboscidea,1,1,sequence (EID2),isolation,1
elephantid herpesvirus 6,3884241,3884241,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
elk gammaherpesvirus 1,27708919,27708919,cervus canadensis,26552477,ruminantia,1,0,sequence (EID2),isolation,1
elk gammaherpesvirus 2,27708921,27708921,cervus canadensis,26552477,ruminantia,1,0,sequence (EID2),isolation,1
elk gammaherpesvirus 3,27483737,27483737,cervus canadensis,26552477,ruminantia,1,0,sequence (EID2),isolation,1
elk herpesvirus,3816590,3816590,cervus canadensis,26552477,ruminantia,0,1,isolation,isolation,1
encephalomyocarditis virus type 2,27238814,27238814,apodemus sylvaticus,3434424,rodentia,1,0,sequence (EID2),isolation,1
entebbe bat virus,3502555,3502555,chaerephon pumilus,3708738,chiroptera,1,1,sequence (EID2),isolation,1
entebbe bat virus,3502555,3502555,pipistrellus pipistrellus,3494221,chiroptera,0,1,Isolation,isolation,1
enterovirus a,3614624,3614624,chlorocebus pygerythrus,3496402,primates,0,1,isolation,isolation,1
enterovirus a,3614624,3614624,gorilla gorilla,3433550,primates,1,0,sequence (EID2),isolation,1
enterovirus a,3614624,3614624,homo sapiens,3433574,primates,1,183,sequence (EID2),isolation,1
enterovirus a,3614624,3614624,macaca mulatta,3433483,primates,1,1,sequence (EID2),isolation,1
enterovirus a,3614624,3614624,mandrillus sphinx,3433506,primates,1,0,sequence (EID2),isolation,1
enterovirus a,3614624,3614624,mus musculus,3434366,rodentia,1,0,sequence (EID2),isolation,1
enterovirus a,3614624,3614624,pan troglodytes,3433558,primates,1,0,sequence (EID2),isolation,1
enterovirus a,3614624,3614624,papio anubis,3433500,primates,0,1,isolation,isolation,1
enterovirus a,3614624,3614624,papio hamadryas,3433504,primates,0,1,isolation,isolation,1
enterovirus b,3614625,3614625,gorilla gorilla,3433550,primates,1,0,sequence (EID2),isolation,1
enterovirus b,3614625,3614625,homo sapiens,3433574,primates,1,1084,sequence (EID2),isolation,1
enterovirus b,3614625,3614625,macaca mulatta,3433483,primates,1,0,sequence (EID2),isolation,1
enterovirus b,3614625,3614625,mandrillus sphinx,3433506,primates,1,0,sequence (EID2),isolation,1
enterovirus b,3614625,3614625,pan troglodytes,3433558,primates,1,0,sequence (EID2),isolation,1
enterovirus b,3614625,3614625,papio cynocephalus,3433502,primates,0,1,Isolation,isolation,1
enterovirus b,3614625,3614625,sus scrofa,3433956,suina,1,272,sequence (EID2),isolation,1
enterovirus c,3614626,3614626,gorilla gorilla,3433550,primates,1,0,sequence (EID2),isolation,1
enterovirus c,3614626,3614626,homo sapiens,3433574,primates,1,588,sequence (EID2),isolation,1
enterovirus c,3614626,3614626,macaca mulatta,3433483,primates,0,1,antibodies,serelogy,1
enterovirus c,3614626,3614626,mandrillus sphinx,3433506,primates,1,0,sequence (EID2),isolation,1
enterovirus c,3614626,3614626,pan troglodytes,3433558,primates,1,0,sequence (EID2),isolation,1
enterovirus d,3614627,3614627,homo sapiens,3433574,primates,1,29,sequence (EID2),isolation,1
enterovirus e,3437105,3437105,bos taurus,3434101,ruminantia,1,4,sequence (EID2),isolation,1
enterovirus f,26552619,26552619,bos taurus,3434101,ruminantia,1,0,sequence (EID2),isolation,1
enterovirus f,26552619,26552619,lama pacos,3445626,tylopoda,1,0,sequence (EID2),isolation,1
enterovirus g,3576915,3576915,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
enterovirus g,3576915,3576915,ovis aries,3434136,ruminantia,0,1,isolation,isolation,1
enterovirus g,3576915,3576915,sus scrofa,3433956,suina,1,5,sequence (EID2),isolation,1
enterovirus h,3767612,3767612,mandrillus sphinx,3433506,primates,1,0,sequence (EID2),isolation,1
enterovirus i,27643580,29395284,camelus dromedarius,3433981,tylopoda,1,0,sequence (EID2),isolation,1
enterovirus j,26323910,26323910,mandrillus sphinx,3433506,primates,1,0,sequence (EID2),isolation,1
enterovirus j,26323910,26323910,pan troglodytes,3433558,primates,1,0,sequence (EID2),isolation,1
enterovirus l,27707351,29395294,macaca mulatta,3433483,primates,1,0,sequence (EID2),isolation,1
epizootic hemorrhagic disease virus,3460152,3460152,alces alces,3434005,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,alces americanus,4250465,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,antilocapra americana,3434070,ruminantia,0,1,PCR,PCR,1
epizootic hemorrhagic disease virus,3460152,3460152,axis axis,3445617,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,bison bison,3434090,ruminantia,0,1,antibodies; CI-ELISA,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,bos grunniens,3445607,ruminantia,0,1,Isolation,Isolation,1
epizootic hemorrhagic disease virus,3460152,3460152,bos taurus,3434101,ruminantia,1,93,sequence (EID2),isolation,1
epizootic hemorrhagic disease virus,3460152,3460152,camelus dromedarius,3433981,tylopoda,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,ceratotherium simum,3433928,perissodactyla,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,cervus elaphus,3434017,ruminantia,0,1,PCR,PCR,1
epizootic hemorrhagic disease virus,3460152,3460152,cervus nippon,3434021,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,dama dama,3445619,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,diceros bicornis,3433924,perissodactyla,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,gazella subgutturosa,3494327,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,mazama gouazoupira,3481635,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,mazama nana,3846397,ruminantia,1,0,sequence (EID2),isolation,1
epizootic hemorrhagic disease virus,3460152,3460152,odocoileus hemionus,3434034,ruminantia,1,16,sequence (EID2),isolation,1
epizootic hemorrhagic disease virus,3460152,3460152,odocoileus virginianus,3434038,ruminantia,1,61,sequence (EID2),isolation,1
epizootic hemorrhagic disease virus,3460152,3460152,oryx leucoryx,3459038,ruminantia,0,1,antibodies,serelogy,1
epizootic hemorrhagic disease virus,3460152,3460152,ovis canadensis,3455249,ruminantia,0,1,Isolation,isolation,1
epizootic hemorrhagic disease virus,3460152,3460152,ovis dalli,3434138,ruminantia,0,1,antibodies,serelogy,1
epsilonarterivirus hemcep,2501964,29383431,macaca mulatta,3433483,primates,1,0,sequence (EID2),isolation,1
epsilonpapillomavirus 1,3460994,3460994,bison bonasus,3434092,ruminantia,1,1,sequence (EID2),isolation,1
epsilonpapillomavirus 1,3460994,3460994,bos taurus,3434101,ruminantia,1,9,sequence (EID2),isolation,1
epsilonpapillomavirus 1,3460994,3460994,bubalus bubalis,3546118,ruminantia,1,0,sequence (EID2),isolation,1
eptesicus serotinus betaherpesvirus 1,27741051,27741051,eptesicus serotinus,3494185,chiroptera,1,0,sequence (EID2),isolation,1
eptesicus serotinus papillomavirus,27861134,27861134,eptesicus serotinus,3494185,chiroptera,1,0,sequence (EID2),isolation,1
eptesipox virus,27272630,27272630,eptesicus fuscus,3443321,chiroptera,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,antilope cervicapra,3494319,ruminantia,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,bos taurus,3434101,ruminantia,0,1,isolation,isolation,1
equid alphaherpesvirus 1,3434767,3434767,cavia porcellus,3434442,rodentia,1,4,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,ceratotherium simum,3433928,perissodactyla,0,1,antibodies,serelogy,1
equid alphaherpesvirus 1,3434767,3434767,diceros bicornis,3433924,perissodactyla,0,1,antibodies,serelogy,1
equid alphaherpesvirus 1,3434767,3434767,equus asinus,3433905,perissodactyla,1,10,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,equus asinus x caballus,24320964,perissodactyla,1,3,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,equus burchellii,3433899,perissodactyla,1,1,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,equus caballus,3433909,perissodactyla,1,323,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,equus grevyi,3433903,perissodactyla,1,4,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,equus hemionus,3433907,perissodactyla,1,6,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,equus zebra,3433901,perissodactyla,0,1,Isolation,Isolation,1
equid alphaherpesvirus 1,3434767,3434767,eudorcas thomsonii,3510405,ruminantia,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,loxodonta africana,3433889,proboscidea,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,loxodonta cyclotis,3564065,proboscidea,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,rhinoceros unicornis,3433932,perissodactyla,1,1,sequence (EID2),isolation,1
equid alphaherpesvirus 1,3434767,3434767,ursus maritimus,3443313,carnivora,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 3,3530040,3530040,equus caballus,3433909,perissodactyla,1,10,sequence (EID2),isolation,1
equid alphaherpesvirus 3,3530040,3530040,equus zebra,3433901,perissodactyla,0,1,Isolation,Isolation,1
equid alphaherpesvirus 4,3434777,3434777,equus asinus,3433905,perissodactyla,0,1,PCR,PCR,1
equid alphaherpesvirus 4,3434777,3434777,equus asinus x caballus,24320964,perissodactyla,0,1,PCR,PCR,1
equid alphaherpesvirus 4,3434777,3434777,equus caballus,3433909,perissodactyla,1,53,sequence (EID2),isolation,1
equid alphaherpesvirus 4,3434777,3434777,equus zebra,3433901,perissodactyla,0,1,antibodies,serelogy,1
equid alphaherpesvirus 8,3459451,3459451,equus asinus,3433905,perissodactyla,1,4,sequence (EID2),isolation,1
equid alphaherpesvirus 8,3459451,3459451,equus caballus,3433909,perissodactyla,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 9,3487622,3487622,equus asinus,3433905,perissodactyla,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 9,3487622,3487622,equus burchellii,3433899,perissodactyla,1,1,sequence (EID2),isolation,1
equid alphaherpesvirus 9,3487622,3487622,equus grevyi,3433903,perissodactyla,1,2,sequence (EID2),isolation,1
equid alphaherpesvirus 9,3487622,3487622,equus hemionus,3433907,perissodactyla,1,2,sequence (EID2),isolation,1
equid alphaherpesvirus 9,3487622,3487622,eudorcas thomsonii,3510405,ruminantia,0,1,Isolation,isolation,1
equid alphaherpesvirus 9,3487622,3487622,giraffa camelopardalis,3434076,ruminantia,1,0,sequence (EID2),isolation,1
equid alphaherpesvirus 9,3487622,3487622,oryx leucoryx,3459038,ruminantia,0,1,antibodies,serelogy,1
equid alphaherpesvirus 9,3487622,3487622,ursus maritimus,3443313,carnivora,1,0,sequence (EID2),isolation,1
equid gammaherpesvirus 2,3437792,3437792,equus asinus,3433905,perissodactyla,1,3,sequence (EID2),isolation,1
equid gammaherpesvirus 2,3437792,3437792,equus caballus,3433909,perissodactyla,1,33,sequence (EID2),isolation,1
equid gammaherpesvirus 5,3434825,3434825,equus asinus,3433905,perissodactyla,1,1,sequence (EID2),isolation,1
equid gammaherpesvirus 5,3434825,3434825,equus caballus,3433909,perissodactyla,1,10,sequence (EID2),isolation,1
equid gammaherpesvirus 7,3750257,3750257,equus asinus,3433905,perissodactyla,1,4,sequence (EID2),isolation,1
equid gammaherpesvirus 7,3750257,3750257,equus asinus x caballus,24320964,perissodactyla,0,1,antibodies,serelogy,1
equine encephalosis virus,3671890,3671890,equus asinus,3433905,perissodactyla,0,1,PCR,PCR,1
equine encephalosis virus,3671890,3671890,equus caballus,3433909,perissodactyla,1,8,sequence (EID2),isolation,1
equine hepacivirus,25871219,25871219,equus asinus,3433905,perissodactyla,1,2,sequence (EID2),isolation,1
equine hepacivirus,25871219,25871219,equus asinus x caballus,24320964,perissodactyla,0,1,PCR,PCR,1
equine hepacivirus,25871219,25871219,equus caballus,3433909,perissodactyla,1,3,sequence (EID2),isolation,1
equine infectious anemia virus,3436542,3436542,equus asinus,3433905,perissodactyla,1,28,sequence (EID2),isolation,1
equine infectious anemia virus,3436542,3436542,equus asinus x caballus,24320964,perissodactyla,0,1,PCR,PCR,1
equine infectious anemia virus,3436542,3436542,equus caballus,3433909,perissodactyla,1,229,sequence (EID2),isolation,1
equine mastadenovirus a,3606500,3606500,equus caballus,3433909,perissodactyla,1,3,sequence (EID2),isolation,1
equine mastadenovirus b,3606501,3606501,equus caballus,3433909,perissodactyla,1,0,sequence (EID2),isolation,1
equine papillomavirus,27345570,27345570,equus caballus,3433909,perissodactyla,1,0,sequence (EID2),isolation,1
equine parapoxvirus,26748019,26748019,equus caballus,3433909,perissodactyla,1,0,sequence (EID2),isolation,1
equine rhinitis a virus,3472300,3472300,camelus dromedarius,3433981,tylopoda,1,0,sequence (EID2),isolation,1
equine rhinitis a virus,3472300,3472300,equus caballus,3433909,perissodactyla,1,15,sequence (EID2),isolation,1
equine rotavirus,3435648,3435648,equus caballus,3433909,perissodactyla,1,7,sequence (EID2),isolation,1
erbovirus a,3768800,3768800,equus caballus,3433909,perissodactyla,1,0,sequence (EID2),isolation,1
erythrocebus patas adenovirus,1916695,28987696,erythrocebus patas,3433471,primates,1,0,sequence (EID2),isolation,1
etaarterivirus ugarco 1,2501969,29378403,piliocolobus tephrosceles,4010783,primates,1,0,sequence (EID2),isolation,1
european bat 1 lyssavirus,3490733,3490733,eptesicus serotinus,3494185,chiroptera,1,18,sequence (EID2),isolation,1
european bat 1 lyssavirus,3490733,3490733,felis catus,3433706,carnivora,1,1,sequence (EID2),isolation,1
european bat 1 lyssavirus,3490733,3490733,homo sapiens,3433574,primates,0,1,PCR,PCR,1
european bat 1 lyssavirus,3490733,3490733,hypsugo savii,3581341,chiroptera,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,martes foina,3433660,carnivora,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,miniopterus schreibersii,3433300,chiroptera,0,1,PCR,PCR,1
european bat 1 lyssavirus,3490733,3490733,mustela putorius,3433676,carnivora,0,1,Isolation,Isolation,1
european bat 1 lyssavirus,3490733,3490733,myotis capaccinii,3581325,chiroptera,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,myotis daubentonii,3563007,chiroptera,0,1,Isolation,isolation,1
european bat 1 lyssavirus,3490733,3490733,myotis myotis,3479704,chiroptera,0,1,PCR,PCR,1
european bat 1 lyssavirus,3490733,3490733,myotis nattereri,3581333,chiroptera,0,1,PCR,PCR,1
european bat 1 lyssavirus,3490733,3490733,nyctalus noctula,3479708,chiroptera,0,1,Isolation,isolation,1
european bat 1 lyssavirus,3490733,3490733,nyctereutes procyonoides,3451573,carnivora,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,ovis aries,3434136,ruminantia,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,pipistrellus nathusii,3494219,chiroptera,1,1,sequence (EID2),isolation,1
european bat 1 lyssavirus,3490733,3490733,pipistrellus pipistrellus,3494221,chiroptera,1,2,sequence (EID2),isolation,1
european bat 1 lyssavirus,3490733,3490733,plecotus auritus,3498351,chiroptera,1,1,sequence (EID2),isolation,1
european bat 1 lyssavirus,3490733,3490733,plecotus austriacus,3581337,chiroptera,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,procyon lotor,3433651,carnivora,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,rhinolophus ferrumequinum,3494231,chiroptera,0,1,PCR,PCR,1
european bat 1 lyssavirus,3490733,3490733,tadarida teniotis,3494239,chiroptera,0,1,antibodies,serelogy,1
european bat 1 lyssavirus,3490733,3490733,vespertilio murinus,3494243,chiroptera,1,0,sequence (EID2),isolation,1
european bat 2 lyssavirus,3490735,3490735,homo sapiens,3433574,primates,1,6,sequence (EID2),isolation,1
european bat 2 lyssavirus,3490735,3490735,mustela putorius,3433676,carnivora,0,1,Isolation,Isolation,1
european bat 2 lyssavirus,3490735,3490735,myotis dasycneme,3632930,chiroptera,1,1,sequence (EID2),isolation,1
european bat 2 lyssavirus,3490735,3490735,myotis daubentonii,3563007,chiroptera,1,17,sequence (EID2),isolation,1
european bat 2 lyssavirus,3490735,3490735,myotis nattereri,3581333,chiroptera,0,1,Isolation,isolation,1
european bat 2 lyssavirus,3490735,3490735,nyctereutes procyonoides,3451573,carnivora,0,1,antibodies,serelogy,1
european bat 2 lyssavirus,3490735,3490735,ovis aries,3434136,ruminantia,0,1,antibodies,serelogy,1
european bat 2 lyssavirus,3490735,3490735,procyon lotor,3433651,carnivora,0,1,antibodies,serelogy,1
european bat lyssavirus,3457974,3457974,eptesicus serotinus,3494185,chiroptera,1,20,sequence (EID2),isolation,1
european bat lyssavirus,3457974,3457974,myotis daubentonii,3563007,chiroptera,0,1,Isolation,Isolation,1
european bat lyssavirus,3457974,3457974,myotis myotis,3479704,chiroptera,0,1,Isolation,Isolation,1
european brown hare syndrome virus,3449703,3449703,lepus capensis,3434195,lagomorpha,0,1,Isolation,Isolation,1
european brown hare syndrome virus,3449703,3449703,lepus europaeus,3434197,lagomorpha,1,9,sequence (EID2),isolation,1
european brown hare syndrome virus,3449703,3449703,lepus timidus,3499720,lagomorpha,1,3,sequence (EID2),isolation,1
european brown hare syndrome virus,3449703,3449703,oryctolagus cuniculus,3434201,lagomorpha,0,1,antibodies,serelogy,1
european brown hare syndrome virus,3449703,3449703,sylvilagus floridanus,3434205,lagomorpha,1,1,sequence (EID2),isolation,1
eyach virus,3499249,29395318,apodemus sylvaticus,3434424,rodentia,0,1,Isolation,isolation,1
fallow deer lymphotropic herpesvirus,3788216,3788216,dama dama,3445619,ruminantia,1,0,sequence (EID2),isolation,1
false killer whale alphaherpesvirus,4040840,4040840,pseudorca crassidens,3533060,cetacea,1,0,sequence (EID2),isolation,0
felid alphaherpesvirus 1,3434781,3434781,acinonyx jubatus,3448402,carnivora,0,1,PCR,PCR,1
felid alphaherpesvirus 1,3434781,3434781,caracal caracal,3497574,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,crocuta crocuta,3433694,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,felis catus,3433706,carnivora,1,39,sequence (EID2),isolation,1
felid alphaherpesvirus 1,3434781,3434781,felis nigripes,3497555,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,felis silvestris,3433704,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,leopardus geoffroyi,3472029,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,leopardus pardalis,3448404,carnivora,1,2,sequence (EID2),isolation,1
felid alphaherpesvirus 1,3434781,3434781,leopardus tigrinus,3472027,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,leopardus wiedii,3497557,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,lontra canadensis,3523533,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,lynx canadensis,3497559,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,lynx lynx,3438160,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,otocolobus manul,3497602,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,panthera leo,3433712,carnivora,0,1,isolation,isolation,1
felid alphaherpesvirus 1,3434781,3434781,panthera tigris,3433721,carnivora,1,2,sequence (EID2),isolation,1
felid alphaherpesvirus 1,3434781,3434781,prionailurus bengalensis,3455012,carnivora,0,1,antibodies,serelogy,1
felid alphaherpesvirus 1,3434781,3434781,puma concolor,3433725,carnivora,0,1,isolation,isolation,1
felid alphaherpesvirus 1,3434781,3434781,puma yagouaroundi,25996844,carnivora,0,1,antibodies,serelogy,1
felid gammaherpesvirus 1,27078623,29395324,felis catus,3433706,carnivora,1,0,sequence (EID2),isolation,1
felid gammaherpesvirus 1,27078623,29395324,prionailurus bengalensis,3455012,carnivora,1,0,sequence (EID2),isolation,1
feline anellovirus,1861840,28988994,felis catus,3433706,carnivora,1,0,sequence (EID2),isolation,1
feline associated cyclovirus 1,26747895,29395320,felis catus,3433706,carnivora,1,0,sequence (EID2),isolation,1
feline astrovirus 2,26328080,26328080,felis catus,3433706,carnivora,1,1,sequence (EID2),isolation,1
feline avastrovirus,26748071,26748071,felis catus,3433706,carnivora,1,0,sequence (EID2),isolation,1
feline calicivirus,3436990,3436990,acinonyx jubatus,3448402,carnivora,1,4,sequence (EID2),isolation,1
feline calicivirus,3436990,3436990,canis lupus familiaris,3433584,carnivora,1,6,sequence (EID2),isolation,1
feline calicivirus,3436990,3436990,caracal caracal,3497574,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,crocuta crocuta,3433694,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,felis catus,3433706,carnivora,1,134,sequence (EID2),isolation,1
feline calicivirus,3436990,3436990,felis silvestris,3433704,carnivora,0,1,PCR,PCR,1
feline calicivirus,3436990,3436990,leopardus geoffroyi,3472029,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,leopardus pardalis,3448404,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,leopardus tigrinus,3472027,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,leopardus wiedii,3497557,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,lontra canadensis,3523533,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,lynx canadensis,3497559,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,lynx rufus,3497561,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,mustela erminea,3454458,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,panthera leo,3433712,carnivora,0,1,PCR,PCR,1
feline calicivirus,3436990,3436990,panthera pardus,3433716,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,panthera tigris,3433721,carnivora,1,8,sequence (EID2),isolation,1
feline calicivirus,3436990,3436990,prionailurus bengalensis,3455012,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,prionailurus iriomotensis,3455014,carnivora,0,1,antibodies,serelogy,1
feline calicivirus,3436990,3436990,puma concolor,3433725,carnivora,0,1,isolation,isolation,1
feline calicivirus,3436990,3436990,puma yagouaroundi,25996844,carnivora,0,1,isolation,isolation,1
feline foamy virus,3483030,3483030,felis catus,3433706,carnivora,1,8,sequence (EID2),isolation,1
feline foamy virus,3483030,3483030,felis silvestris,3433704,carnivora,0,1,Isolation,isolation,1
feline foamy virus,3483030,3483030,prionailurus bengalensis,3455012,carnivora,0,1,antibodies,serelogy,1
feline foamy virus,3483030,3483030,prionailurus iriomotensis,3455014,carnivora,0,1,antibodies,serelogy,1
feline foamy virus,3483030,3483030,puma concolor,3433725,carnivora,1,0,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,acinonyx jubatus,3448402,carnivora,1,11,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,caracal caracal,3497574,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,crocuta crocuta,3433694,carnivora,1,3,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,felis catus,3433706,carnivora,1,660,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,felis silvestris,3433704,carnivora,0,1,PCR,PCR,1
feline immunodeficiency virus,3436558,3436558,leopardus geoffroyi,3472029,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,leopardus guigna,3497563,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,leopardus pardalis,3448404,carnivora,1,7,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,leopardus tigrinus,3472027,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,leopardus wiedii,3497557,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,lynx canadensis,3497559,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,lynx lynx,3438160,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,lynx rufus,3497561,carnivora,1,9,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,otocolobus manul,3497602,carnivora,1,5,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,panthera leo,3433712,carnivora,1,58,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,panthera onca,3433714,carnivora,0,1,antibodies,serelogy,1
feline immunodeficiency virus,3436558,3436558,panthera pardus,3433716,carnivora,1,9,sequence (EID2),isolation,1
feline immunodeficiency virus,3436558,3436558,panthera tigris,3433721,carnivora,1,5,sequence (EID2),isolation,1
