,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
440,Melegrivirus A,1330070,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9739.0,45.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
441,Enterovirus F,1330520,20.0,32.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7397.0,50.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
442,Avipoxvirus 31239,1333866,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
443,Avipoxvirus Gav01/Lima/2011,1337067,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
444,Parvovirus NIH-CQV,1341019,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780.0,46.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
445,shorebird astrovirus,1344564,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
446,shorebird coronavirus,1344565,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
447,Goose astrovirus,1349999,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7299.0,41.5,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
448,Picobirnavirus turkey/USA-1507/2010,1353791,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
449,Picobirnavirus turkey/USA-1512/2010,1353792,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
450,Avian nephritis virus,1354735,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6959.0,45.5,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
451,Fowl adenovirus,1354736,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44291.0,53.5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
452,Avipoxvirus FGPV_KD09.ZAF,1367515,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
453,Avipoxvirus PEPV_San92,1367516,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
454,Avipoxvirus PGPV10K_LD1,1367517,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
455,Avipoxvirus PGPV10K_RP1,1367518,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
456,Avipoxvirus PGPV10K_SP1,1367519,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
457,Avipoxvirus PGPV11K_FP1,1367520,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
458,Avipoxvirus PGPV11K_FP2,1367521,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
459,Avipoxvirus PGPV11K_LD2,1367522,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
460,Avipoxvirus PGPV11K_Pi5,1367523,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
461,Avipoxvirus PGPV93K_RP2,1367524,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
462,Avipoxvirus PGPVO_Pi1,1367525,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
463,Avipoxvirus PGPVO_Pi2,1367526,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
464,Avipoxvirus PGPVO_Pi4,1367527,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
465,Avian picobirnavirus GI,1382266,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
466,Gouldian finch adenovirus 1,1391178,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
467,Pigeon parvovirus A,1399967,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5492.0,52.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
468,Duck infectious anemia virus,1400257,17.0,36.0,39.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8447.0,52.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
469,Chinstrap penguin adenovirus 1,1434087,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
470,Chinstrap penguin adenovirus 3,1434089,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
471,Chinstrap penguin adenovirus 4,1434090,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
472,Chinstrap penguin adenovirus 5,1434091,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
473,Chinstrap penguin adenovirus 6,1434092,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
474,Chinstrap penguin adenovirus 7,1434093,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
475,Chinstrap penguin adenovirus 8,1434094,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
476,Eurasian oystercatcher coronavirus,1446361,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
477,Avipoxvirus OKr-2014,1465725,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
478,Mosavirus A,1481452,20.0,32.0,70.0,0.0,0.0,0.0,1.0,,1.0,0.0,8398.0,45.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
479,Baku virus,1484571,21.0,39.0,75.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
480,Goose calicivirus,1493858,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8013.0,54.5,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
481,Turkey picobirnavirus,1494923,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
482,Avipoxvirus XL,1496299,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
483,Avipoxvirus DX,1496300,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
484,Avipoxvirus TD,1496301,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
485,Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,1497566,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
486,Avisivirus A,1511772,20.0,32.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7373.0,45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
487,Avipoxvirus isolate Sevilla,1511774,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
488,Gallivirus A,1511776,20.0,32.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8432.0,45.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
489,Oscivirus A,1511781,20.0,32.0,85.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7641.0,47.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
490,Passerivirus A,1511803,20.0,32.0,89.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8035.0,58.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
491,Dependoparvovirus avian1,1511894,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,4642.0,57.5,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
492,Dependoparvovirus anseriform1,1511895,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,5132.0,46.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
493,Duck astrovirus CPH,1517684,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7463.0,43.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
494,Picornaviridae sp.,1530251,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7443.0,42.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
495,Chicken picornavirus 1,1534544,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8287.0,55.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
496,Chicken picornavirus 4,1534547,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9564.0,44.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
497,Chicken gallivirus 1,1534550,20.0,32.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
498,Duck aviadenovirus B,1534553,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43734.0,46.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
499,Akhtuba virus,1539747,3.0,29.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
500,Pigeon aviadenovirus A,1548417,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45480.0,64.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
501,Orthobornavirus alphapsittaciforme,1548713,14.0,6.0,78.0,1.0,0.0,0.0,1.0,,0.0,1.0,8902.0,42.5,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
502,Orthobornavirus serini,1548720,14.0,6.0,78.0,1.0,0.0,0.0,1.0,,0.0,1.0,8930.0,41.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
503,Orthobornavirus estrildidae,1548721,14.0,6.0,78.0,1.0,0.0,0.0,1.0,,0.0,1.0,5572.0,43.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
504,Orthobornavirus avisaquaticae,1548722,14.0,6.0,78.0,1.0,0.0,0.0,1.0,,0.0,1.0,8904.0,41.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
505,Chicken proventriculitis virus,1566005,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
506,Picobirnavirus HK-2014,1566334,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
507,Astrovirus HK-2014,1566335,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
508,Protoparvovirus HK-2014,1566336,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
509,Chicken picornavirus HK-2014,1566337,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
510,Avipoxvirus MZ-2014,1569592,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
511,Astrovirus Pygoscelis/DT/2012,1586002,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
512,Faeces associated gemycircularvirus 1,1593423,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
513,Avipoxvirus chicken/PT-30327/Portugal/2013,1608258,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
514,Chimeric virus 14,1608440,,,,,,,,,,,3141.0,40.0,2.0,,,,,,,,
515,Penguin herpesvirus 1,1615847,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
516,Avon-Heathcote Estuary associated circular virus 25,1618249,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2142.0,42.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
517,Apteryx rowi circovirus-like virus,1634476,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2085.0,46.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
518,Sulid herpesvirus 1,1638619,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
519,Phoenicopterid herpesvirus 1,1643444,11.0,23.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
520,Goose-dominant Coronavirus,1649335,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
521,Pigeon-dominant Coronavirus,1649336,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
522,Duck-dominant coronavirus,1649337,15.0,11.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
523,Aviadenovirus KLC-2015,1652541,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
524,Avipoxvirus large-billed crow/Asahikawa/Hokkaido/JPN/2008,1656227,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
525,Astrovirus Er/BMTK529/HUN/2011,1671381,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
526,Astrovirus Er/SZAL6/HUN/2011,1671382,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7025.0,52.5,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
527,Paslahepevirus balayani,1678143,10.0,17.0,88.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6660.0,51.5,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
528,Avihepevirus magniiecur,1678144,10.0,17.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
529,Cape sugarbird pox virus,1692171,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
530,Deltacoronavirus B07,1697925,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
531,Deltacoronavirus B04,1697926,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
532,Avian polyomavirus,1702318,24.0,34.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
533,Protoparvovirus Udayana_MDPVA,1711931,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
534,Protoparvovirus Udayana_MDPVB,1711932,19.0,28.0,96.0,0.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
535,Orthobornavirus bornaense,1714619,14.0,6.0,78.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
536,Bald eagle poxvirus,1740857,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
537,Astrovirus black-naped monarch/Cambodia/2010,1752874,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
538,Sicinivirus A,1755588,20.0,32.0,102.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9809.0,55.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
539,Kunsagivirus A,1755590,20.0,32.0,60.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7272.0,53.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
540,Avipoxvirus Betim 1,1756707,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
541,Gallivirus Pf-CHK1/GV,1766557,20.0,32.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8506.0,45.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
542,Avisivirus Pf-CHK1/AsV,1766559,20.0,32.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7270.0,45.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
543,Phacovirus BY/PhV,1766560,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
544,Phacovirus CAB/PhV,1766561,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
545,Phacovirus DM/PhV,1766562,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
546,Phacovirus GT/PhV,1766563,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
547,Phacovirus NG/PhV,1766564,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
548,Phacovirus TR/PhV,1766566,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
549,Phacovirus VG/PhV,1766567,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
550,Thalassarchid herpesvirus 1,1770233,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
551,Penguin herpesvirus 2,1770252,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
552,Parechovirus B,1803957,20.0,32.0,87.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
553,Chicken picornavirus,1819751,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
554,Turkey picornavirus,1819752,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
555,Chicken picornavirus UCC13,1839669,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
556,Duck faeces associated circular DNA virus 1,1843768,,,,,,,,,,,2750.0,43.0,2.0,,,,,,,,
557,Duck faeces associated circular DNA virus 2,1843769,,,,,,,,,,,1845.0,32.0,2.0,,,,,,,,
558,Duck faeces associated circular DNA virus 3,1843770,,,,,,,,,,,1856.0,28.0,2.0,,,,,,,,
559,unidentified Avipoxvirus,1856564,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
560,Duck papillomavirus,1867231,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
561,Poecivirus NOCR-674,1871149,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
562,Poecivirus NOCR-848,1871150,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
563,Poecivirus RBNH-12,1871151,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
564,Poecivirus RBNH-929,1871152,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
565,Spheniscus humboldti poxvirus,1884826,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
566,Orthobornavirus betapsittaciforme,1884878,14.0,6.0,78.0,1.0,0.0,0.0,1.0,,0.0,1.0,8973.0,43.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
567,Gammapolyomavirus anseris,1891746,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
568,Gammapolyomavirus avis,1891747,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
569,Gammapolyomavirus corvi,1891748,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,5079.0,45.5,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
570,Gammapolyomavirus cratorquatus,1891749,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,5084.0,45.5,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
571,Gammapolyomavirus padeliae,1891750,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,4988.0,52.5,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
572,Gammapolyomavirus pypyrrhula,1891751,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,5278.0,51.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
573,Gammapolyomavirus secanaria,1891752,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,5421.0,49.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
574,Pigeon adenovirus 2b,1891777,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
575,Pigeon adenovirus 3,1891778,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
576,Pigeon adenovirus 4,1891779,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
577,Pigeon adenovirus 5,1891780,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
578,Duck astrovirus 3,1897654,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
579,Picobirnavirus sp.,1907787,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4297.0,40.5,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
580,Deltacoronavirus sp.,1911231,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26159.0,40.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
581,Avian astrovirus,1914440,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6900.0,48.5,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
582,Caliciviridae sp.,1916234,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
583,Treisepsilonpapillomavirus 1,1921778,28.0,25.0,106.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7637.0,49.5,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
584,Treiszetapapillomavirus 1,1922208,28.0,25.0,107.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8132.0,48.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
585,Jingmen picorna-like virus,1923350,,,,,,,,,,,10069.0,43.5,1.0,,,,,,,,
