Pathogen Species,GA
Cygnus columbianus CRESS-DNA-virus sp.,nan
Cygnus columbianus Chaphamaparvovirus,nan
Cygnus columbianus parvo-like hybrid virus,nan
Cygnus columbianus parvoviridae sp.,nan
Cyvirus cyprinidallo3,0
Dalvirus anatis,0
Davis virus,0
Deltacoronavirus B04,0
Deltacoronavirus B07,0
Deltacoronavirus HNU1-1,nan
Deltacoronavirus HNU1-2,nan
Deltacoronavirus HNU2,nan
Deltacoronavirus HNU3,nan
Deltacoronavirus sp.,nan
Dendrocopos leucotos CRESS-DNA-virus sp.,nan
Dendrocopos leucotos Chaphamaparvovirus,nan
Dendrocopos leucotos parvoviridae sp.,nan
Dependoparvovirus anseriform1,GCF_000845505.1
Dependoparvovirus avian1,GCF_029884995.1
Dependoparvovirus avian2,0
Dependoparvovirus sp.,nan
Dnistrovskyi 408 orbivirus,0
Drake virus,0
Dralkin virus,0
Driatsky virus,0
Dryglaski virus,0
Dubrovin virus,0
Duck adeno-associated virus,nan
Duck adenovirus,0
Duck adenovirus 4,nan
Duck associated circular virus VC9,nan
Duck astrovirus 3,nan
Duck astrovirus CPH,nan
Duck astrovirus GII.A,GCF_000883675.1
Duck atadenovirus A,nan
Duck aviadenovirus,nan
Duck aviadenovirus B,GCF_000923915.1
Duck calicivirus,0
Duck calicivirus 2,0
Duck circovirus 3,nan
Duck coronavirus 2714,nan
Duck faeces associated circular DNA virus 1,GCF_001646015.1
Duck faeces associated circular DNA virus 2,GCF_001646195.1
Duck faeces associated circular DNA virus 3,GCF_001646395.1
Duck flavivirus Anhui/2010,0
Duck flavivirus strain YY5,0
Duck genomovirus VC16,nan
Duck genomovirus VC17,nan
Duck hemorrhagic ovaritis virus,0
Duck hepacivirus,nan
Duck hepatitis B virus,GCF_000844545.1
Duck hepatitis virus 3,nan
Duck hepatitis virus AP,0
Duck infectious anemia virus,0
Duck papillomavirus,0
Duck papillomavirus 3,0
Duck parvovirus NM100,0
Duck parvovirus NM4,0
Duck picornavirus,nan
Duck picornavirus duck/FC22/China/2017,0
Duck rhabdovirus,0
Duck sapelovirus,nan
Duck ssDNA virus,nan
Duck-associated chapparvovirus,nan
Duck-dominant coronavirus,nan
Dundee virus,0
Durnavirales sp.,nan
Eagle poxvirus,0
Eastern equine encephalitis virus,nan
Ellsworth virus,0
Emberiza chrysophrys CRESS-DNA-virus sp.,nan
Emberiza chrysophrys parvoviridae sp.,nan
Emberiza cioides CRESS-DNA-virus sp.,nan
Emberiza elegans CRESS-DNA-virus sp.,nan
Emberiza pusilla Chaphamaparvovirus,nan
Emberiza pusilla parvo-like hybrid virus,nan
Emberiza pusilla parvoviridae sp.,nan
Emberiza rustica CRESS-DNA-virus sp.,nan
Emberiza rustica Genomoviridae sp.,nan
Emberiza rustica parvoviridae sp.,nan
Emberiza spodocephala CRESS-DNA-virus sp.,nan
Emberiza spodocephala Genomoviridae sp.,nan
Emberiza spodocephala parvoviridae sp.,nan
Emberiza tristrami CRESS-DNA-virus sp.,nan
Emberiza tristrami Genomoviridae sp.,nan
Emberiza tristrami parvoviridae sp.,nan
Enquatrovirus sp.,nan
Enterovirus F,0
Estrildidae adenovirus 1,0
Estrildidae adenovirus 2,0
Etapapillomavirus 1,0
Eurasian blackcap circovirus,nan
Eurasian jay circovirus,nan
Eurasian oystercatcher coronavirus,0
European bee-eater circovirus,nan
European goldfinch circovirus,nan
European roller astrovirus,0
Faeces associated gemycircularvirus 1,0
Falco tinnunculus herpesvirus,nan
Falcon aviadenovirus A,nan
Falcon coronavirus UAE-HKU27,0
Falcon picornavirus,GCF_002355005.1
Farmington virus,GCF_000926315.1
Feral pigeon astrovirus,nan
Ficedula mugimaki CRESS-DNA-virus sp.,nan
Ficedula mugimaki parvoviridae sp.,nan
Ficedula parva CRESS-DNA-virus sp.,nan
Ficedula parva parvoviridae sp.,nan
Filchner virus,0
Finch poxvirus,nan
Finchpox virus,nan
Flamingopox virus,0
Flamingopox virus FGPVKD09,GCF_002889855.1
Flavivirus CJD05/CHN/2010,0
Flavivirus duck/SD/CHN/2010,0
Flavivirus strain CJD05,0
Foot-and-mouth disease virus,nan
Fort Morgan virus,0
Fowl adenovirus,nan
Fowl adenovirus 12,0
Fowl adenovirus HR1,0
Fowl adenovirus HR2,0
Fowl adenovirus HR3,0
Fowl adenovirus HR4,0
Fowl aviadenovirus A,nan
Fowl aviadenovirus B,GCF_000907375.1
Fowl aviadenovirus C,GCF_000890915.1
Fowl aviadenovirus D,nan
Fowl aviadenovirus E,GCF_002817995.1
Fowl aviadenovirus sp.,nan
Fowlpox virus,nan
Fregata magnificens alphaherpesvirus 1,nan
Fregata magnificens herpesvirus,0
French Guiana picornavirus,nan
French Guiana reovirus,nan
Fringilla montifringilla CRESS-DNA-virus sp.,nan
Fringilla montifringilla Chaphamaparvovirus,nan
Fringilla montifringilla Circoviridae sp.,nan
Fringilla montifringilla Genomoviridae sp.,nan
Fringilla montifringilla parvoviridae sp.,nan
Fuchs virus,0
Gallid herpesvirus,0
Galliform chaphamaparvovirus 10,nan
Galliform chaphamaparvovirus 11,nan
Galliform chaphamaparvovirus 12,nan
Galliform chaphamaparvovirus 13,nan
Galliform chaphamaparvovirus 14,nan
Galliform chaphamaparvovirus 15,nan
Galliform chaphamaparvovirus 16,nan
Galliform chaphamaparvovirus 17,nan
Galliform chaphamaparvovirus 6,nan
Galliform chaphamaparvovirus 7,nan
Galliform chaphamaparvovirus 8,nan
Galliform chaphamaparvovirus 9,nan
Gallivirus A,GCF_000924095.1
Gallivirus Pf-CHK1/GV,GCF_001500755.1
Gallivirus sp.,nan
Gammacoronavirus sp.,nan
Gammapolyomavirus anseris,nan
Gammapolyomavirus avis,nan
Gammapolyomavirus corvi,GCF_000868965.1
Gammapolyomavirus cratorquatus,GCF_000914155.1
Gammapolyomavirus egouldiae,GCF_003033365.1
Gammapolyomavirus lonmaja,GCF_003033375.1
Gammapolyomavirus padeliae,GCF_000930155.1
Gammapolyomavirus pypyrrhula,GCF_000864605.1
Gammapolyomavirus secanaria,GCF_000896095.1
Garrulus glandarius associated circular virus 1,GCF_002219445.1
Garrulus glandarius parvoviridae sp.,nan
Gaviid herpesvirus 1,0
Gemycircularvirus blabi1,0
Gemycircularvirus chicas1,GCF_001646115.1
Gemycircularvirus chicas2,GCF_001646335.1
Gemycircularvirus chickad1,GCF_001273685.1
Gemycircularvirus furse1,0
Gemycircularvirus geras1,GCF_000928755.1
Gemycircularvirus geras2,GCF_000929795.1
Gemycircularvirus geras3,GCF_000927875.1
Gemycircularvirus malas1,GCF_000927855.1
Gemycircularvirus sp.,GCF_003848605.1
Gemygorvirus malas1,GCF_001646535.1
Gemygorvirus stara1,GCF_000930475.1
Gemykibivirus blabi1,GCF_000927915.1
Gemykibivirus blaro1,GCF_000928815.1
Gemykibivirus galga1,GCF_018589205.1
Gemykibivirus galga2,GCF_018589245.1
Gemykibivirus galga3,GCF_018589115.1
Gemykibivirus sewopo1,GCF_001646055.1
Gemykrogvirus galga1,GCF_018589195.1
Gemykrogvirus galga2,GCF_001967675.1
Gemykrogvirus galga3,GCF_018589075.1
Gemykrogvirus galga4,GCF_018589215.1
Gemykrogvirus galga5,GCF_018589065.1
Gemytondvirus ostri1,GCF_000928795.1
Genomoviridae sp.,GCF_018591135.1
Gentoo penguin virus,0
Gerritsz virus,0
Ghabrivirales sp.,nan
Goose adenovirus 5,0
Goose adenovirus Y81G4,0
Goose astrovirus,GCF_002146085.1
Goose astrovirus 1,nan
Goose astrovirus 2,nan
Goose aviadenovirus A,GCF_000897155.1
Goose calicivirus,GCF_000920715.1
Goose parvovirus SDDY21,nan
Goose parvovirus SDJN21,nan
Goose parvovirus SDWF22,nan
Goose pegivirus 1,nan
Goose pegivirus 2,nan
Goose-dominant Coronavirus,0
Gouldian finch adenovirus 1,0
Gouldian finch circovirus,nan
Great tit siadenovirus A,GCF_002925555.1
Grey teal calicivirus,0
Grey teal chaphamaparvovirus,nan
Grey teal gyrovirus,nan
Grey teal parvovirus,0
Grey teal picobirnavirus X,0
Grey teal picobirnavirus Z,0
Grey teal picobirnavirus y,0
Griffon vulture papillomavirus,0
Gruhelivirus A,GCF_013087255.1
Grus japonensis CRESS-DNA-virus sp.,nan
Grus japonensis Chaphamaparvovirus,nan
Grus japonensis parvo-like hybrid virus,nan
Grus japonensis parvoviridae sp.,nan
Grus monacha CRESS-DNA-virus sp.,nan
Grus nigricollis-associatied genomovirus,nan
Grusopivirus A,GCF_003390015.1
Grusopivirus B,GCF_003390035.1
Grusopivirus C,GCF_004995665.1
Grusopivirus sp.,nan
Guinea fowl astrovirus,0
Guinea fowl circovirus,0
Guinea fowl picornavirus,nan
Gull adenovirus,nan
Gull coronavirus,0
Gull metapneumovirus,0
Gull papillomavirus 1,0
Gull papillomavirus 2,0
Gull papillomavirus 3,0
Gyrovirus 10,0
Gyrovirus 2126_10,nan
Gyrovirus 2316_26,nan
Gyrovirus 2316_32,nan
Gyrovirus 2885_18H,nan
Gyrovirus 2885_18K,nan
Gyrovirus 2885_18L,nan
Gyrovirus 3,nan
Gyrovirus 6,nan
Gyrovirus 9,nan
Gyrovirus VC5,nan
Gyrovirus VC7,nan
Gyrovirus chickenanemia,nan
Gyrovirus fulgla1,GCF_001045285.1
Gyrovirus galga1,GCF_000891935.1
Gyrovirus homsa1,nan
Gyrovirus homsa2,nan
Gyrovirus homsa3,nan
Gyrovirus hydho1,GCF_004134085.1
Gyrovirus myferr1,GCF_018583945.1
Halley virus,0
Halvorsen virus,0
Hapavirus flanders,0
Hapavirus landjia,GCF_002146145.1
Harkavirus A,GCF_000981755.1
Hawaiian goose poxvirus,0
Hawfinch circovirus,nan
Hedwig virus,nan
Hepacivirus Q,nan
Hepacivirus sp.,nan
Hepatitis B virus,0
Hepatitis E virus,0
Hepeviridae sp.,0
Heron hepatitis B virus,0
Herpesvirus eupittula14478,nan
Herpesvirus goose/GAV08/Poland/2008,0
Highlands J virus,GCF_000881255.1
Hilary virus,0
Houbara coronavirus UAE-HKU28,0
Huchismacovirus chicas1,GCF_003033445.1
Huchismacovirus chicas2,GCF_003033465.1
Huchismacovirus sp.,nan
Human mastadenovirus F,0
IC4 retrovirus,0
Iltovirus gallidalpha1,GCF_008787145.1
Iltovirus psittacidalpha1,GCF_000840765.1
Iltovirus psittacidalpha5,GCF_029884945.1
JDV virus,0
Java sparrow circovirus,nan
Jingmen ascaridia virus 1,0
Jingmen birna-like virus,0
Jingmen bunya-like virus 1,0
Jingmen picobirna-like virus 1,0
Jingmen picorna-like virus,GCF_001961255.1
Jingmen tombus-like virus 1,GCF_002008755.1
Jingmen tombus-like virus 2,GCF_002004055.1
Jingmen toti-like virus 1,0
Justusliebigvirus phi92,0
Kagge virus,0
Kammavanpettai virus,0
Kannamangalam virus,0
Kedah fatal kidney syndrome virus,0
Kestrel picornavirus,0
Ketchum virus,0
Khabarov virus,0
Khurdivirus volgaense,GCF_023156525.1
Kittiwake papillomavirus 1,0
Kittiwake papillomavirus 2,0
Kittiwake papillomavirus 3,0
Kittiwake papillomavirus 4,0
Kittiwake papillomavirus 5,0
Kittiwake papillomavirus 6,0
Kittiwake papillomavirus 7,0
Kornilov virus,0
Korotkevich virus,0
Krenkel virus,0
Kunsagivirus A,GCF_002817165.1
Kyst virus,0
Lambdatorquevirus phoci5,0
Lanius cristatus parvoviridae sp.,nan
Larsen virus,0
Larus argentatus herpesvirus,nan
Larus ridibundus coronavirus,nan
Lavender waxbill polyomavirus,nan
Lawrence virus,0
Lazarev virus,0
Leucosticte brandti pegivirus,nan
Little bittern circovirus,nan
Loch Leven virus,nan
Lonchura striata deltavirus,nan
Lophura nycthemera aveparvovirus,nan
Lophura nycthemera parvoviridae sp.,nan
Ludopivirus A,GCF_004131145.1
Luncke virus,0
Luscinia calliope CRESS-DNA-virus sp.,nan
Luscinia cyane CRESS-DNA-virus sp.,nan
Luscinia cyane Chaphamaparvovirus,nan
Luscinia cyane Ichthamaparvovirus,nan
Luscinia cyane parvoviridae sp.,nan
Luscinia sibilans CRESS-DNA-virus sp.,nan
Luscinia sibilans parvo-like hybrid virus,nan
Luscinia sibilans parvoviridae sp.,nan
Luteoviridae sp.,nan
Lymphoproliferative disease virus,nan
Lyssavirus australis,0
Lyssavirus rabies,0
MLV-related retrovirus,0
Magellan virus,0
Magpie circovirus,nan
Magpie hepacivirus,nan
Magpie-robin coronavirus HKU18,GCF_000894435.1
Magpiepox virus,0
Magpiepox virus 2,nan
Maksutov virus,0
Malazfec virus 1,nan
Malazfec virus 10,nan
Malazfec virus 11,nan
Malazfec virus 12,nan
Malazfec virus 13,nan
Malazfec virus 14,nan
Malazfec virus 15,nan
Malazfec virus 16,nan
Malazfec virus 17,nan
Malazfec virus 18,nan
Malazfec virus 19,nan
Malazfec virus 20,nan
Malazfec virus 21,nan
Malazfec virus 22,nan
Malazfec virus 23,nan
Malazfec virus 24,nan
Malazfec virus 25,nan
Malazfec virus 9,nan
Marcaroli circovirus,nan
Mardivirus anatidalpha1,GCF_000885795.1
Mardivirus columbidalpha1,GCF_002116095.1
Mardivirus gallidalpha2,GCF_000846265.1
Mardivirus gallidalpha3,GCF_008792185.1
Mardivirus meleagridalpha1,GCF_000839725.1
Mardivirus spheniscidalpha1,GCF_001974335.1
Marr virus,0
Mason Creek virus,0
Mawson virus,0
Mayaro virus,nan
Maypo virus,nan
Megrivirus A,GCF_002008395.1
Megrivirus B,GCF_003028975.1
Megrivirus C,GCF_003029035.1
Megrivirus D,GCF_002184175.1
Megrivirus E,GCF_003029615.1
Megrivirus sp.,nan
Meldvirus gallus11737,nan
Meleagrid alphaherpesvirus 2,nan
Melegrivirus A,GCF_000917935.1
Mella virus,0
Metaavulavirus delawarense,GCF_002815215.1
Metaavulavirus falklandense,GCF_002080355.1
Metaavulavirus galliense,GCF_000924755.1
Metaavulavirus hongkongense,GCF_002815195.1
Metaavulavirus japanense,GCF_003032665.1
Metaavulavirus kazakhstanense,GCF_004130815.1
Metaavulavirus kunitachiense,GCF_000924655.1
Metaavulavirus peixense,GCF_002197575.1
Metaavulavirus sp.,nan
Metaavulavirus taiwanense,nan
Metaavulavirus tennessense,GCF_000926535.1
Metaavulavirus yucaipaense,GCF_002989675.1
Metapneumovirus avis,nan
Microbacterium phage P8_2022_SA,nan
Middelburg virus,nan
Montifringilla taczanowskii coronavirus N,nan
Montifringilla taczanowskii pegivirus,nan
Morbillivirus canis,nan
Mosavirus A,GCF_000918135.1
Motacilla cinerea CRESS-DNA-virus sp.,nan
Motacilla cinerea Circoviridae sp.,nan
Motacilla cinerea parvo-like hybrid virus,nan
Motacilla cinerea parvoviridae sp.,nan
Mott virus,0
Mudlarkpox virus,nan
Munia coronavirus HKU13,GCF_000880835.1
Murine mastadenovirus B,0
Muscicapa latirostris CRESS-DNA-virus sp.,nan
Mute swan associated circo-like virus,nan
Mute swan feces associated avastrovius 1,nan
Mute swan feces associated avastrovius 2,nan
Mute swan feces associated aveparvovirus,nan
Mute swan feces associated avihepatovirus,nan
Mute swan feces associated calicivirus,nan
Mute swan feces associated chapparvovirus 1,nan
Mute swan feces associated chapparvovirus 2,nan
Mute swan feces associated chapparvovirus 3,nan
Mute swan feces associated chapparvovirus 4,nan
Mute swan feces associated chapparvovirus 5,nan
Mute swan feces associated chapparvovirus 6,nan
Mute swan feces associated circular virus 1,nan
Mute swan feces associated circular virus 10,nan
Mute swan feces associated circular virus 11,nan
Mute swan feces associated circular virus 12,nan
Mute swan feces associated circular virus 13,nan
Mute swan feces associated circular virus 14,nan
Mute swan feces associated circular virus 15,nan
Mute swan feces associated circular virus 16,nan
Mute swan feces associated circular virus 17,nan
Mute swan feces associated circular virus 2,nan
Mute swan feces associated circular virus 3,nan
Mute swan feces associated circular virus 4,nan
Mute swan feces associated circular virus 5,nan
Mute swan feces associated circular virus 6,nan
Mute swan feces associated circular virus 7,nan
Mute swan feces associated circular virus 8,nan
Mute swan feces associated circular virus 9,nan
Mute swan feces associated gammacoronavirus,nan
Mute swan feces associated gemycircularvirus 1,nan
Mute swan feces associated hepatovirus 1,nan
Mute swan feces associated hepatovirus 2,nan
Mute swan feces associated hepatovirus 3,nan
Mute swan feces associated hepatovirus 4,nan
Mute swan feces associated noda-like virus 1,nan
Mute swan feces associated noda-like virus 2,nan
Mute swan feces associated noda-like virus 3,nan
Mute swan feces associated noda-like virus 4,nan
Mute swan feces associated noda-like virus 5,nan
Mute swan feces associated noda-like virus 6,nan
Mute swan feces associated noda-like virus 7,nan
Mute swan feces associated noda-like virus 8,nan
Mute swan feces associated noda-like virus 9,nan
Mute swan feces associated partitiviridae 1,nan
Mute swan feces associated partitiviridae A,nan
Mute swan feces associated partitiviridae B,nan
Mute swan feces associated partitiviridae C,nan
Mute swan feces associated partitiviridae D,nan
Mute swan feces associated partitiviridae E,nan
Mute swan feces associated partitiviridae F,nan
Mute swan feces associated partitiviridae G,nan
Mute swan feces associated partitiviridae H,nan
Mute swan feces associated partitiviridae I,nan
Mute swan feces associated partitiviridae J,nan
Mute swan feces associated partitiviridae K,nan
Mute swan feces associated partitiviridae L,nan
Mute swan feces associated partitiviridae M,nan
Mute swan feces associated partitiviridae N,nan
Mute swan feces associated partitiviridae O,nan
Mute swan feces associated picobirnavirus 1,nan
Mute swan feces associated picobirnavirus 2,nan
Mute swan feces associated picobirnavirus 3,nan
Mute swan feces associated picobirnavirus A,nan
Mute swan feces associated picobirnavirus B,nan
Mute swan feces associated picorna-like virus 1,nan
Mute swan feces associated picorna-like virus 10,nan
Mute swan feces associated picorna-like virus 11,nan
Mute swan feces associated picorna-like virus 12,nan
Mute swan feces associated picorna-like virus 13,nan
Mute swan feces associated picorna-like virus 14,nan
Mute swan feces associated picorna-like virus 15,nan
Mute swan feces associated picorna-like virus 16,nan
Mute swan feces associated picorna-like virus 17,nan
Mute swan feces associated picorna-like virus 18,nan
Mute swan feces associated picorna-like virus 19,nan
Mute swan feces associated picorna-like virus 2,nan
Mute swan feces associated picorna-like virus 20,nan
Mute swan feces associated picorna-like virus 21,nan
Mute swan feces associated picorna-like virus 22,nan
Mute swan feces associated picorna-like virus 23,nan
Mute swan feces associated picorna-like virus 24,nan
Mute swan feces associated picorna-like virus 25,nan
Mute swan feces associated picorna-like virus 26,nan
Mute swan feces associated picorna-like virus 27,nan
Mute swan feces associated picorna-like virus 28,nan
Mute swan feces associated picorna-like virus 29,nan
Mute swan feces associated picorna-like virus 3,nan
Mute swan feces associated picorna-like virus 4,nan
Mute swan feces associated picorna-like virus 5,nan
Mute swan feces associated picorna-like virus 6,nan
Mute swan feces associated picorna-like virus 7,nan
Mute swan feces associated picorna-like virus 8,nan
Mute swan feces associated picorna-like virus 9,nan
Mute swan feces associated sapelovirus 1,nan
Mute swan feces associated sapelovirus 2,nan
Mute swan feces associated sapelovirus 3,nan
Mute swan feces associated toti-like virus 1,nan
Mute swan feces associated toti-like virus 2,nan
Mute swan feces associated toti-like virus 3,nan
Myna aviadenovirus,nan
Myna calicivirus,nan
Myna chaphamaparvovirus,nan
Myna hepatovirus,nan
Myna siadenovirus,nan
Mynah circovirus,nan
Nacovirus A,GCF_004786995.1
Nandayus nenday CRESS-DNA-virus sp.,nan
Nandayus nenday Chaphamaparvovirus,nan
Nandayus nenday parvoviridae sp.,nan
Nauglamirvirus anduin,GCF_023131745.1
Navarro virus,0
Neoavian orthoreovirus,0
Neotropic cormorant aviadenovirus,0
Neotropic cormorant herpesvirus,0
Netherby virus,nan
Neva virus,nan
Night heron coronavirus HKU19,GCF_000896035.1
Nodaviridae sp.,nan
Nordenskjold virus,0
Norwalk virus,0
Nyavirus nyamaniniense,nan
Nyavirus sanjacintoense,GCF_018587265.1
Nyavirus somateriae,GCF_023131265.1
O'Leary virus,0
Oates virus,0
Onychoprion fuscatus alphaherpesvirus 1,0
Oriental turtle dovepox virus,nan
Oriolus adenovirus,nan
Orivirus A,GCF_000926835.1
Orthoavulavirus borisense,GCF_003032685.1
Orthoavulavirus italiense,GCF_000927075.1
Orthoavulavirus japanense,GCF_001654405.1
Orthoavulavirus javaense,GCF_002834085.1
Orthoavulavirus kopaiticense,GCF_003032695.1
Orthoavulavirus koreaense,nan
Orthoavulavirus newyorkense,GCF_000926655.1
Orthoavulavirus oneillense,GCF_003032705.1
Orthoavulavirus sp.,nan
Orthoavulavirus upoense,GCF_003032675.1
Orthobornavirus alphapsittaciforme,GCF_002815075.1
Orthobornavirus avisaquaticae,GCF_001589995.2
Orthobornavirus betapsittaciforme,GCF_002815095.1
Orthobornavirus bornaense,0
Orthobornavirus estrildidae,GCF_002815055.1
Orthobornavirus serini,GCF_001305565.3
Orthobunyavirus balagoduense,GCF_029887365.1
Orthobunyavirus bataiense,nan
Orthobunyavirus batamaense,GCF_029887665.1
Orthobunyavirus bobayaense,GCF_029888205.1
Orthobunyavirus bunyamweraense,nan
Orthobunyavirus gamboaense,0
Orthobunyavirus ingwavumaense,GCF_004789635.1
Orthobunyavirus manzanillaense,nan
Orthobunyavirus matruhense,GCF_009731935.1
Orthobunyavirus mermetense,GCF_004789655.1
Orthobunyavirus sedlecense,GCF_018594955.1
Orthobunyavirus teteense,GCF_002814395.1
Orthobunyavirus thimiriense,GCF_006297945.1
Orthoflavivirus bagazaense,nan
Orthoflavivirus cacipacoreense,GCF_000954535.1
Orthoflavivirus encephalitidis,nan
Orthoflavivirus israelense,0
Orthoflavivirus japonicum,nan
Orthoflavivirus louisense,0
Orthoflavivirus loupingi,0
Orthoflavivirus nilense,nan
Orthoflavivirus powassanense,0
Orthoflavivirus saumarezense,nan
Orthoflavivirus tembusu,GCF_000894755.1
Orthoflavivirus usutuense,nan
Orthoflavivirus wesselsbronense,nan
Orthonairovirus abuhammadense,GCF_014883235.1
Orthonairovirus abuminaense,GCF_014883245.1
Orthonairovirus bushkeyense,0
Orthonairovirus tunisense,GCF_004128175.1
Orthoreovirus sp.,nan
Oscivirus A,GCF_000887535.1
Ostrekin virus,0
Ostrich orthoreovirus Ost1,0
Ostrich parvovirus,nan
Otus scops CRESS-DNA-virus sp.,nan
Otus scops parvoviridae sp.,nan
Ousland virus,0
Owl adenovirus,nan
Owl adenovirus Aichi10341,nan
Pacific black duck aalivirus,nan
Pacific black duck adeno-associated virus,nan
Pacific black duck anativirus-like virus,nan
Pacific black duck astrovirus,nan
Pacific black duck aveparvovirus,nan
Pacific black duck aviadenovirus,nan
Pacific black duck calicivirus,nan
Pacific black duck chaphamaparvovirus,nan
Pacific black duck chaphamaparvovirus 1,nan
Pacific black duck megrivirus,nan
Pacific black duck orthoreovirus,nan
Pacific black duck sicinivirus-like virus,nan
Palmer virus,0
Papillomavirus luscinia7441,nan
Papillomavirus numida8051,nan
Paraavulavirus hongkongense,GCF_002815175.1
Paraavulavirus wisconsinense,GCF_000927055.1
Paramecium bursaria Chlorella virus,nan
Parechovirus B,0
Parechovirus E,0
Parrot coronavirus AV71/99,0
Parrot hepatitis B virus,GCF_000895735.1
Partitiviridae sp.,nan
Parus major parvoviridae sp.,nan
Parvoviridae sp.,GCF_003389895.1
Parvovirus AC-2012,0
Parvovirus AH0225,0
Parvovirus NIH-CQV,0
Parvovirus USP336-5/Brazil/2009,0
Parvovirus USP336-7/Brazil/2009,0
Parvovirus USP369-D/Brazil/2009,0
Parvovirus USP369-E/Brazil/2009,0
Parvovirus USP371-1/Brazil/2009,0
Parvovirus USP371-4/Brazil/2009,0
Parvovirus USP391-2/Brazil/2009,0
Parvovirus USP400-2B/Brazil/2010,0
Parvovirus USP400-4B/Brazil/2010,0
Parvovirus USP400-8A/Brazil/2010,0
Parvovirus USP400-9A/Brazil/2010,0
Parvovirus anas3568,nan
Parvovirus anser6071,nan
Parvovirus anser6262,nan
Parvovirus anser7324,nan
Parvovirus anser7825,nan
Parvovirus chalcites3867,nan
Parvovirus chrysococcyx3867a,nan
Parvovirus emberiza5140,nan
Parvovirus emberiza5276,nan
Parvovirus emberiza6660,nan
Parvovirus emberiza7086,nan
Parvovirus grus5099,nan
Parvovirus grus5877,nan
Parvovirus grus5942,nan
Parvovirus laniidae3881,nan
Parvovirus lanius6615,nan
Parvovirus larvivora5808,nan
Parvovirus leiothrix3317,nan
Parvovirus leiothrix4587,nan
Parvovirus luscinia5410,nan
Parvovirus luscinia6815,nan
Parvovirus numida6704,nan
Parvovirus partridge/PA147/ITA/2008,0
Parvovirus phasianus6595,nan
Parvovirus phoenicopterus3947,nan
Parvovirus phoenicurus12233s1,nan
Parvovirus phoenicurus12233s2,nan
Parvovirus phoenicurus4436,nan
Parvovirus phylloscopus4927,nan
Parvovirus phylloscopus5247,nan
Parvovirus phylloscopus5401s1,nan
Parvovirus phylloscopus5401s2,nan
Parvovirus steptopelia4906,nan
Parvovirus steptopelia5095,nan
Parvovirus streptopelia4404,nan
Parvovirus sylvia4828,nan
Parvovirus turdus4154,nan
Parvovirus turdus6774,nan
Parvovirus zapornia4554,nan
Parvovirus zonotrichia4755,nan
Paslahepevirus balayani,GCF_023120345.1
Passer domesticus herpesvirus,nan
Passer montanus parvoviridae sp.,nan
Passer montanus pegivirus,nan
Passerid herpesvirus 1,0
Passerine adenovirus 1,nan
Passerine astrovirus 1,0
Passerine astrovirus 2,0
Passerine astrovirus 3,0
Passerine astrovirus 4,0
Passerivirus A,GCF_000890055.1
Pavo cristatus CRESS-DNA-virus sp.,nan
Pavo cristatus parvo-like hybrid virus,nan
Pavo cristatus parvoviridae sp.,nan
Pelican hepacivirus,nan
Penguin herpesvirus 1,0
Penguin herpesvirus 2,0
Penguin siadenovirus A,GCF_001646375.1
Penguinpox virus,GCF_000923135.1
Penguinpox virus 2,nan
Periparus ater CRESS-DNA-virus sp.,nan
Periparus ater Circoviridae sp.,nan
Periparus ater Ichthamaparvovirus,nan
Periparus ater parvoviridae sp.,nan
Pernambuco mycovirus 1,0
Pernambuco nodavirus,0
Pernambuco virus,0
Petrov virus,0
Phacovirus BY/PhV,0
Phacovirus CAB/PhV,0
Phacovirus DM/PhV,0
Phacovirus GT/PhV,0
Phacovirus NG/PhV,0
Phacovirus TR/PhV,0
Phacovirus VG/PhV,0
Phacovirus sp.,0
Phapecoctavirus TSP7,GCF_018642085.1
Phasianid herpesvirus 1,0
Phasianus chaphamaparvovirus,nan
Pheasant-associated gyrovirus,nan
Phlebovirus arumowotense,0
Phlebovirus toscanaense,0
Phoenicopterid herpesvirus 1,0
Phoenicopteridae CRESS-DNA-virus sp.,nan
Phoenicopteridae parvo-like hybrid virus,nan
Phoenicopteridae parvoviridae sp.,nan
Phoenicopterus roseus CRESS-DNA-virus sp.,nan
Phoenicopterus roseus parvo-like hybrid virus,nan
Phoenicurus auroreus CRESS-DNA-virus sp.,nan
Phoenicurus auroreus parvoviridae sp.,nan
Phylloscopus fuscatus CRESS-DNA-virus sp.,nan
Phylloscopus fuscatus Ichthamaparvovirus,nan
Phylloscopus fuscatus parvoviridae sp.,nan
Phylloscopus inornatus parvoviridae sp.,nan
Phylloscopus parvoviridae sp.,nan
Phylloscopus proregulus Brevihamaparvovirus,nan
Phylloscopus proregulus Ichthamaparvovirus,nan
Phylloscopus proregulus parvoviridae sp.,nan
Phylloscopus schwarzi parvoviridae sp.,nan
Phylloscopus tenellipes CRESS-DNA-virus sp.,nan
Picobirnaviridae sp. gcode 3,nan
Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,0
Picobirnavirus HK-2014,0
Picobirnavirus sp.,nan
Picobirnavirus turkey/USA-1507/2010,0
Picobirnavirus turkey/USA-1512/2010,0
Picornavirales sp.,nan
Picornaviridae sp.,GCF_003389975.1
Picornavirus chicken/CHK1/USA/2010,0
Picornavirus chicken/CHK148/USA/2010,0
Picornavirus chicken/CHK165/USA/2010,0
