,Species,NCBI Taxon ID,Order,Family,Genus
340,Duck sapelovirus,3163392,Picornavirales,Picornaviridae,Sapelovirus
341,Megrivirus sp.,2809560,Picornavirales,Picornaviridae,Megrivirus
342,Crucivirus sp.,2569971,,,
343,Tick-associated DNA virus,3138950,,,
344,CRESS DNA virus,3138951,,,
345,Psittaciform aveparvovirus,3042447,Piccovirales,Parvoviridae,Aveparvovirus
346,Tick-associated circular DNA virus,2963861,,,
347,Sewage-associated circular DNA virus,3138952,,,
348,Psittacine siadenovirus F,2874383,Rowavirales,Adenoviridae,Siadenovirus
349,Circovirus sp.,1964372,Cirlivirales,Circoviridae,Circovirus
350,Cressdnaviricota sp.,2748378,,,
351,Chimeric virus 14,1608440,,,
352,Paramecium bursaria Chlorella virus,3138953,,,
353,Condorpox virus,3049970,Chitovirales,Poxviridae,Avipoxvirus
354,Apapanepox virus,3049969,Chitovirales,Poxviridae,Avipoxvirus
355,bar-headed goose anativirus,3155980,Picornavirales,Picornaviridae,Anativirus
356,bar-headed goose hepatovirus,3155981,Picornavirales,Picornaviridae,Hepatovirus
357,bar-headed goose megrivirus,3155982,Picornavirales,Picornaviridae,Megrivirus
358,Larus ridibundus coronavirus,3153733,Nidovirales,Coronaviridae,
359,Anser fabalis coronavirus,3153734,Nidovirales,Coronaviridae,
360,Duck-dominant coronavirus,1649337,Nidovirales,Coronaviridae,
361,Goose astrovirus 1,2910303,Stellavirales,Astroviridae,Avastrovirus
362,Torque teno virus,68887,,Anelloviridae,
363,Marcaroli circovirus,3138814,Cirlivirales,Circoviridae,Circovirus
364,Spata circovirus,3138815,Cirlivirales,Circoviridae,Circovirus
365,Parvovirus phylloscopus5247,3117183,Piccovirales,Parvoviridae,
366,Parvovirus luscinia6815,3117122,Piccovirales,Parvoviridae,
367,Parvovirus phoenicurus4436,3117181,Piccovirales,Parvoviridae,
368,Parvovirus phoenicurus12233s2,3117180,Piccovirales,Parvoviridae,
369,Parvovirus zapornia4554,3117225,Piccovirales,Parvoviridae,
370,Parvovirus laniidae3881,3117115,Piccovirales,Parvoviridae,
371,Parvovirus lanius6615,3117116,Piccovirales,Parvoviridae,
372,Herpesvirus eupittula14478,3116695,Herpesvirales,,
373,Parvovirus chrysococcyx3867a,3117070,Piccovirales,Parvoviridae,
374,Parvovirus turdus6774,3117217,Piccovirales,Parvoviridae,
375,Adenovirus acanthiza15342,3115873,Rowavirales,Adenoviridae,
376,Parvovirus turdus4154,3117216,Piccovirales,Parvoviridae,
377,Parvovirus phylloscopus5401s2,3117185,Piccovirales,Parvoviridae,
378,Polyomavirus odontophorus5057,3117261,Sepolyvirales,Polyomaviridae,
379,Parvovirus grus5099,3117098,Piccovirales,Parvoviridae,
380,Polyomavirus phylloscopus4853,3117270,Sepolyvirales,Polyomaviridae,
381,Parvovirus anas3568,3117034,Piccovirales,Parvoviridae,
382,Parvovirus sylvia4828,3117208,Piccovirales,Parvoviridae,
383,Parvovirus leiothrix4587,3117119,Piccovirales,Parvoviridae,
384,Parvovirus numida6704,3117160,Piccovirales,Parvoviridae,
385,Parvovirus emberiza5140,3117078,Piccovirales,Parvoviridae,
386,Polyomavirus erythrura5304,3117230,Sepolyvirales,Polyomaviridae,
387,Parvovirus luscinia5410,3117121,Piccovirales,Parvoviridae,
388,Papillomavirus numida8051,3116987,Zurhausenvirales,Papillomaviridae,
389,Polyomavirus taeniopygia5555,3117282,Sepolyvirales,Polyomaviridae,
390,Parvovirus zonotrichia4755,3117226,Piccovirales,Parvoviridae,
391,Parvovirus anser6262,3117037,Piccovirales,Parvoviridae,
392,Parvovirus larvivora5808,3117117,Piccovirales,Parvoviridae,
393,Parvovirus grus5877,3117099,Piccovirales,Parvoviridae,
394,Parvovirus chalcites3867,3117064,Piccovirales,Parvoviridae,
395,Parvovirus phoenicopterus3947,3117178,Piccovirales,Parvoviridae,
396,Parvovirus grus5942,3117100,Piccovirales,Parvoviridae,
397,Anellovirus meleagris2358,3115994,,Anelloviridae,
398,Parvovirus phoenicurus12233s1,3117179,Piccovirales,Parvoviridae,
399,Parvovirus emberiza6660,3117080,Piccovirales,Parvoviridae,
400,Parvovirus anser6071,3117036,Piccovirales,Parvoviridae,
401,Parvovirus anser7825,3117039,Piccovirales,Parvoviridae,
402,Polyomavirus prunella5215,3117274,Sepolyvirales,Polyomaviridae,
403,Parvovirus phylloscopus4927,3117182,Piccovirales,Parvoviridae,
404,Anellovirus gallus2670,3115989,,Anelloviridae,
405,Meldvirus gallus11737,3116726,,,
406,Papillomavirus luscinia7441,3116978,Zurhausenvirales,Papillomaviridae,
407,Parvovirus anser7324,3117038,Piccovirales,Parvoviridae,
408,Polyomavirus saxicola5252a,3117279,Sepolyvirales,Polyomaviridae,
409,Polyomavirus sericulus5319,3117280,Sepolyvirales,Polyomaviridae,
410,Cressvirus meleagris1922,3116679,,,
411,Parvovirus emberiza7086,3117081,Piccovirales,Parvoviridae,
412,Cressvirus meleagris952,3116680,,,
413,Adintovirus pavo15764,3115938,Orthopolintovirales,Adintoviridae,
414,Parvovirus phylloscopus5401s1,3117184,Piccovirales,Parvoviridae,
415,Parvovirus leiothrix3317,3117118,Piccovirales,Parvoviridae,
416,Parvovirus streptopelia4404,3117207,Piccovirales,Parvoviridae,
417,Polyomavirus erythrura5362,3117231,Sepolyvirales,Polyomaviridae,
418,Parvovirus emberiza5276,3117079,Piccovirales,Parvoviridae,
419,Parvovirus steptopelia5095,3117206,Piccovirales,Parvoviridae,
420,Polyomavirus pteridophora5384,3117276,Sepolyvirales,Polyomaviridae,
421,Polyomavirus zonotrichia5422,3117287,Sepolyvirales,Polyomaviridae,
422,Polyomavirus phylloscopus4708,3117269,Sepolyvirales,Polyomaviridae,
423,Parvovirus steptopelia4906,3117205,Piccovirales,Parvoviridae,
424,Anellovirus meleagris2399,3115995,,Anelloviridae,
425,Parvovirus phasianus6595,3117175,Piccovirales,Parvoviridae,
426,Psittacine adenovirus 12,3134257,Rowavirales,Adenoviridae,Aviadenovirus
427,Avian polyomavirus,1702318,Sepolyvirales,Polyomaviridae,
428,Canarypox virus,44088,Chitovirales,Poxviridae,Avipoxvirus
429,Spheniscid alphaherpesvirus 2,3134033,Herpesvirales,Orthoherpesviridae,
430,Calonectris borealis alphaherpesvirus,3129245,Herpesvirales,Orthoherpesviridae,
431,Ardenna gravis alphaherpesvirus,3129244,Herpesvirales,Orthoherpesviridae,
432,Gyrovirus 2316_26,3127497,,Anelloviridae,Gyrovirus
433,Gyrovirus 2316_32,3127498,,Anelloviridae,Gyrovirus
434,Gyrovirus 2885_18H,3127499,,Anelloviridae,Gyrovirus
435,Gyrovirus 2885_18K,3127500,,Anelloviridae,Gyrovirus
436,Gyrovirus 2885_18L,3127501,,Anelloviridae,Gyrovirus
437,Gyrovirus 2126_10,3127502,,Anelloviridae,Gyrovirus
438,Lymphoproliferative disease virus,11961,Ortervirales,Retroviridae,Alpharetrovirus
439,Feral pigeon astrovirus,928291,Stellavirales,Astroviridae,
440,Pigeon astrovirus,3079711,Stellavirales,Astroviridae,
441,Duck aviadenovirus,2875327,Rowavirales,Adenoviridae,Aviadenovirus
442,Comazfec virus 1,3112648,,,
443,Comazfec virus 2,3112649,,,
444,Comazfec virus 3,3112650,,,
445,Comazfec virus 4,3112651,,,
446,Comazfec virus 5,3112652,,,
447,Comazfec virus 6,3112653,,,
448,Comazfec virus 7,3112654,,,
449,Comazfec virus 8,3112655,,,
450,Comazfec virus 9,3112656,,,
451,Comazfec virus 10,3112657,,,
452,Comazfec virus 11,3112658,,,
453,Comazfec virus 12,3112659,,,
454,Comazfec virus 13,3112660,,,
455,Comazfec virus 14,3112661,,,
456,Comazfec virus 15,3112662,,,
457,Comazfec virus 16,3112663,,,
458,Comazfec virus 17,3112664,,,
459,Malazfec virus 1,3112667,,,
460,Malazfec virus 9,3112675,,,
461,Malazfec virus 10,3112676,,,
462,Malazfec virus 11,3112677,,,
463,Malazfec virus 12,3112678,,,
464,Malazfec virus 13,3112679,,,
465,Malazfec virus 14,3112680,,,
466,Malazfec virus 15,3112681,,,
467,Malazfec virus 16,3112682,,,
468,Malazfec virus 17,3112683,,,
469,Malazfec virus 18,3112684,,,
470,Malazfec virus 19,3112685,Geplafuvirales,Genomoviridae,
471,Malazfec virus 20,3112686,Geplafuvirales,Genomoviridae,
472,Malazfec virus 21,3112687,Geplafuvirales,Genomoviridae,
473,Malazfec virus 22,3112688,,,
474,Malazfec virus 23,3112689,,,
475,Malazfec virus 24,3112690,,,
476,Malazfec virus 25,3112691,,,
477,Short beak and dwarfism syndrome virus,3118410,Piccovirales,Parvoviridae,
478,Swan goose coronavirus,3064243,Nidovirales,Coronaviridae,Gammacoronavirus
479,,Not found,,,
480,Avastrovirus 3,1239439,Stellavirales,Astroviridae,Avastrovirus
481,Gammacoronavirus sp.,2163008,Nidovirales,Coronaviridae,Gammacoronavirus
482,Anser circovirus,3113012,Cirlivirales,Circoviridae,
483,Anas platyrhynchos papillomavirus 3,3112618,Zurhausenvirales,Papillomaviridae,
484,Hepacivirus sp.,2202624,Amarillovirales,Flaviviridae,Hepacivirus
485,Duck astrovirus CPH,1517684,Stellavirales,Astroviridae,Avastrovirus
486,unidentified influenza virus,11309,Articulavirales,Orthomyxoviridae,
487,Mute swan associated circo-like virus,3104762,Cirlivirales,Circoviridae,
488,Chaphamaparvovirus anseriform 7,3104763,Piccovirales,Parvoviridae,Chaphamaparvovirus
489,Chaphamaparvovirus anseriform 8,3104764,Piccovirales,Parvoviridae,Chaphamaparvovirus
490,Chaphamaparvovirus anseriform 9,3104765,Piccovirales,Parvoviridae,Chaphamaparvovirus
491,Sturnus papillomavirus,3106067,Zurhausenvirales,Papillomaviridae,
492,Thinornis picornavirus,3106068,Picornavirales,Picornaviridae,
493,Grus nigricollis-associatied genomovirus,3077354,Geplafuvirales,Genomoviridae,
494,Protoparvovirus sp.,1987106,Piccovirales,Parvoviridae,Protoparvovirus
495,Grusopivirus sp.,2809444,Picornavirales,Picornaviridae,Grusopivirus
496,Yellow-eyed penguin megrivirus,3085107,Picornavirales,Picornaviridae,Megrivirus
497,Yellow-eyed penguin picornavirus,3085108,Picornavirales,Picornaviridae,
498,Gammapolyomavirus anseris,1891746,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
499,Psittaciform chaphamaparvovirus 4,3090915,Piccovirales,Parvoviridae,Chaphamaparvovirus
500,Psittaciform chaphamaparvovirus 5,3090916,Piccovirales,Parvoviridae,Chaphamaparvovirus
501,Psittaciform chaphamaparvovirus 6,3090917,Piccovirales,Parvoviridae,Chaphamaparvovirus
502,Canary dependoparvovirus 1,3085222,Piccovirales,Parvoviridae,Dependoparvovirus
503,Canary chaphamaparvovirus 1,3085220,Piccovirales,Parvoviridae,Chaphamaparvovirus
504,Canary chaphamaparvovirus 2,3085221,Piccovirales,Parvoviridae,Chaphamaparvovirus
505,Canary dependoparvovirus 2,3085223,Piccovirales,Parvoviridae,Dependoparvovirus
506,Gyrovirus homsa1,2844802,,Anelloviridae,Gyrovirus
507,Tawny frogmouth aviadenovirus A,3042372,Rowavirales,Adenoviridae,Aviadenovirus
508,Chicken astrovirus,336959,Stellavirales,Astroviridae,Avastrovirus
509,Columba livia papillomavirus 1,3080879,Zurhausenvirales,Papillomaviridae,
510,Tetrao urogallus alphaherpesvirus 1,3077833,Herpesvirales,Orthoherpesviridae,
511,Strix nebulosa herpesvirus,3074439,Herpesvirales,,
512,kestrel polyomavirus 1,3074466,Sepolyvirales,Polyomaviridae,Gammapolyomavirus
513,Zoothera dauma adenovirus,3073259,Rowavirales,Adenoviridae,
514,Gallivirus sp.,2809412,Picornavirales,Picornaviridae,Gallivirus
515,Bird calicivirus,3069714,Picornavirales,Caliciviridae,
516,Duck picornavirus,2874388,Picornavirales,Picornaviridae,
517,Waterbird gammacoronavirus 1,2992309,Nidovirales,Coronaviridae,Gammacoronavirus
518,Goose parvovirus SDDY21,3062345,Piccovirales,Parvoviridae,
519,Goose parvovirus SDJN21,3062346,Piccovirales,Parvoviridae,
520,Goose parvovirus SDWF22,3062347,Piccovirales,Parvoviridae,
521,Rockhopper penguin papillomavirus,2962496,Zurhausenvirales,Papillomaviridae,
522,Quang Binh virus,643132,Amarillovirales,Flaviviridae,Orthoflavivirus
523,Orthobunyavirus manzanillaense,3052416,Bunyavirales,Peribunyaviridae,Orthobunyavirus
524,Oriental turtle dovepox virus,3051319,Chitovirales,Poxviridae,
525,Coronavirus PREDICT_CoV-100,2717633,Nidovirales,Coronaviridae,
526,Buteo buteo herpesvirus,2928393,Herpesvirales,,
527,Psittacidae dependoparvovirus,2794570,Piccovirales,Parvoviridae,Dependoparvovirus
528,Psittacid alphaherpesvirus 6,3042376,Herpesvirales,Orthoherpesviridae,
529,Psittaciform parvoviridae sp.,3042448,Piccovirales,Parvoviridae,
530,Psittacine picornavirus,3042449,Picornavirales,Picornaviridae,
531,Chaphamaparvovirus sp.,2809295,Piccovirales,Parvoviridae,Chaphamaparvovirus
532,Gyrovirus homsa2,2844803,,Anelloviridae,Gyrovirus
533,Eastern equine encephalitis virus,11021,Martellivirales,Togaviridae,Alphavirus
534,Fregata magnificens alphaherpesvirus 1,3040023,Herpesvirales,,
535,Riboviria sp.,2585031,,,
536,black-headed gull deltacoronavirus,3031139,Nidovirales,Coronaviridae,Deltacoronavirus
537,common gull deltacoronavirus,3031140,Nidovirales,Coronaviridae,Deltacoronavirus
538,common gull gammacoronavirus,3031141,Nidovirales,Coronaviridae,Gammacoronavirus
539,Anatid alphaherpesvirus 1,104388,Herpesvirales,Orthoherpesviridae,Mardivirus
540,Bird parvovirus,3029445,Piccovirales,Parvoviridae,
541,ssDNA virus sp.,2593122,,,
542,Cooks petrelpox virus,3019552,Chitovirales,Poxviridae,
543,Orthobunyavirus bunyamweraense,3052381,Bunyavirales,Peribunyaviridae,Orthobunyavirus
544,Yellow-eyed penguin gyrovirus,3021812,,Anelloviridae,Gyrovirus
545,Zebra finch hepacivirus 1,3004181,Amarillovirales,Flaviviridae,Hepacivirus
546,Zebra finch hepacivirus 2,3004182,Amarillovirales,Flaviviridae,Hepacivirus
547,Toutouwai hepatovirus,2996228,Picornavirales,Picornaviridae,Hepatovirus
548,Avian associated calicivirus 5,2996223,Picornavirales,Caliciviridae,
549,Avian associated hepe-like virus 10,2996224,Hepelivirales,Hepeviridae,
550,Avian associated picorna-like virus 15,2996209,Picornavirales,Picornaviridae,
551,Avian associated picorna-like virus 14,2996208,Picornavirales,Picornaviridae,
552,Avian associated picorna-like virus 20,2996214,Picornavirales,Picornaviridae,
553,Avian associated picorna-like virus 21,2996215,Picornavirales,Picornaviridae,
554,Avian associated picorna-like virus 19,2996213,Picornavirales,Picornaviridae,
555,Avian associated hepe-like virus 8,2996226,Hepelivirales,Hepeviridae,
556,Avian associated picorna-like virus 25,2996219,Picornavirales,Picornaviridae,
557,Avian associated picorna-like virus 22,2996216,Picornavirales,Picornaviridae,
558,Avian associated picorna-like virus 17,2996211,Picornavirales,Picornaviridae,
559,Avian associated picorna-like virus 16,2996210,Picornavirales,Picornaviridae,
560,Avian associated picorna-like virus 13,2996207,Picornavirales,Picornaviridae,
561,Avian associated picorna-like virus 24,2996218,Picornavirales,Picornaviridae,
562,Avian associated picorna-like virus 18,2996212,Picornavirales,Picornaviridae,
563,Avian associated hepe-like virus 9,2996227,Hepelivirales,Hepeviridae,
564,Avian associated picorna-like virus 23,2996217,Picornavirales,Picornaviridae,
565,Avian associated hepe-like virus 7,2996225,Hepelivirales,Hepeviridae,
566,Avian associated picorna-like virus 27,2996221,Picornavirales,Picornaviridae,
567,Avian associated picorna-like virus 26,2996220,Picornavirales,Picornaviridae,
568,Rous sarcoma virus,11886,Ortervirales,Retroviridae,Alpharetrovirus
569,Sunrhavirus bimbo,2956479,Mononegavirales,Rhabdoviridae,Sunrhavirus
570,Sunrhavirus kolongo,2956481,Mononegavirales,Rhabdoviridae,Sunrhavirus
571,Avian megrivirus,2986276,Picornavirales,Picornaviridae,Megrivirus
572,Duck adeno-associated virus,2875326,Piccovirales,Parvoviridae,Dependoparvovirus
573,Magpiepox virus 2,2874139,Chitovirales,Poxviridae,Avipoxvirus
574,Psittaciform chaphamaparvovirus 3,2928890,Piccovirales,Parvoviridae,Chaphamaparvovirus
575,Avastrovirus sp.,2809168,Stellavirales,Astroviridae,Avastrovirus
576,Duck circovirus 3,2994410,Cirlivirales,Circoviridae,Circovirus
577,Nyavirus nyamaniniense,644610,Mononegavirales,Nyamiviridae,Nyavirus
578,trumpeter swan calicivirus,2992313,Picornavirales,Caliciviridae,
579,duck egg-reducing syndrome virus,2987487,Picornavirales,Picornaviridae,Avihepatovirus
580,Crowpox virus,2942216,Chitovirales,Poxviridae,
581,Avipoxvirus isolate Galapagos Islands,1294098,Chitovirales,Poxviridae,Avipoxvirus
582,Wigfec virus K19_482,2986032,Geplafuvirales,Genomoviridae,Gemycircularvirus
583,Wigfec virus K19_469,2986033,Geplafuvirales,Genomoviridae,Gemyduguivirus
584,Wigfec virus K19_435,2986034,Geplafuvirales,Genomoviridae,Gemykibivirus
585,Wigfec virus K19_467,2986035,Geplafuvirales,Genomoviridae,Gemytondvirus
586,Wigfec virus K19_227,2985990,,,
587,Wigfec virus K19_426,2985991,,,
588,Wigfec virus K19_432,2985992,,,
589,Wigfec virus K19_450,2985993,,,
590,Wigfec virus K19_484,2985994,,,
591,Wigfec virus K19_486,2985995,,,
592,Wigfec virus K19_494,2985996,,,
593,Wigfec virus K19_511,2985997,,,
594,Wigfec virus K19_521,2985998,,,
595,Wigfec virus K19_545,2985999,,,
596,Wigfec virus K19_562,2986000,,,
597,Wigfec virus K19_588,2986001,,,
598,Wigfec virus K19_598,2986002,,,
599,Wigfec virus K19_605,2986003,,,
600,Wigfec virus K19_623,2986004,,,
601,Wigfec virus K19_658,2986005,,,
602,Wigfec virus K19_292,2986006,,,
603,Wigfec virus K19_346,2986007,,,
604,Wigfec virus K19_385,2986008,,,
605,Wigfec virus K19_525,2986009,,,
606,Wigfec virus K19_555,2986010,,,
607,Wigfec virus K19_558,2986011,,,
608,Wigfec virus K19_561,2986012,,,
609,Wigfec virus K19_571,2986013,,,
610,Wigfec virus K19_593,2986014,,,
611,Wigfec virus K19_600,2986015,,,
612,Wigfec virus K19_645,2986016,,,
613,Wigfec virus K19_654,2986017,,,
614,Wigfec virus K19_668,2986018,,,
615,Wigfec virus K19_691,2986019,,,
616,Wigfec virus K19_221,2986020,,,
617,Wigfec virus K19_259,2986021,,,
618,Wigfec virus K19_327,2986022,,,
619,Wigfec virus K19_443,2986023,,,
620,Wigfec virus K19_493,2986024,,,
621,Wigfec virus K19_526,2986025,,,
622,Wigfec virus K19_576,2986026,,,
623,Wigfec virus K19_615,2986027,,,
624,Wigfec virus K19_448,2986028,,,
625,Wigfec virus K19_454,2986029,,,
626,Wigfec virus K19_513,2986030,,,
627,Zingilamo virus,2983543,Martellivirales,Togaviridae,
628,Bandavirus dabieense,2748958,Bunyavirales,Phenuiviridae,Bandavirus
629,Meleagrid alphaherpesvirus 2,2982300,Herpesvirales,Orthoherpesviridae,
630,Temminck's stint calicivirus,2976936,Picornavirales,Caliciviridae,
631,Crow astrovirus,2976362,Stellavirales,Astroviridae,
632,psittacine adenovirus 8,2875246,Rowavirales,Adenoviridae,Aviadenovirus
633,psittacine adenovirus 9,2875244,Rowavirales,Adenoviridae,Atadenovirus
634,psittacine adenovirus 10,2875245,Rowavirales,Adenoviridae,Atadenovirus
635,Wood pigeon astrovirus,928292,Stellavirales,Astroviridae,
636,Avastrovirus 2,1239438,Stellavirales,Astroviridae,Avastrovirus
637,Astroviridae sp.,2585114,Stellavirales,Astroviridae,
638,Raptor adenovirus,2963835,Rowavirales,Adenoviridae,
639,Oriolus adenovirus,2862777,Rowavirales,Adenoviridae,Aviadenovirus
640,Anas platyrhynchos papillomavirus 2,2855326,Zurhausenvirales,Papillomaviridae,
641,Fowl aviadenovirus sp.,1972696,Rowavirales,Adenoviridae,Aviadenovirus
642,Avian associated bastrovirus 2,2936950,Stellavirales,Astroviridae,
643,Blackbird siadenovirus,2936980,Rowavirales,Adenoviridae,Siadenovirus
644,Avian astrovirus 2,2936979,Stellavirales,Astroviridae,
645,Avian associated bastrovirus 1,2936949,Stellavirales,Astroviridae,
646,Avian associated hepe-like virus 1,2936955,Hepelivirales,Hepeviridae,
647,Avian associated hepe-like virus 2,2936956,Hepelivirales,Hepeviridae,
648,Avian associated hepe-like virus 3,2936957,Hepelivirales,Hepeviridae,
649,Avian associated hepe-like virus 4,2936958,Hepelivirales,Hepeviridae,
650,Avian associated hepe-like virus 5,2936959,Hepelivirales,Hepeviridae,
651,Avian associated hepe-like virus 6,2936960,Hepelivirales,Hepeviridae,
652,Turdid alphaherpesvirus 1,2936981,Herpesvirales,Orthoherpesviridae,
653,Avian associated calicivirus 1,2936951,Picornavirales,Caliciviridae,
654,Avian associated calicivirus 2,2936952,Picornavirales,Caliciviridae,
655,Avian associated calicivirus 3,2936953,Picornavirales,Caliciviridae,
656,Avian associated calicivirus 4,2936954,Picornavirales,Caliciviridae,
657,Avian associated picorna-like virus 1,2936962,Picornavirales,,
658,Avian associated picorna-like virus 2,2936965,Picornavirales,,
659,Avian associated picorna-like virus 3,2936966,Picornavirales,,
660,Avian associated picorna-like virus 4,2936967,Picornavirales,,
661,Avian associated picorna-like virus 5,2936968,Picornavirales,,
662,Avian associated picorna-like virus 6,2936969,Picornavirales,,
663,Avian associated picorna-like virus 7,2936970,Picornavirales,,
664,Avian associated picorna-like virus 8,2936971,Picornavirales,,
665,Avian associated picorna-like virus 9,2936972,Picornavirales,,
666,Avian associated picorna-like virus 10,2936963,Picornavirales,,
667,Avian associated picorna-like virus 11,2936964,Picornavirales,,
668,Avian associated orbivirus 1,2936961,Reovirales,Sedoreoviridae,Orbivirus
669,Avian associated reo-like virus 1,2936973,Reovirales,,
670,Avian associated reo-like virus 2,2936974,Reovirales,,
671,Avian associated reo-like virus 3,2936975,Reovirales,,
672,Avian associated reo-like virus 4,2936976,Reovirales,,
673,Avian associated reo-like virus 5,2936977,Reovirales,,
674,Avian associated reo-like virus 6,2936978,Reovirales,,
675,Galliform chaphamaparvovirus 6,2928886,Piccovirales,Parvoviridae,Chaphamaparvovirus
676,Galliform chaphamaparvovirus 7,2928887,Piccovirales,Parvoviridae,Chaphamaparvovirus
677,Galliform chaphamaparvovirus 8,2928888,Piccovirales,Parvoviridae,Chaphamaparvovirus
678,Galliform chaphamaparvovirus 9,2928889,Piccovirales,Parvoviridae,Chaphamaparvovirus
679,Galliform chaphamaparvovirus 10,2928878,Piccovirales,Parvoviridae,Chaphamaparvovirus
680,Galliform chaphamaparvovirus 11,2928879,Piccovirales,Parvoviridae,Chaphamaparvovirus
681,Galliform chaphamaparvovirus 12,2928880,Piccovirales,Parvoviridae,Chaphamaparvovirus
682,Galliform chaphamaparvovirus 13,2928881,Piccovirales,Parvoviridae,Chaphamaparvovirus
683,Galliform chaphamaparvovirus 14,2928882,Piccovirales,Parvoviridae,Chaphamaparvovirus
684,Galliform chaphamaparvovirus 15,2928883,Piccovirales,Parvoviridae,Chaphamaparvovirus
685,Galliform chaphamaparvovirus 16,2928884,Piccovirales,Parvoviridae,Chaphamaparvovirus
686,Galliform chaphamaparvovirus 17,2928885,Piccovirales,Parvoviridae,Chaphamaparvovirus
687,Hepacivirus Q,2952659,Amarillovirales,Flaviviridae,Hepacivirus
688,Avipoxvirus isolate Arizona,1294092,Chitovirales,Poxviridae,Avipoxvirus
689,tawny owl-associated circovirus,2945983,Cirlivirales,Circoviridae,Circovirus
690,Pigeon-dominant Coronavirus,1649336,Nidovirales,Coronaviridae,
691,Avon-Heathcote Estuary associated circular virus 25,1618249,Cirlivirales,Circoviridae,
692,Mute swan feces associated avastrovius 1,2832253,Stellavirales,Astroviridae,Avastrovirus
693,Mute swan feces associated avastrovius 2,2832254,Stellavirales,Astroviridae,Avastrovirus
694,Mute swan feces associated aveparvovirus,2832255,Piccovirales,Parvoviridae,Aveparvovirus
695,Mute swan feces associated avihepatovirus,2832257,Picornavirales,Picornaviridae,Avihepatovirus
696,Mute swan feces associated calicivirus,2832256,Picornavirales,Caliciviridae,
697,Mute swan feces associated chapparvovirus 1,2832239,Piccovirales,Parvoviridae,Chapparvovirus
698,Mute swan feces associated chapparvovirus 2,2832240,Piccovirales,Parvoviridae,Chapparvovirus
699,Mute swan feces associated chapparvovirus 3,2832241,Piccovirales,Parvoviridae,Chapparvovirus
700,Mute swan feces associated chapparvovirus 4,2832242,Piccovirales,Parvoviridae,Chapparvovirus
701,Mute swan feces associated chapparvovirus 5,2832243,Piccovirales,Parvoviridae,Chapparvovirus
702,Mute swan feces associated chapparvovirus 6,2832244,Piccovirales,Parvoviridae,Chapparvovirus
703,Mute swan feces associated circular virus 1,2832259,,,
704,Mute swan feces associated circular virus 2,2832268,,,
705,Mute swan feces associated circular virus 3,2832269,,,
706,Mute swan feces associated circular virus 4,2832270,,,
707,Mute swan feces associated circular virus 5,2832271,,,
708,Mute swan feces associated circular virus 6,2832272,,,
709,Mute swan feces associated circular virus 7,2832273,,,
710,Mute swan feces associated circular virus 8,2832274,,,
711,Mute swan feces associated circular virus 9,2832275,,,
712,Mute swan feces associated circular virus 10,2832260,,,
713,Mute swan feces associated circular virus 11,2832261,,,
714,Mute swan feces associated circular virus 12,2832262,,,
715,Mute swan feces associated circular virus 13,2832263,,,
716,Mute swan feces associated circular virus 14,2832264,,,
717,Mute swan feces associated circular virus 15,2832265,,,
718,Mute swan feces associated circular virus 16,2832266,,,
719,Mute swan feces associated circular virus 17,2832267,,,
720,Mute swan feces associated gammacoronavirus,2832252,Nidovirales,Coronaviridae,Gammacoronavirus
721,Mute swan feces associated gemycircularvirus 1,2832251,Geplafuvirales,Genomoviridae,Gemycircularvirus
722,Mute swan feces associated hepatovirus 1,2832211,Picornavirales,Picornaviridae,Hepatovirus
723,Mute swan feces associated hepatovirus 2,2832212,Picornavirales,Picornaviridae,Hepatovirus
724,Mute swan feces associated hepatovirus 3,2832213,Picornavirales,Picornaviridae,Hepatovirus
725,Mute swan feces associated hepatovirus 4,2832214,Picornavirales,Picornaviridae,Hepatovirus
726,Mute swan feces associated noda-like virus 1,2832173,Nodamuvirales,Nodaviridae,
727,Mute swan feces associated noda-like virus 2,2832174,Nodamuvirales,Nodaviridae,
728,Mute swan feces associated noda-like virus 3,2832175,Nodamuvirales,Nodaviridae,
729,Mute swan feces associated noda-like virus 4,2832176,Nodamuvirales,Nodaviridae,
730,Mute swan feces associated noda-like virus 5,2832177,Nodamuvirales,Nodaviridae,
731,Mute swan feces associated noda-like virus 6,2832178,Nodamuvirales,Nodaviridae,
732,Mute swan feces associated noda-like virus 7,2832179,Nodamuvirales,Nodaviridae,
733,Mute swan feces associated noda-like virus 8,2832180,Nodamuvirales,Nodaviridae,
734,Mute swan feces associated noda-like virus 9,2832181,Nodamuvirales,Nodaviridae,
735,Mute swan feces associated partitiviridae A,2832153,Durnavirales,Partitiviridae,
736,Mute swan feces associated partitiviridae B,2832154,Durnavirales,Partitiviridae,
737,Mute swan feces associated partitiviridae C,2832155,Durnavirales,Partitiviridae,
738,Mute swan feces associated partitiviridae D,2832156,Durnavirales,Partitiviridae,
739,Mute swan feces associated partitiviridae E,2832157,Durnavirales,Partitiviridae,
740,Mute swan feces associated partitiviridae F,2832158,Durnavirales,Partitiviridae,
741,Mute swan feces associated partitiviridae G,2832159,Durnavirales,Partitiviridae,
742,Mute swan feces associated partitiviridae H,2832160,Durnavirales,Partitiviridae,
743,Mute swan feces associated partitiviridae I,2832161,Durnavirales,Partitiviridae,
